date,open,high,low,close,volume,adj_close
2025-04-29,123.279999,125.989998,123.160004,125.489998,6525400,125.489998
2025-04-30,121.055,122.25,118.050003,121.919998,7534200,121.919998
2025-05-01,121.919998,125.080002,121.900002,124.010002,9431800,124.010002
2025-05-02,121.099998,126.559998,120.134003,125.260002,11301600,125.260002
2025-05-05,123.355003,127.589996,122.300003,124.889999,6761400,124.889999
2025-05-06,123.144997,124.5,121.57,121.669998,5229300,121.669998
2025-05-07,121.334999,123.650002,120.410004,123.120003,3423600,123.120003
2025-05-08,124.625,127.629997,123.620003,126.389999,3819900,126.389999
2025-05-09,124.959999,127.330002,123.400002,127.040001,6145200,127.040001
2025-05-12,133.160004,134.850006,132.139999,134.210007,7198300,134.210007
2025-05-13,134.619995,138.529999,133.75,138.050003,6890700,138.050003
2025-05-14,138.350006,139.835007,137.100006,137.449997,6148700,137.449997
2025-05-15,137.080002,137.779999,135.270004,136.789993,3463300,136.789993
2025-05-16,137.550003,138.449997,136.210007,138.0,3690200,138.0
2025-05-19,135.309998,137.369995,135.029999,136.600006,4904700,136.600006
2025-05-20,133.755005,134.600006,131.389999,132.130005,6607900,132.130005
2025-05-21,130.679993,130.789993,126.970001,127.519997,6687400,127.519997
2025-05-22,126.790001,128.328995,125.940002,127.650002,6451800,127.650002
2025-05-23,125.089996,127.375,125.0,126.720001,4371500,126.720001
2025-05-27,128.679993,130.399994,128.345001,129.399994,7243800,129.399994
2025-05-28,129.449997,129.550003,127.665001,128.669998,4752200,128.669998
2025-05-29,130.0,130.0,126.959999,128.360001,4680600,128.360001
2025-05-30,125.5,129.25,125.0,129.0,9562900,129.0
2025-06-02,128.850006,129.770004,127.985001,129.619995,5223100,129.619995
2025-06-03,129.5,133.490005,128.949997,132.899994,5809300,132.899994
2025-06-04,132.279999,134.854996,131.639999,133.509995,4501000,133.509995
2025-06-05,133.5,137.802994,133.5,137.289993,5858000,137.289993
2025-06-06,139.179993,143.880005,138.949997,140.639999,9053500,140.639999
2025-06-09,141.470001,141.526001,138.339996,139.009995,3990000,139.009995
2025-06-10,139.220001,140.604996,138.134995,138.559998,4138000,138.559998
2025-06-11,140.240005,140.369995,137.115005,138.059998,4020200,138.059998
2025-06-12,137.130005,139.404999,136.699997,138.809998,3461000,138.809998
2025-06-13,136.080002,136.630005,134.679993,135.539993,5090900,135.539993
2025-06-16,138.559998,139.289993,136.830002,137.210007,3406800,137.210007
2025-06-17,136.089996,136.160004,132.889999,133.369995,4773800,133.369995
2025-06-18,132.710007,133.815002,131.690002,132.169998,3702500,132.169998
2025-06-20,132.0,132.639999,131.389999,131.729996,7968000,131.729996
2025-06-23,131.529999,131.529999,127.040001,130.529999,4250200,130.529999
2025-06-24,131.919998,132.725006,130.360001,132.149994,5045600,132.149994
2025-06-25,132.800003,133.029999,128.770004,129.669998,3765600,129.669998
2025-06-26,130.330002,134.179993,128.315002,133.720001,5138300,133.720001
2025-06-27,134.009995,134.580002,132.100006,134.520004,4930600,134.520004
2025-06-30,135.059998,135.059998,131.945007,132.339996,3665900,132.339996
2025-07-01,132.225006,136.690002,132.119995,135.410004,3919600,135.410004
2025-07-02,135.220001,136.089996,134.389999,135.389999,2668000,135.389999
2025-07-03,136.270004,138.190002,136.229996,136.490005,2628600,136.490005
2025-07-07,135.860001,137.630005,135.199997,137.0,3550400,137.0
2025-07-08,137.5,138.550003,136.550003,136.990005,3144500,136.990005
2025-07-09,137.449997,138.270004,136.5,136.850006,4311200,136.850006
2025-07-10,137.054993,138.414993,136.050003,137.0,4933600,137.0
2025-07-11,136.119995,137.0,135.199997,135.350006,3123600,135.350006
2025-07-14,135.0,139.468002,134.699997,138.570007,4575000,138.570007
2025-07-15,139.460007,140.139999,136.479996,136.539993,3315600,136.539993
2025-07-16,136.940002,137.149994,135.419998,136.710007,3319300,136.710007
2025-07-17,137.580002,139.570007,137.259995,139.300003,3495900,139.300003
2025-07-18,139.990005,140.740005,138.919998,139.339996,2983100,139.339996
2025-07-21,139.320007,139.800003,137.960007,138.070007,2697600,138.070007
2025-07-22,138.639999,140.020004,136.860001,139.429993,2787200,139.429993
2025-07-23,139.619995,140.929993,138.100006,139.830002,3003800,139.830002
2025-07-24,139.460007,142.630005,138.820007,141.619995,3067400,141.619995
2025-07-25,142.460007,142.529999,141.179993,141.309998,2499200,141.309998
2025-07-28,141.300003,143.300003,141.020004,142.160004,2808600,142.160004
2025-07-29,142.169998,143.089996,136.380005,136.839996,4143400,136.839996
2025-07-30,135.899994,136.524994,133.919998,134.75,3502200,134.75
2025-07-31,134.75,135.800003,132.119995,132.410004,3876500,132.410004
2025-08-01,130.039993,130.360001,126.919998,128.020004,5100400,128.020004
2025-08-04,129.100006,131.130005,128.830002,130.960007,5277200,130.960007
