date,open,high,low,close,volume,adj_close
2025-04-02,101.519997,104.190002,100.760002,102.959999,20794000,102.959999
2025-04-03,97.790001,99.449997,93.639999,93.800003,50472500,93.800003
2025-04-04,90.099998,91.080002,83.669998,85.760002,65847000,85.760002
2025-04-07,80.68,89.0,77.75,83.639999,70515400,83.639999
2025-04-08,86.150002,88.93,76.480003,78.209999,69910200,78.209999
2025-04-09,79.220001,97.910004,78.870003,96.839996,97827400,96.839996
2025-04-10,91.0,92.949997,85.059998,88.699997,65210600,88.699997
2025-04-11,90.510002,94.760002,90.5,93.400002,57892600,93.400002
2025-04-14,97.110001,97.370003,93.449997,94.5,36003000,94.5
2025-04-15,94.660004,96.849998,94.620003,95.290001,28116500,95.290001
2025-04-16,87.610001,90.470001,85.300003,88.290001,62109000,88.290001
2025-04-17,88.839996,89.029999,86.519997,87.5,34801400,87.5
2025-04-21,86.019997,86.139999,83.75,85.559998,33855400,85.559998
2025-04-22,86.120003,87.169998,85.169998,86.260002,35236700,86.260002
2025-04-23,91.879997,93.739998,90.120003,90.389999,41102600,90.389999
2025-04-24,91.589996,94.75,90.370003,94.470001,33681900,94.470001
2025-04-25,93.279999,97.099998,92.849998,96.650002,28575300,96.650002
2025-04-28,95.580002,97.489998,94.269997,96.389999,30456700,96.389999
2025-04-29,95.760002,97.18,95.330002,96.059998,20700600,96.059998
2025-04-30,92.809998,97.550003,91.870003,97.349998,29730700,97.349998
2025-05-01,99.269997,100.099998,96.449997,96.650002,29591500,96.650002
2025-05-02,98.400002,99.879997,98.300003,98.800003,29957900,98.800003
2025-05-05,99.0,102.050003,98.760002,100.589996,41268900,100.589996
2025-05-06,98.410004,100.07,97.440002,98.620003,54264300,98.620003
2025-05-07,100.75,103.419998,96.879997,100.360001,86474400,100.360001
2025-05-08,101.919998,105.440002,101.559998,101.699997,54231400,101.699997
2025-05-09,102.589996,103.540001,101.599998,102.839996,31704300,102.839996
2025-05-12,110.419998,110.669998,106.980003,108.120003,50543400,108.120003
2025-05-13,109.599998,113.129997,109.0,112.459999,55659500,112.459999
2025-05-14,119.830002,122.519997,116.589996,117.720001,86743700,117.720001
2025-05-15,117.019997,117.5,114.010002,114.989998,43843200,114.989998
2025-05-16,118.07,118.239998,116.010002,117.169998,43419700,117.169998
2025-05-19,115.019997,115.529999,114.059998,114.739998,37737400,114.739998
2025-05-20,114.349998,114.510002,112.080002,113.510002,29030800,113.510002
2025-05-21,113.849998,116.099998,111.089996,112.059998,43594600,112.059998
2025-05-22,111.900002,112.639999,110.610001,110.709999,29252000,110.709999
2025-05-23,108.089996,111.019997,107.669998,110.309998,30867300,110.309998
2025-05-27,113.18,115.400002,112.269997,114.559998,37885000,114.559998
2025-05-28,114.919998,114.949997,112.660004,112.860001,27483700,112.860001
2025-05-29,115.489998,115.540001,112.129997,113.029999,30501400,113.029999
2025-05-30,111.580002,112.110001,108.620003,110.730003,36088500,110.730003
2025-06-02,111.059998,114.860001,111.010002,114.629997,34078400,114.629997
2025-06-03,114.5,117.68,113.279999,117.309998,37161500,117.309998
2025-06-04,117.410004,119.300003,115.730003,118.580002,31025000,118.580002
2025-06-05,118.949997,119.239998,114.709999,115.690002,34091000,115.690002
2025-06-06,117.690002,118.379997,115.879997,116.190002,27042100,116.190002
2025-06-09,119.18,122.370003,119.040001,121.730003,55437700,121.730003
2025-06-10,121.110001,124.089996,120.800003,123.239998,41691900,123.239998
