date,open,high,low,close,volume,adj_close
2025-04-29,289.640015,303.600006,289.640015,302.220001,3815600,302.220001
2025-04-30,294.51001,299.980011,293.850006,297.73999,2780600,297.73999
2025-05-01,301.73999,304.700012,299.410004,299.730011,2304200,299.730011
2025-05-02,305.269989,310.579987,304.190002,308.149994,1935500,308.149994
2025-05-05,307.0,311.980011,305.600006,308.829987,1794200,308.829987
2025-05-06,302.890015,308.649994,302.290009,305.779999,1643000,305.779999
2025-05-07,306.149994,310.880005,304.769989,308.339996,1774300,308.339996
2025-05-08,311.220001,313.0,307.700012,307.959991,1609500,307.959991
2025-05-09,309.529999,309.529999,303.820007,305.779999,1480000,305.779999
2025-05-12,320.0,320.0,308.579987,311.769989,2439800,311.769989
2025-05-13,312.420013,319.570007,311.570007,318.660004,1707200,318.660004
2025-05-14,316.950012,321.859985,316.790009,319.390015,1463300,319.390015
2025-05-15,318.359985,321.869995,317.73999,318.769989,1535400,318.769989
2025-05-16,320.160004,322.190002,317.179993,321.559998,1575100,321.559998
2025-05-19,318.769989,322.269989,317.410004,320.299988,1510700,320.299988
2025-05-20,316.959991,321.0,315.359985,320.549988,1374200,320.549988
2025-05-21,317.369995,322.640015,316.309998,317.549988,1869500,317.549988
2025-05-22,315.51001,318.600006,313.910004,316.630005,1480800,316.630005
2025-05-23,312.040009,317.279999,311.649994,315.51001,1010500,315.51001
2025-05-27,319.459991,323.279999,318.100006,323.079987,1446700,323.079987
2025-05-28,322.869995,323.390015,284.299988,288.609985,7018700,288.609985
2025-05-29,293.109985,294.130005,276.609985,284.5,6281800,284.5
2025-05-30,284.429993,288.209991,280.339996,287.070007,2901700,287.070007
2025-06-02,286.76001,292.869995,285.480011,292.529999,1993100,292.529999
2025-06-03,289.119995,294.809998,289.119995,293.329987,1617400,293.329987
2025-06-04,293.910004,296.089996,291.619995,294.399994,1430300,294.399994
2025-06-05,294.399994,302.0,294.399994,296.290009,1904400,296.290009
2025-06-06,299.339996,299.640015,295.649994,296.950012,1365700,296.950012
2025-06-09,307.579987,310.950012,301.519989,301.660004,2517000,301.660004
2025-06-10,302.410004,306.079987,300.459991,305.690002,1603300,305.690002
2025-06-11,306.0,309.390015,302.450012,307.200012,1259400,307.200012
2025-06-12,306.399994,310.0,306.100006,307.850006,1012800,307.850006
2025-06-13,302.0,305.299988,299.619995,300.0,1188800,300.0
2025-06-16,300.690002,302.399994,297.029999,300.809998,1697100,300.809998
2025-06-17,299.790009,304.440002,298.130005,299.0,1130400,299.0
2025-06-18,297.779999,300.100006,295.609985,296.839996,1221000,296.839996
2025-06-20,299.630005,300.76001,293.839996,295.399994,2373300,295.399994
2025-06-23,294.329987,295.820007,289.690002,293.559998,2134500,293.559998
2025-06-24,295.850006,297.140015,293.609985,296.799988,1906300,296.799988
2025-06-25,297.829987,301.26001,295.329987,297.529999,1736800,297.529999
2025-06-26,299.0,303.869995,298.329987,303.690002,2128200,303.690002
2025-06-27,307.029999,315.899994,304.290009,305.200012,2331800,305.200012
2025-06-30,306.119995,310.119995,305.209991,308.149994,1748300,308.149994
2025-07-01,306.350006,310.98999,304.730011,309.459991,1332100,309.459991
2025-07-02,307.230011,312.75,306.0,310.950012,1164600,310.950012
2025-07-03,326.470001,330.089996,321.380005,326.809998,2274700,326.809998
2025-07-07,326.809998,327.980011,318.799988,320.299988,1824300,320.299988
2025-07-08,322.119995,323.709991,319.019989,323.279999,2022900,323.279999
2025-07-09,324.140015,325.540009,320.540009,322.910004,1092100,322.910004
2025-07-10,325.26001,325.26001,318.200012,322.660004,1463700,322.660004
2025-07-11,321.570007,324.320007,318.160004,320.600006,1201500,320.600006
2025-07-14,320.130005,320.970001,314.700012,317.48999,1863100,317.48999
2025-07-15,319.839996,324.48999,317.670013,318.040009,1447200,318.040009
2025-07-16,318.700012,318.700012,311.079987,314.579987,1595700,314.579987
2025-07-17,313.079987,321.230011,311.450012,320.859985,1275800,320.859985
2025-07-18,321.369995,322.149994,315.040009,315.570007,1390900,315.570007
2025-07-21,315.040009,318.829987,315.040009,316.320007,1042100,316.320007
2025-07-22,317.540009,321.690002,313.0,319.600006,1211400,319.600006
2025-07-23,320.480011,326.519989,318.48999,326.459991,1523600,326.459991
2025-07-24,325.559998,327.5,324.369995,324.640015,1649500,324.640015
2025-07-25,325.0,335.160004,324.5,332.190002,2718300,332.190002
2025-07-28,334.480011,335.0,328.459991,333.76001,2682400,333.76001
2025-07-29,355.0,370.609985,353.0,366.26001,4666700,366.26001
2025-07-30,367.48999,374.049988,363.75,371.029999,3894000,371.029999
2025-07-31,371.519989,376.450012,363.470001,364.570007,3012700,364.570007
2025-08-01,358.0,360.309998,353.01001,356.970001,2070000,356.970001
2025-08-04,358.779999,364.890015,355.630005,364.880005,1841900,364.880005
2025-08-05,366.200012,369.140015,357.700012,360.5,1682100,360.5
2025-08-06,361.859985,364.070007,358.700012,360.160004,1058800,360.160004
2025-08-07,363.019989,365.399994,349.660004,354.329987,1526600,354.329987
2025-08-08,356.429993,357.589996,351.5,352.059998,1373000,352.059998
2025-08-11,352.079987,354.160004,346.769989,349.089996,1624500,349.089996
2025-08-12,349.089996,353.660004,345.480011,353.609985,1263000,353.609985
2025-08-13,356.040009,356.399994,346.089996,349.119995,1208400,349.119995
2025-08-14,348.329987,350.0,346.279999,348.920013,1220400,348.920013
2025-08-15,349.049988,351.029999,344.790009,349.880005,1567700,349.880005
2025-08-18,349.290009,356.910004,348.059998,356.25,1496100,356.25
2025-08-19,354.0,355.5,346.059998,346.880005,1825300,346.880005
2025-08-20,346.200012,346.440002,339.619995,345.450012,1779500,345.450012
2025-08-21,343.459991,348.839996,343.459991,347.570007,1038000,347.570007
2025-08-22,348.540009,354.959991,346.790009,349.630005,1198300,349.630005
2025-08-25,347.0,349.049988,344.660004,345.190002,1022400,345.190002
2025-08-26,344.140015,345.559998,343.140015,344.029999,1718600,344.029999
2025-08-27,345.0,347.679993,343.109985,346.880005,1069800,346.880005
2025-08-28,347.720001,355.48999,347.720001,354.290009,1081300,354.290009
2025-08-29,353.600006,355.230011,346.190002,350.429993,1304300,350.429993
2025-09-02,343.950012,346.859985,340.670013,342.809998,1202500,342.809998
2025-09-03,340.880005,347.429993,340.570007,347.320007,1141100,347.320007
2025-09-04,346.929993,350.119995,344.429993,349.329987,905400,349.329987
2025-09-05,353.029999,355.309998,345.880005,351.01001,1115800,351.01001
2025-09-08,353.670013,361.359985,353.0,360.640015,1773400,360.640015
2025-09-09,362.0,362.709991,356.399994,361.769989,1271800,361.769989
2025-09-10,348.5,348.529999,326.350006,338.529999,5847800,338.529999
2025-09-11,342.359985,357.76001,338.899994,354.700012,3571600,354.700012
2025-09-12,353.470001,355.070007,342.089996,343.480011,1616900,343.480011
2025-09-15,343.170013,352.0,342.26001,351.519989,1405100,351.519989
2025-09-16,350.170013,352.570007,347.950012,349.01001,1459000,349.01001
2025-09-17,349.880005,349.880005,341.200012,347.269989,1671600,347.269989
2025-09-18,359.5,366.049988,356.429993,364.880005,1762800,364.880005
2025-09-19,367.26001,374.299988,365.519989,373.350006,5005100,373.350006
2025-09-22,370.0,373.899994,364.700012,373.369995,1620300,373.369995
2025-09-23,370.980011,371.839996,363.980011,366.299988,1527900,366.299988
2025-09-24,366.709991,366.709991,355.799988,356.959991,1655800,356.959991
2025-09-25,352.519989,355.029999,350.029999,351.059998,1921200,351.059998
2025-09-26,349.920013,351.089996,346.98999,350.109985,1299300,350.109985
2025-09-29,352.880005,352.880005,347.809998,348.519989,1207600,348.519989
2025-09-30,349.200012,352.049988,346.920013,351.26001,1195200,351.26001
2025-10-01,348.269989,355.149994,347.410004,351.970001,1156800,351.970001
2025-10-02,354.549988,355.140015,346.350006,347.23999,1649600,347.23999
2025-10-03,347.23999,353.149994,345.0,347.269989,1056300,347.269989
2025-10-06,350.0,354.850006,350.0,353.359985,1441200,353.359985
2025-10-07,352.700012,353.329987,342.079987,345.480011,949300,345.480011
2025-10-08,346.070007,354.26001,346.070007,350.0,1292800,350.0
2025-10-09,348.25,348.769989,343.579987,348.670013,1227200,348.670013
2025-10-10,348.100006,350.26001,325.859985,327.0,2156100,327.0
2025-10-13,329.75,334.200012,324.940002,332.230011,1724000,332.230011
2025-10-14,324.5,329.850006,318.019989,325.75,1602500,325.75
2025-10-15,330.649994,330.649994,321.390015,324.100006,1599600,324.100006
2025-10-16,326.179993,327.049988,320.079987,324.25,1788400,324.25
2025-10-17,322.589996,328.209991,320.0,326.119995,1481700,326.119995
2025-10-20,327.790009,331.119995,326.390015,329.640015,1458300,329.640015
2025-10-21,327.529999,335.119995,327.109985,333.450012,1258400,333.450012
2025-10-22,333.440002,336.5,326.160004,330.51001,1996400,330.51001
2025-10-23,329.299988,338.179993,327.619995,337.269989,1533700,337.269989
2025-10-24,339.76001,351.130005,339.76001,345.100006,1856400,345.100006
2025-10-27,357.529999,357.529999,346.0,351.399994,4236500,351.399994
2025-10-28,339.01001,348.079987,327.170013,341.299988,3216000,341.299988
2025-10-29,337.299988,347.0,334.0,341.429993,2412600,341.429993
2025-10-30,340.0,342.200012,333.410004,336.089996,1559500,336.089996
2025-10-31,338.730011,340.730011,336.220001,338.690002,1429800,338.690002
2025-11-03,341.709991,341.709991,331.0,335.410004,1469100,335.410004
2025-11-04,330.059998,336.059998,325.589996,333.220001,3048000,333.220001
2025-11-05,331.950012,332.559998,324.230011,327.630005,2229600,327.630005
2025-11-06,324.940002,327.26001,318.570007,324.450012,3178000,324.450012
2025-11-07,324.48999,326.609985,319.190002,325.049988,1612800,325.049988
2025-11-10,326.559998,330.839996,323.320007,328.940002,2008200,328.940002
2025-11-11,326.529999,326.790009,316.220001,318.51001,1905500,318.51001
2025-11-12,320.929993,321.630005,314.76001,315.540009,1649900,315.540009
2025-11-13,314.890015,317.470001,312.98999,315.98999,1773600,315.98999
2025-11-14,311.850006,319.649994,310.649994,314.929993,1363700,314.929993
2025-11-17,313.540009,315.829987,309.640015,311.290009,1519700,311.290009
2025-11-18,307.730011,310.339996,302.140015,303.209991,2025900,303.209991
2025-11-19,304.209991,310.119995,302.429993,306.76001,1434800,306.76001
2025-11-20,312.149994,316.709991,301.630005,302.140015,1570500,302.140015
2025-11-21,301.920013,303.899994,295.179993,300.579987,1748300,300.579987
2025-11-24,303.369995,305.720001,299.649994,304.470001,2997000,304.470001
2025-11-25,300.75,305.75,298.170013,303.660004,1976100,303.660004
