date,open,high,low,close,volume,adj_close
2025-04-02,167.399994,167.979996,165.850006,166.470001,7044900,159.301163
2025-04-03,160.119995,161.350006,155.800003,156.119995,15501000,149.396851
2025-04-04,151.759995,152.460007,142.75,143.279999,20374700,137.109802
2025-04-07,138.729996,146.190002,137.289993,140.149994,17817000,134.114578
2025-04-08,144.149994,144.490005,134.869995,136.929993,12904400,131.033249
2025-04-09,135.020004,147.470001,133.880005,146.029999,16846800,139.741364
2025-04-10,143.220001,143.630005,133.449997,134.979996,20991200,129.167206
2025-04-11,135.009995,137.119995,132.039993,135.630005,17224400,129.789246
2025-04-14,138.479996,138.539993,134.100006,135.320007,9628200,129.492584
2025-04-15,134.320007,136.630005,134.25,134.539993,9334800,128.74617
2025-04-16,135.399994,137.550003,134.800003,135.360001,8637200,129.530869
2025-04-17,136.690002,140.240005,136.449997,137.869995,8434400,131.93277
2025-04-21,136.020004,136.289993,132.330002,133.729996,9967500,127.971054
2025-04-22,135.259995,138.240005,134.940002,137.300003,7984700,131.387329
2025-04-23,137.210007,138.550003,135.149994,136.679993,10002000,130.794022
2025-04-24,137.919998,139.399994,137.220001,139.070007,7745800,133.0811
2025-04-25,138.330002,139.050003,137.25,138.729996,6878500,132.755753
2025-04-28,138.970001,140.460007,138.679993,140.100006,6715500,134.066757
2025-04-29,138.690002,140.009995,138.570007,139.300003,7343800,133.301193
2025-04-30,138.0,138.149994,134.139999,136.059998,13858000,130.200714
2025-05-01,135.419998,137.949997,135.119995,136.259995,10199800,130.392105
2025-05-02,137.880005,139.779999,135.289993,138.5,12393200,132.535645
2025-05-05,136.770004,137.0,135.179993,135.5,9665000,129.664841
2025-05-06,136.350006,137.309998,135.039993,135.600006,9916200,129.760544
2025-05-07,136.070007,136.300003,134.619995,135.789993,8422100,129.942337
2025-05-08,136.690002,138.889999,136.470001,137.039993,8669300,131.138519
2025-05-09,138.899994,139.369995,137.699997,138.490005,5965700,132.526093
2025-05-12,142.449997,143.710007,140.570007,141.619995,8028200,135.521271
2025-05-13,141.529999,143.229996,140.919998,142.350006,8536800,136.219849
2025-05-14,141.759995,142.229996,140.729996,141.669998,6453600,135.569122
2025-05-15,140.0,142.460007,139.509995,142.259995,7545400,136.133713
2025-05-16,142.699997,143.0,140.699997,142.100006,8200100,135.980621
2025-05-19,139.470001,139.520004,137.119995,138.490005,7713600,134.140305
2025-05-20,138.289993,138.75,137.029999,137.270004,6503900,132.958618
2025-05-21,136.619995,137.130005,135.490005,135.559998,9073200,131.302307
2025-05-22,134.990005,135.990005,133.770004,135.289993,8877600,131.040802
2025-05-23,134.389999,136.789993,134.059998,136.539993,7025900,132.251526
2025-05-27,137.380005,137.970001,136.410004,137.830002,8348900,133.501022
2025-05-28,138.779999,138.789993,135.660004,136.020004,6876300,131.747864
2025-05-29,136.5,137.940002,136.100006,137.910004,7554300,133.578506
2025-05-30,136.880005,137.449997,135.210007,136.699997,12858900,132.406494
2025-06-02,138.490005,138.690002,136.429993,137.839996,9076600,133.510712
2025-06-03,137.649994,140.589996,136.600006,139.550003,9001300,135.166992
2025-06-04,139.419998,140.630005,137.330002,137.369995,8735600,133.055466
2025-06-05,138.149994,138.289993,136.699997,136.899994,6342600,132.60022
2025-06-06,138.089996,140.610001,138.089996,140.210007,6563500,135.80629
2025-06-09,140.550003,142.139999,139.690002,140.759995,7159500,136.338989
2025-06-10,142.220001,144.940002,141.910004,143.350006,9841500,138.847641
2025-06-11,144.190002,145.119995,142.610001,144.779999,9256700,140.232727
2025-06-12,144.5,145.199997,143.429993,144.970001,6999400,140.416763
2025-06-13,147.080002,147.600006,144.539993,145.910004,14148000,141.327255
2025-06-16,145.729996,146.869995,143.740005,146.029999,10105100,141.443466
2025-06-17,147.330002,149.979996,146.5,148.850006,11330300,144.174911
2025-06-18,149.440002,150.169998,147.699997,148.190002,9841900,143.535629
2025-06-20,148.520004,149.899994,147.899994,149.550003,23705900,144.852921
2025-06-23,152.119995,152.149994,146.320007,146.860001,10540600,142.247406
2025-06-24,144.539993,146.389999,143.160004,143.550003,10778400,139.041367
2025-06-25,143.410004,144.199997,142.509995,143.229996,7386100,138.731415
2025-06-26,143.699997,145.080002,143.399994,144.440002,7415700,139.903427
2025-06-27,144.550003,144.669998,142.570007,143.789993,9213500,139.273819
2025-06-30,143.039993,144.100006,142.399994,143.190002,6980300,138.692673
2025-07-01,143.339996,146.270004,142.509995,145.570007,8508200,140.997925
2025-07-02,147.009995,148.009995,145.470001,147.979996,8228700,143.33223
2025-07-03,147.839996,148.979996,147.360001,148.369995,5173300,143.709976
2025-07-07,147.399994,148.169998,145.580002,147.399994,9460900,142.770432
2025-07-08,147.320007,153.240005,147.259995,153.240005,14082100,148.427017
2025-07-09,152.940002,153.960007,152.479996,153.020004,9495900,148.213928
2025-07-10,152.789993,155.279999,151.679993,154.169998,8395100,149.327805
2025-07-11,154.289993,155.889999,153.570007,155.309998,8333200,150.431992
2025-07-14,154.899994,154.899994,151.139999,151.649994,10706300,146.886948
2025-07-15,151.600006,152.309998,150.25,150.690002,7346300,145.957108
2025-07-16,150.759995,151.479996,149.220001,149.919998,7923400,145.211304
2025-07-17,149.160004,151.839996,148.600006,151.380005,8359600,146.625443
2025-07-18,155.020004,155.910004,146.529999,150.039993,45782600,145.327515
2025-07-21,151.199997,151.669998,149.130005,149.679993,17982200,144.978821
2025-07-22,149.259995,150.940002,148.479996,150.039993,26196500,145.327515
2025-07-23,150.910004,153.139999,150.470001,153.119995,13162800,148.310776
2025-07-24,152.690002,156.0,152.199997,155.830002,15701000,150.935684
2025-07-25,155.830002,156.199997,153.960007,154.839996,7875500,149.976761
2025-07-28,155.399994,156.550003,154.949997,156.279999,8755400,151.371536
2025-07-29,156.679993,157.210007,155.449997,157.029999,6446000,152.097977
2025-07-30,156.139999,156.309998,152.699997,153.559998,9191700,148.736954
2025-07-31,152.0,153.929993,151.139999,151.639999,10237100,146.877274
2025-08-01,152.539993,154.649994,150.350006,151.399994,10706500,146.644791
2025-08-04,151.25,152.080002,149.820007,151.039993,10116600,146.296112
2025-08-05,151.029999,153.100006,149.899994,153.039993,8604100,148.233307
2025-08-06,154.479996,155.160004,152.220001,152.779999,7840900,147.981461
