date,open,high,low,close,volume,adj_close
2025-04-29,101.940002,102.860001,101.050003,102.309998,2616300,102.309998
2025-04-30,100.065002,102.290001,99.269997,102.160004,3566700,102.160004
2025-05-01,106.660004,106.800003,103.5,106.32,7760600,106.32
2025-05-02,107.120003,108.129997,104.800003,105.0,5147500,105.0
2025-05-05,104.519997,106.839996,104.050003,105.699997,7473500,105.699997
2025-05-06,104.669998,108.449997,101.059998,106.059998,13053000,106.059998
2025-05-07,105.709999,108.0,104.279999,106.019997,5925100,106.019997
2025-05-08,107.375,110.18,106.379997,109.220001,5469600,109.220001
2025-05-09,110.120003,110.449997,106.842003,107.879997,3603900,107.879997
2025-05-12,112.129997,113.519997,111.029999,113.419998,4174700,113.419998
2025-05-13,113.489998,118.080002,113.394997,117.309998,6364400,117.309998
2025-05-14,118.040001,119.360001,117.080002,119.089996,6332100,119.089996
2025-05-15,117.805,118.5,115.940002,117.139999,4196800,117.139999
2025-05-16,117.919998,118.510002,116.519997,117.669998,3143200,117.669998
2025-05-19,115.290001,116.980003,114.730003,116.459999,4864800,116.459999
2025-05-20,115.370003,116.339996,114.660004,116.290001,2995300,116.290001
2025-05-21,114.93,116.080002,113.550003,113.690002,3702000,113.690002
2025-05-22,114.175003,117.128998,114.019997,115.669998,3671500,115.669998
2025-05-23,113.610001,115.580002,113.300003,114.459999,2888800,114.459999
2025-05-27,116.434998,118.040001,115.214996,117.599998,3317800,117.599998
2025-05-28,117.610001,118.717003,116.059998,116.300003,2518600,116.300003
2025-05-29,116.639999,118.239998,115.620003,117.0,3555700,117.0
2025-05-30,116.309998,118.199997,115.18,117.879997,7310500,117.879997
2025-06-02,117.43,118.349998,114.739998,117.739998,4103500,117.739998
2025-06-03,117.370003,119.089996,116.120003,118.660004,3884800,118.660004
2025-06-04,119.224998,121.389999,118.989998,119.699997,6012200,119.699997
2025-06-05,121.190002,123.769997,120.580002,121.75,5306200,121.75
2025-06-06,122.639999,123.150002,121.540001,122.160004,4539400,122.160004
2025-06-09,122.389999,122.889999,118.769997,121.169998,4810700,121.169998
2025-06-10,122.43,123.779999,119.519997,119.910004,5769400,119.910004
2025-06-11,119.989998,120.580002,118.139999,118.629997,3480800,118.629997
2025-06-12,120.110001,123.690002,120.0,122.68,4963500,122.68
2025-06-13,120.540001,123.160004,119.809998,120.449997,4029400,120.449997
2025-06-16,120.860001,122.394997,120.860001,121.93,3304900,121.93
2025-06-17,120.970001,125.32,119.559998,124.839996,5518400,124.839996
2025-06-18,125.0,130.490005,124.879997,130.039993,7582400,130.039993
2025-06-20,131.059998,131.764999,127.050003,127.5,5224300,127.5
2025-06-23,127.120003,129.929993,125.5,129.520004,4531500,129.520004
2025-06-24,131.160004,131.625,129.895004,130.830002,2999900,130.830002
2025-06-25,131.160004,132.690002,129.880005,130.240005,3782800,130.240005
2025-06-26,131.350006,132.509995,128.990005,131.119995,3884800,131.119995
2025-06-27,131.740005,133.220001,130.710007,132.080002,4557100,132.080002
2025-06-30,133.369995,135.410004,132.960007,134.330002,3615000,134.330002
2025-07-01,133.660004,135.5,130.279999,132.330002,4164000,132.330002
2025-07-02,131.5,135.389999,131.0,135.009995,4959200,135.009995
2025-07-03,147.449997,156.529999,146.910004,155.149994,29996700,155.149994
2025-07-07,155.0,157.375,151.649994,152.410004,16225100,152.410004
2025-07-08,146.059998,147.850006,142.740005,145.940002,86386000,145.940002
2025-07-09,145.399994,146.070007,141.929993,142.75,9054600,142.75
2025-07-10,142.850998,143.0,136.809998,137.490005,9700400,137.490005
2025-07-11,137.490005,139.619995,137.100006,137.369995,6324200,137.369995
2025-07-14,136.009995,141.0,135.839005,138.800003,6486600,138.800003
2025-07-15,139.089996,141.940002,139.0,140.559998,4952200,140.559998
2025-07-16,139.5,140.240005,137.860001,139.360001,4045200,139.360001
2025-07-17,139.850006,144.320007,139.815002,143.149994,5309800,143.149994
2025-07-18,143.289993,145.669998,142.669998,145.020004,3609900,145.020004
2025-07-21,145.419998,146.119995,143.639999,145.270004,3683700,145.270004
2025-07-22,144.740005,145.899994,142.770004,144.889999,3694000,144.889999
2025-07-23,145.179993,145.229996,141.75,144.0,3448500,144.0
2025-07-24,145.0,147.860001,144.714996,146.559998,2931900,146.559998
2025-07-25,147.464996,150.399994,146.554993,149.839996,4924600,149.839996
2025-07-28,150.899994,151.649994,149.660004,150.770004,2648600,150.770004
2025-07-29,150.990005,152.240005,148.600006,150.270004,2875800,150.270004
2025-07-30,150.259995,150.794998,148.139999,148.880005,3940300,148.880005
2025-07-31,143.0,143.410004,137.675003,139.979996,10859500,139.979996
2025-08-01,137.475006,138.679993,134.130005,135.600006,6067300,135.600006
2025-08-04,137.199997,139.139999,136.149994,139.130005,3501100,139.130005
2025-08-05,139.660004,139.990005,132.720001,132.940002,5551400,132.940002
2025-08-06,133.100006,137.330002,133.100006,136.960007,7405500,136.960007
2025-08-07,147.75,149.0,131.199997,136.380005,16640900,136.380005
2025-08-08,136.589996,139.75,129.360001,130.910004,10874900,130.910004
2025-08-11,129.460007,132.550003,128.419998,128.830002,8536100,128.830002
2025-08-12,128.899994,129.899994,126.275002,128.960007,6829400,128.960007
2025-08-13,129.699997,129.860001,126.980003,128.710007,4753800,128.710007
2025-08-14,127.669998,127.900002,124.18,124.519997,6438900,124.519997
2025-08-15,124.709999,128.220001,123.419998,127.25,4566500,127.25
2025-08-18,127.68,129.550003,127.18,129.070007,2625400,129.070007
2025-08-19,129.460007,131.229996,127.839996,128.990005,4477100,128.990005
2025-08-20,128.470001,128.729004,125.559998,128.460007,3914700,128.460007
2025-08-21,128.059998,129.240005,126.674004,129.149994,2965100,129.149994
2025-08-22,129.009995,132.380005,128.080002,131.220001,3826900,131.220001
2025-08-25,130.509995,130.889999,128.089996,128.380005,2621600,128.380005
2025-08-26,128.559998,129.020004,126.25,126.309998,5024400,126.309998
2025-08-27,128.070007,131.860001,128.009995,131.729996,6071200,131.729996
2025-08-28,134.369995,141.360001,134.119995,140.960007,9304200,140.960007
2025-08-29,139.960007,142.5,136.039993,136.679993,5105200,136.679993
2025-09-02,134.479996,135.600006,132.0,134.690002,4848400,134.690002
2025-09-03,134.300003,134.451996,131.119995,132.600006,3718600,132.600006
2025-09-04,131.970001,132.320007,129.059998,131.779999,2955200,131.779999
2025-09-05,132.740005,136.25,132.395004,136.080002,4851100,136.080002
2025-09-08,136.289993,136.914993,134.649994,136.440002,4757600,136.440002
2025-09-09,136.509995,140.679993,136.479996,140.460007,4493200,140.460007
2025-09-10,141.339996,145.154999,138.690002,139.130005,4859400,139.130005
2025-09-11,139.830002,141.039993,138.552994,139.149994,2819200,139.149994
2025-09-12,138.904999,139.809998,136.240005,136.5,3034100,136.5
2025-09-15,136.800003,139.848007,136.100006,138.649994,4719100,138.649994
2025-09-16,135.850006,136.149994,132.690002,134.589996,5104100,134.589996
2025-09-17,134.759995,136.539993,132.279999,134.229996,3558500,134.229996
2025-09-18,135.229996,137.270004,134.529999,136.809998,3718300,136.809998
