date,open,high,low,close,volume,adj_close
2025-04-29,46.639999,48.299999,45.84,47.709999,4433100,47.709999
2025-04-30,46.27,46.799999,44.209999,44.59,5685300,44.59
2025-05-01,44.740002,45.419998,43.799999,44.549999,5883100,44.549999
2025-05-02,44.779999,46.23,44.650002,45.560001,4097400,45.560001
2025-05-05,45.5,45.619999,44.119999,44.419998,4156100,44.419998
2025-05-06,44.77,45.98,43.779999,43.869999,5876800,43.869999
2025-05-07,43.560001,44.32,43.09,43.73,4679200,43.73
2025-05-08,43.959999,50.48,43.77,49.049999,10304500,49.049999
2025-05-09,49.290001,51.18,48.830002,50.779999,6578300,50.779999
2025-05-12,54.169998,54.43,47.240002,47.939999,14879500,47.939999
2025-05-13,45.27,47.189999,43.93,45.630001,18298800,45.630001
2025-05-14,45.599998,48.73,45.490002,48.27,8374700,48.27
2025-05-15,47.330002,50.290001,46.57,49.73,6505200,49.73
2025-05-16,49.950001,51.880001,49.099998,50.400002,6249600,50.400002
2025-05-19,48.869999,49.299999,47.75,48.779999,5521300,48.779999
2025-05-20,48.779999,50.529999,48.669998,49.040001,4367400,49.040001
2025-05-21,48.349998,48.48,46.939999,47.290001,5738600,47.290001
2025-05-22,37.799999,40.5,37.59,38.009998,30803200,38.009998
2025-05-23,37.77,39.98,37.599998,39.639999,10168300,39.639999
2025-05-27,40.150002,40.799999,39.5,40.220001,6167300,40.220001
2025-05-28,40.09,40.119999,38.939999,38.959999,4880700,38.959999
2025-05-29,39.459999,39.900002,38.599998,39.240002,6357900,39.240002
2025-05-30,38.990002,41.810001,38.150002,41.389999,9516500,41.389999
2025-06-02,41.389999,41.720001,40.34,41.32,5034900,41.32
2025-06-03,40.880001,43.860001,40.389999,43.75,6100400,43.75
2025-06-04,44.07,44.139999,42.799999,43.16,4167900,43.16
2025-06-05,43.130001,43.169998,41.060001,41.299999,7286000,41.299999
2025-06-06,41.68,41.959999,41.009998,41.18,6994700,41.18
2025-06-09,41.75,44.400002,41.52,43.259998,6755700,43.259998
2025-06-10,44.84,46.400002,43.950001,45.080002,6139100,45.080002
2025-06-11,45.669998,46.240002,45.029999,45.279999,3956300,45.279999
2025-06-12,45.549999,45.84,44.02,44.700001,3755300,44.700001
2025-06-13,44.34,46.939999,44.099998,45.599998,6456400,45.599998
2025-06-16,46.5,46.619999,44.360001,45.93,6310800,45.93
2025-06-17,36.130001,36.310001,33.009998,34.919998,34627900,34.919998
2025-06-18,34.82,36.740002,34.720001,36.380001,14579500,36.380001
2025-06-20,36.450001,37.389999,35.689999,35.849998,13064900,35.849998
2025-06-23,35.84,36.209999,34.459999,34.560001,8131100,34.560001
2025-06-24,34.759998,38.560001,34.349998,38.380001,11605400,38.380001
2025-06-25,38.299999,38.759998,36.599998,38.110001,9841600,38.110001
2025-06-26,40.5,43.27,40.0,43.0,15876800,43.0
2025-06-27,42.48,42.880001,39.380001,40.880001,12193400,40.880001
2025-06-30,39.91,40.77,38.360001,39.650002,11507100,39.650002
2025-07-01,39.810001,42.849998,38.560001,40.91,12436200,40.91
2025-07-02,40.900002,42.59,40.75,40.970001,6690200,40.970001
2025-07-03,41.560001,43.889999,41.52,42.57,7032100,42.57
2025-07-07,41.849998,42.77,40.950001,42.459999,5969900,42.459999
2025-07-08,40.419998,41.610001,39.209999,40.939999,9639400,40.939999
2025-07-09,39.790001,43.34,39.759998,42.849998,10322900,42.849998
2025-07-10,42.93,43.650002,42.459999,42.970001,4876400,42.970001
2025-07-11,42.549999,42.880001,41.09,41.860001,4969800,41.860001
2025-07-14,41.990002,43.240002,41.459999,41.98,5653300,41.98
2025-07-15,41.099998,42.369999,39.759998,40.25,7465300,40.25
2025-07-16,40.580002,40.669998,38.82,39.029999,6633200,39.029999
2025-07-17,39.169998,39.880001,38.560001,38.740002,6687600,38.740002
2025-07-18,39.09,39.889999,38.66,39.580002,6584400,39.580002
2025-07-21,39.830002,40.880001,39.130001,39.66,8711900,39.66
2025-07-22,40.169998,43.25,39.970001,42.5,18220100,42.5
2025-07-23,40.029999,40.299999,35.900002,36.48,28643400,36.48
2025-07-24,36.650002,37.27,35.029999,35.52,10703800,35.52
2025-07-25,35.66,35.82,34.959999,35.41,9321600,35.41
2025-07-28,35.790001,35.950001,34.52,34.950001,6579600,34.950001
2025-07-29,34.84,34.919998,33.419998,33.48,7021500,33.48
2025-07-30,33.41,34.299999,32.860001,33.400002,7748100,33.400002
2025-07-31,33.099998,33.32,31.98,32.360001,7546900,32.360001
2025-08-01,32.450001,32.93,31.129999,31.43,7597200,31.43
2025-08-04,31.52,32.119999,31.200001,31.690001,5741100,31.690001
2025-08-05,31.76,32.349998,31.25,31.91,4593700,31.91
2025-08-06,31.690001,31.879999,29.889999,30.110001,8119900,30.110001
2025-08-07,31.129999,32.18,30.65,31.790001,10498700,31.790001
2025-08-08,32.080002,32.540001,31.58,32.439999,8055100,32.439999
2025-08-11,33.439999,34.299999,32.349998,32.57,7807800,32.57
2025-08-12,32.869999,33.700001,32.18,33.560001,6678800,33.560001
2025-08-13,33.25,34.77,32.860001,34.220001,6994100,34.220001
2025-08-14,33.240002,33.490002,31.299999,32.220001,10133800,32.220001
2025-08-15,32.209999,37.07,32.209999,34.84,20906400,34.84
2025-08-18,36.150002,37.389999,35.639999,35.77,13654600,35.77
2025-08-19,35.740002,36.959999,35.400002,36.23,9284100,36.23
2025-08-20,36.0,36.790001,35.5,35.68,5392400,35.68
2025-08-21,35.75,36.09,34.040001,34.580002,6432900,34.580002
2025-08-22,35.07,38.450001,34.799999,38.18,10315300,38.18
2025-08-25,37.599998,38.48,37.25,38.23,5366700,38.23
2025-08-26,38.5,39.57,37.84,37.959999,7133000,37.959999
2025-08-27,37.650002,38.419998,37.400002,37.560001,4556200,37.560001
2025-08-28,38.09,38.23,37.16,37.580002,3874600,37.580002
2025-08-29,37.599998,38.700001,37.189999,37.700001,4036800,37.700001
2025-09-02,36.459999,37.299999,35.91,36.98,5709300,36.98
2025-09-03,37.040001,38.02,37.040001,37.080002,4386800,37.080002
2025-09-04,37.080002,37.080002,35.560001,36.52,5562200,36.52
2025-09-05,37.299999,39.849998,37.299999,39.650002,10718100,39.650002
2025-09-08,39.580002,39.639999,37.950001,38.810001,7661600,38.810001
2025-09-09,38.919998,39.470001,36.880001,37.939999,9337300,37.939999
2025-09-10,38.490002,39.18,36.869999,37.119999,5559800,37.119999
2025-09-11,37.25,39.09,37.110001,37.32,6648600,37.32
2025-09-12,37.540001,38.400002,37.220001,37.630001,6466100,37.630001
