date,open,high,low,close,volume,adj_close
2025-04-29,45.779999,46.595001,45.580002,46.130001,5777400,46.130001
2025-04-30,46.599998,46.869999,41.505001,43.48,11846900,43.48
2025-05-01,43.709999,44.25,42.105,42.509998,6409200,42.509998
2025-05-02,43.0,45.25,42.970001,44.299999,5342600,44.299999
2025-05-05,43.830002,45.889999,43.689999,45.080002,4105700,45.080002
2025-05-06,44.259998,45.25,44.110001,45.110001,3588000,45.110001
2025-05-07,45.299999,46.43,45.110001,45.919998,3886500,45.919998
2025-05-08,46.34,48.27,46.200001,47.860001,3364100,47.860001
2025-05-09,48.080002,48.299999,46.57,46.939999,4189500,46.939999
2025-05-12,49.669998,50.099998,47.485001,47.59,6455600,47.59
2025-05-13,47.91,48.09,46.380001,46.77,5065200,46.77
2025-05-14,46.650002,47.470001,46.207001,46.959999,4163400,46.959999
2025-05-15,46.900002,47.34,46.404999,47.0,5029100,47.0
2025-05-16,47.009998,47.470001,46.02,47.02,4064000,47.02
2025-05-19,46.099998,47.07,45.75,47.029999,2959200,47.029999
2025-05-20,46.869999,48.27,46.709999,47.16,3924000,47.16
2025-05-21,46.669998,47.419998,46.200001,46.490002,3184100,46.490002
2025-05-22,46.5,48.439999,46.330002,47.959999,4989500,47.959999
2025-05-23,46.950001,47.880001,46.880001,47.599998,3052100,47.599998
2025-05-27,48.200001,50.560001,47.933998,50.48,8619300,50.48
2025-05-28,50.5,51.689999,50.400002,51.450001,5251400,51.450001
2025-05-29,51.990002,54.48,51.77,52.990002,8409700,52.990002
2025-05-30,52.990002,55.5,52.799999,55.349998,7236900,55.349998
2025-06-02,54.900002,60.07,54.900002,58.740002,11583900,58.740002
2025-06-03,58.43,60.299999,57.834999,60.200001,6016100,60.200001
2025-06-04,60.380001,62.049999,60.325001,61.549999,7092300,61.549999
2025-06-05,61.810001,63.585999,61.619999,62.720001,6408000,62.720001
2025-06-06,63.330002,64.68,62.599998,63.810001,6148800,63.810001
2025-06-09,63.900002,64.970001,62.810001,63.880001,5156900,63.880001
2025-06-10,63.84,63.84,61.400002,61.830002,5312200,61.830002
2025-06-11,59.889999,61.740002,59.720001,60.200001,6211800,60.200001
2025-06-12,59.5,59.529999,57.950001,59.290001,12060000,59.290001
2025-06-13,58.740002,59.0,54.473,55.990002,10589400,55.990002
2025-06-16,55.990002,56.040001,53.794998,53.889999,9042200,53.889999
2025-06-17,54.41,56.485001,53.939999,54.529999,8843300,54.529999
2025-06-18,54.369999,56.09,54.369999,55.299999,4984500,55.299999
2025-06-20,56.119999,56.529999,55.57,56.16,6411900,56.16
2025-06-23,55.970001,55.970001,53.869999,53.919998,5431900,53.919998
2025-06-24,54.400002,54.630001,53.060001,53.369999,4601300,53.369999
2025-06-25,53.389999,53.915001,52.23,53.049999,3948800,53.049999
2025-06-26,52.880001,53.150002,49.150002,50.630001,8448400,50.630001
2025-06-27,50.880001,51.5,50.078999,50.639999,5905800,50.639999
2025-06-30,51.0,51.400002,49.599998,50.16,4032500,50.16
2025-07-01,50.049999,52.75,49.759998,51.360001,6107200,51.360001
2025-07-02,51.400002,53.889999,51.400002,52.959999,6435500,52.959999
