date,open,high,low,close,volume,adj_close
2025-04-29,140.720001,144.0,136.820007,137.240005,5607300,137.240005
2025-04-30,120.760002,127.599998,119.089996,125.82,13743700,125.82
2025-05-01,127.940002,130.070007,126.32,126.57,4499400,126.57
2025-05-02,127.68,132.270004,125.550003,130.539993,3396000,130.539993
2025-05-05,128.649994,129.229996,122.480003,127.160004,3736800,127.160004
2025-05-06,127.0,130.789993,126.230003,126.760002,2703100,126.760002
2025-05-07,125.980003,130.0,125.800003,129.779999,2065800,129.779999
2025-05-08,130.339996,135.300003,127.330002,133.759995,4269100,133.759995
2025-05-09,134.119995,143.610001,133.75,140.679993,5430400,140.679993
2025-05-12,148.940002,156.889999,142.570007,156.210007,12000800,156.210007
2025-05-13,176.119995,195.440002,175.240005,191.600006,20211200,191.600006
2025-05-14,190.479996,198.869995,186.850006,192.979996,8542900,192.979996
2025-05-15,190.5,190.830002,180.919998,186.179993,5979100,186.179993
2025-05-16,187.300003,188.0,175.570007,178.460007,5256300,178.460007
2025-05-19,171.399994,174.080002,160.779999,164.919998,10873000,164.919998
2025-05-20,165.369995,172.889999,164.699997,167.220001,6089900,167.220001
2025-05-21,161.649994,164.820007,159.610001,163.369995,4896000,163.369995
2025-05-22,159.949997,161.0,152.720001,156.350006,7911900,156.350006
2025-05-23,154.009995,161.619995,152.589996,158.380005,3562500,158.380005
2025-05-27,158.550003,158.690002,153.779999,155.729996,3835200,155.729996
2025-05-28,155.509995,157.330002,153.869995,156.449997,2221600,156.449997
2025-05-29,158.0,159.380005,153.770004,155.949997,2514000,155.949997
2025-05-30,155.75,160.639999,154.199997,158.080002,5258100,158.080002
2025-06-02,158.210007,158.820007,148.800003,149.649994,4165200,149.649994
2025-06-03,149.080002,159.649994,145.889999,159.369995,4474600,159.369995
2025-06-04,159.899994,163.169998,156.25,159.809998,3033800,159.809998
2025-06-05,160.649994,167.199997,157.759995,163.839996,3604500,163.839996
2025-06-06,165.139999,166.919998,162.5,166.350006,2121600,166.350006
2025-06-09,167.850006,168.630005,160.089996,160.160004,2601400,160.160004
2025-06-10,162.470001,164.940002,159.850006,164.619995,3025200,164.619995
2025-06-11,170.0,174.429993,166.720001,167.860001,3617600,167.860001
2025-06-12,167.520004,168.940002,163.759995,167.830002,2120800,167.830002
2025-06-13,164.630005,179.5,164.100006,175.199997,4466800,175.199997
2025-06-16,176.320007,177.630005,169.630005,175.25,4928900,175.25
2025-06-17,137.949997,146.929993,135.5,143.899994,20640000,143.899994
2025-06-18,143.710007,150.75,141.5,143.669998,7610700,143.669998
2025-06-20,144.0,147.729996,143.800003,145.0,5074300,145.0
2025-06-23,144.300003,147.0,139.259995,144.669998,3708200,144.669998
2025-06-24,145.940002,153.490005,142.839996,151.179993,5149100,151.179993
2025-06-25,152.0,152.970001,147.300003,152.699997,3386700,152.699997
2025-06-26,156.809998,158.990005,154.0,155.630005,4127900,155.630005
2025-06-27,156.369995,158.190002,149.539993,152.139999,4371600,152.139999
2025-06-30,161.630005,167.789993,159.520004,165.539993,7938500,165.539993
2025-07-01,165.020004,169.630005,158.809998,162.960007,6575500,162.960007
2025-07-02,165.0,178.309998,164.710007,170.520004,6332300,170.520004
2025-07-03,178.0,189.5,177.850006,185.029999,6399700,185.029999
2025-07-07,183.0,183.880005,175.350006,177.059998,3697400,177.059998
2025-07-08,168.320007,172.619995,165.149994,165.479996,4965800,165.479996
2025-07-09,165.300003,167.240005,163.190002,165.990005,2979100,165.990005
2025-07-10,166.589996,168.479996,164.600006,165.089996,3018200,165.089996
2025-07-11,163.600006,165.639999,161.759995,162.440002,2136800,162.440002
2025-07-14,162.5,165.149994,159.850006,160.839996,1911500,160.839996
2025-07-15,167.339996,172.800003,165.889999,171.929993,4188700,171.929993
2025-07-16,172.100006,173.369995,165.570007,166.820007,3211800,166.820007
2025-07-17,167.740005,175.850006,167.600006,173.539993,3650200,173.539993
2025-07-18,173.399994,177.229996,171.860001,175.850006,2611600,175.850006
2025-07-21,176.929993,181.25,175.199997,178.330002,2298200,178.330002
2025-07-22,178.339996,181.059998,175.529999,179.990005,1944900,179.990005
2025-07-23,180.679993,181.880005,176.880005,179.770004,1894400,179.770004
2025-07-24,180.289993,181.990005,177.059998,180.720001,2046700,180.720001
2025-07-25,180.050003,186.809998,179.320007,185.320007,2048000,185.320007
2025-07-28,183.75,184.889999,180.320007,183.580002,2622100,183.580002
2025-07-29,183.580002,184.509995,180.929993,181.820007,1584800,181.820007
2025-07-30,181.990005,183.0,176.619995,179.130005,2300800,179.130005
2025-07-31,179.889999,179.889999,171.990005,174.729996,3571200,174.729996
2025-08-01,186.339996,189.630005,179.0,183.970001,5804800,183.970001
2025-08-04,184.300003,186.25,181.470001,183.419998,2150500,183.419998
2025-08-05,183.059998,188.830002,181.300003,186.839996,2510800,186.839996
2025-08-06,186.720001,190.0,183.5,185.009995,1758600,185.009995
2025-08-07,187.570007,190.660004,185.220001,185.600006,2216000,185.600006
2025-08-08,187.389999,188.5,183.779999,184.649994,1631100,184.649994
2025-08-11,184.279999,187.520004,181.520004,182.130005,1508800,182.130005
2025-08-12,184.289993,187.770004,181.520004,184.729996,2018200,184.729996
2025-08-13,185.360001,192.539993,183.199997,184.839996,2837900,184.839996
2025-08-14,182.190002,183.039993,176.470001,180.050003,2514600,180.050003
2025-08-15,182.119995,206.600006,179.059998,199.949997,10932500,199.949997
2025-08-18,209.679993,221.5,209.5,219.330002,9507100,219.330002
2025-08-19,215.330002,219.649994,208.509995,210.960007,4568600,210.960007
