date,open,high,low,close,volume,adj_close
2025-04-02,539.799988,567.320007,539.080017,563.099976,2560700,551.671082
2025-04-03,525.429993,529.98999,509.559998,511.230011,5193900,500.853851
2025-04-04,487.0,492.0,460.0,470.809998,8105200,461.254242
2025-04-07,446.899994,489.980011,439.380005,465.51001,6353800,456.061798
2025-04-08,488.25,491.920013,452.829987,462.220001,4240900,452.838593
2025-04-09,451.359985,522.0,447.109985,516.869995,7024100,506.379395
2025-04-10,503.100006,503.100006,474.0,489.799988,5374500,479.858765
2025-04-11,487.0,498.519989,478.579987,494.440002,3770200,484.404602
2025-04-14,510.0,512.0,497.149994,503.980011,4392600,493.750977
2025-04-15,507.410004,518.650024,507.0,507.890015,2501200,497.581635
2025-04-16,501.720001,509.450012,492.690002,499.049988,2765600,488.921021
2025-04-17,503.23999,514.830017,499.119995,509.48999,2593500,499.149139
2025-04-21,505.399994,509.269989,494.679993,501.359985,2859300,491.184113
2025-04-22,510.230011,521.0,508.929993,519.98999,2514600,509.436005
2025-04-23,533.630005,551.789978,528.26001,529.309998,3048100,518.566833
2025-04-24,527.099976,546.840027,523.419983,545.369995,2223600,534.300903
2025-04-25,544.599976,549.090027,541.219971,544.859985,1612700,533.801208
2025-04-28,544.859985,554.5,542.469971,546.400024,1459700,535.309998
2025-04-29,543.789978,550.880005,541.299988,548.919983,1695600,537.77887
2025-04-30,535.76001,549.52002,531.450012,547.549988,2438300,536.436646
2025-05-01,548.099976,558.349976,545.5,553.830017,2583000,542.589172
2025-05-02,561.580017,569.780029,559.700012,566.099976,2883000,554.610168
2025-05-05,558.359985,566.559998,557.5,559.559998,2197200,548.202881
2025-05-06,549.599976,557.440002,547.059998,549.359985,2902500,538.2099
2025-05-07,550.210022,555.380005,547.73999,551.919983,1954900,540.717957
2025-05-08,558.820007,572.159973,558.210022,565.700012,1994600,554.218323
2025-05-09,570.25,572.099976,565.780029,567.099976,1522500,555.589905
2025-05-12,596.26001,603.369995,588.080017,591.340027,3527700,579.337891
2025-05-13,593.299988,607.710022,593.059998,603.809998,2765800,591.55481
2025-05-14,603.799988,615.0,602.5,611.599976,2874400,599.186584
2025-05-15,609.72998,619.210022,609.72998,615.900024,2428100,603.399353
2025-05-16,616.950012,620.789978,613.559998,619.030029,2021800,606.465881
2025-05-19,609.190002,619.380005,598.340027,612.299988,2842100,599.872437
2025-05-20,607.75,611.549988,603.01001,606.52002,1601600,594.209839
2025-05-21,601.799988,609.869995,592.0,593.460022,2635900,581.414917
2025-05-22,592.549988,602.200012,592.51001,598.22998,1939600,586.088013
2025-05-23,585.0,601.960022,582.5,598.539978,1530600,586.391785
2025-05-27,605.900024,617.669983,604.950012,615.72998,2364700,603.232849
2025-05-28,617.280029,618.630005,607.309998,608.440002,2001900,596.09082
2025-05-29,608.52002,610.0,598.299988,604.859985,1736100,592.583435
2025-05-30,600.0,603.599976,593.830017,600.450012,2129500,591.195251
2025-06-02,598.599976,599.169983,592.169983,598.719971,1221200,589.491821
2025-06-03,600.0,606.320007,593.72998,603.830017,1730300,594.523132
2025-06-04,605.47998,606.330017,598.719971,599.210022,1294900,589.974304
