date,open,high,low,close,volume,adj_close
2025-04-29,76.610001,77.629997,75.889999,77.099998,1445300,77.099998
2025-04-30,76.959999,77.769997,75.82,77.599998,1533600,77.599998
2025-05-01,77.900002,78.029999,75.410004,76.510002,1337400,76.510002
2025-05-02,78.0,79.220001,77.019997,77.879997,1190900,77.879997
2025-05-05,77.400002,79.0,77.080002,78.169998,1123600,78.169998
2025-05-06,77.209999,77.559998,74.5,74.529999,1746000,74.529999
2025-05-07,75.580002,76.610001,73.860001,76.349998,2467600,76.349998
2025-05-08,76.849998,80.860001,76.160004,79.580002,3113800,79.580002
2025-05-09,79.5,79.779999,75.239998,75.760002,3709400,75.760002
2025-05-12,79.279999,83.089996,78.059998,81.57,3153700,81.57
2025-05-13,81.489998,82.440002,80.150002,80.300003,2342000,80.300003
2025-05-14,80.300003,81.639999,77.5,78.209999,3766500,78.209999
2025-05-15,80.019997,81.059998,79.339996,80.900002,2593200,80.900002
2025-05-16,81.0,84.040001,80.309998,83.620003,2341700,83.620003
2025-05-19,81.82,83.18,81.489998,82.949997,2383600,82.949997
2025-05-20,82.910004,84.949997,82.0,84.209999,1988800,84.209999
2025-05-21,83.699997,84.470001,79.300003,79.370003,2723300,79.370003
2025-05-22,79.099998,80.669998,78.889999,80.540001,1983200,80.540001
2025-05-23,78.639999,80.529999,78.550003,80.370003,1536800,80.370003
2025-05-27,81.150002,82.809998,80.290001,82.489998,2197500,82.489998
2025-05-28,82.370003,85.059998,82.0,84.43,2410500,84.43
2025-05-29,85.629997,85.900002,83.540001,84.279999,1609900,84.279999
2025-05-30,83.459999,83.720001,81.190002,82.239998,3661600,82.239998
2025-06-02,81.68,81.900002,79.029999,81.089996,2126300,81.089996
2025-06-03,80.919998,82.150002,78.790001,81.830002,1663100,81.830002
2025-06-04,82.239998,83.910004,82.07,83.160004,1360500,83.160004
2025-06-05,83.190002,84.349998,81.760002,82.25,1729600,82.25
2025-06-06,83.349998,84.559998,82.440002,82.660004,1614300,82.660004
2025-06-09,83.529999,85.080002,82.599998,84.980003,2038800,84.980003
2025-06-10,85.400002,89.870003,85.0,87.980003,2949700,87.980003
2025-06-11,88.910004,90.110001,87.169998,87.540001,2244700,87.540001
2025-06-12,87.660004,88.699997,87.089996,88.129997,1735400,88.129997
2025-06-13,86.400002,88.18,85.769997,86.93,1612800,86.93
2025-06-16,87.580002,90.419998,86.029999,90.25,1790900,90.25
2025-06-17,89.5,90.949997,89.260002,89.470001,2387300,89.470001
2025-06-18,89.5,91.57,88.650002,90.260002,2028500,90.260002
2025-06-20,91.279999,91.440002,89.970001,90.489998,3181900,90.489998
2025-06-23,89.839996,91.230003,88.68,90.610001,2151000,90.610001
2025-06-24,91.540001,91.660004,89.389999,91.519997,2323500,91.519997
2025-06-25,92.129997,95.57,90.300003,93.230003,3688200,93.230003
2025-06-26,93.82,95.989998,92.760002,94.160004,2928600,94.160004
2025-06-27,94.790001,95.690002,93.339996,94.790001,3837700,94.790001
2025-06-30,94.790001,96.830002,94.160004,95.410004,1845100,95.410004
2025-07-01,95.010002,100.150002,95.010002,98.150002,2885600,98.150002
2025-07-02,98.150002,100.959999,97.93,100.339996,2165800,100.339996
2025-07-03,100.82,102.089996,100.019997,100.800003,1423700,100.800003
2025-07-07,99.370003,99.669998,96.559998,97.150002,2877500,97.150002
2025-07-08,97.419998,100.25,97.040001,99.269997,1894800,99.269997
2025-07-09,96.25,98.779999,95.089996,97.440002,3002700,97.440002
2025-07-10,97.080002,101.279999,96.620003,100.050003,2137000,100.050003
2025-07-11,98.5,100.400002,97.699997,99.25,1998700,99.25
2025-07-14,98.839996,99.389999,97.32,98.529999,2090800,98.529999
2025-07-15,99.0,99.779999,96.68,97.150002,1984100,97.150002
2025-07-16,97.900002,98.360001,95.75,96.959999,2249200,96.959999
2025-07-17,96.800003,98.410004,96.169998,97.93,1937300,97.93
2025-07-18,98.959999,99.339996,95.540001,96.139999,1888400,96.139999
2025-07-21,94.989998,96.339996,92.25,94.800003,2924300,94.800003
2025-07-22,95.190002,102.290001,95.110001,102.029999,2627300,102.029999
2025-07-23,104.029999,106.169998,102.790001,104.610001,3152100,104.610001
2025-07-24,104.610001,108.75,104.529999,107.639999,2051200,107.639999
2025-07-25,107.510002,110.050003,106.400002,109.300003,1937700,109.300003
2025-07-28,109.400002,111.0,108.620003,109.879997,1533000,109.879997
2025-07-29,109.760002,109.760002,106.940002,108.709999,2178300,108.709999
2025-07-30,109.07,109.589996,105.690002,106.660004,1713500,106.660004
2025-07-31,105.5,107.629997,102.290001,102.709999,3421100,102.709999
2025-08-01,92.610001,99.900002,92.190002,94.660004,4769800,94.660004
2025-08-04,95.029999,98.480003,94.0,98.440002,2360400,98.440002
2025-08-05,98.449997,99.540001,97.599998,97.760002,2487900,97.760002
2025-08-06,98.099998,98.389999,92.699997,94.43,2152300,94.43
2025-08-07,95.389999,96.489998,94.0,95.5,1324600,95.5
2025-08-08,95.989998,96.220001,93.32,94.559998,1361700,94.559998
2025-08-11,94.269997,95.690002,93.980003,94.779999,1481800,94.779999
2025-08-12,94.519997,98.129997,94.389999,97.379997,1491100,97.379997
2025-08-13,98.199997,101.370003,98.019997,101.110001,1671100,101.110001
2025-08-14,99.860001,100.610001,98.849998,100.089996,1314200,100.089996
2025-08-15,100.629997,101.68,99.82,100.110001,1534700,100.110001
2025-08-18,100.769997,101.040001,99.389999,100.529999,1211500,100.529999
2025-08-19,100.82,102.800003,100.25,101.599998,1025100,101.599998
2025-08-20,101.139999,101.190002,99.25,100.800003,1435500,100.800003
2025-08-21,99.650002,101.550003,99.080002,99.290001,1257000,99.290001
2025-08-22,100.050003,103.650002,99.43,101.800003,1965300,101.800003
2025-08-25,101.370003,101.769997,99.470001,99.660004,1686400,99.660004
2025-08-26,99.800003,100.830002,98.510002,98.730003,1800100,98.730003
2025-08-27,98.540001,99.730003,98.099998,99.540001,1169100,99.540001
2025-08-28,99.730003,100.019997,97.82,99.169998,1144900,99.169998
2025-08-29,99.190002,100.440002,98.910004,99.959999,1009100,99.959999
2025-09-02,98.690002,99.330002,95.440002,97.82,1205000,97.82
2025-09-03,97.519997,98.050003,95.800003,96.07,1163500,96.07
2025-09-04,95.860001,97.919998,93.940002,97.68,1137600,97.68
2025-09-05,98.150002,100.82,97.370003,98.93,1520100,98.93
2025-09-08,98.669998,98.669998,96.800003,98.18,1075500,98.18
2025-09-09,98.419998,98.480003,97.019997,98.220001,783800,98.220001
2025-09-10,98.080002,98.800003,94.830002,95.489998,1167600,95.489998
2025-09-11,95.690002,99.559998,95.629997,99.309998,1738000,99.309998
2025-09-12,99.510002,99.510002,95.120003,95.120003,1517100,95.120003
2025-09-15,95.309998,101.010002,95.199997,100.919998,1777500,100.919998
2025-09-16,100.790001,102.0,98.860001,101.480003,1473200,101.480003
2025-09-17,101.760002,104.220001,99.5,100.870003,1725400,100.870003
2025-09-18,102.309998,103.779999,101.599998,103.029999,1137800,103.029999
2025-09-19,102.790001,103.940002,101.690002,102.75,3621700,102.75
2025-09-22,102.75,102.75,101.07,101.489998,951900,101.489998
2025-09-23,101.339996,102.910004,98.870003,99.370003,1184100,99.370003
2025-09-24,99.5,99.769997,93.919998,94.410004,1666100,94.410004
2025-09-25,93.510002,94.190002,91.360001,92.190002,2026200,92.190002
2025-09-26,92.290001,93.029999,91.410004,91.690002,2163100,91.690002
2025-09-29,92.260002,92.5,90.620003,91.870003,1456800,91.870003
2025-09-30,91.639999,95.440002,91.300003,94.970001,2127300,94.970001
2025-10-01,94.970001,102.349998,94.970001,102.260002,2335800,102.260002
2025-10-02,103.0,103.0,98.519997,99.300003,1899600,99.300003
2025-10-03,100.349998,102.839996,99.489998,102.120003,1679700,102.120003
2025-10-06,102.160004,102.68,100.559998,101.019997,1269200,101.019997
2025-10-07,101.360001,101.949997,96.5,96.68,1390500,96.68
2025-10-08,96.660004,98.389999,95.709999,97.779999,1230900,97.779999
2025-10-09,97.629997,98.699997,96.339996,96.449997,911000,96.449997
2025-10-10,96.489998,96.489998,91.650002,93.860001,1571800,93.860001
2025-10-13,95.0,96.43,93.589996,95.029999,775000,95.029999
2025-10-14,92.75,93.800003,88.0,91.0,2558300,91.0
2025-10-15,90.709999,95.610001,90.099998,93.0,2762100,93.0
2025-10-16,94.050003,98.699997,93.5,95.910004,2159800,95.910004
2025-10-17,95.199997,96.800003,94.809998,95.459999,1165800,95.459999
2025-10-20,95.610001,100.940002,95.610001,99.5,1750400,99.5
2025-10-21,100.410004,102.309998,98.510002,98.959999,1318900,98.959999
2025-10-22,98.389999,99.540001,95.82,97.230003,1651700,97.230003
2025-10-23,97.230003,100.239998,97.07,99.970001,1298400,99.970001
2025-10-24,101.440002,101.93,100.059998,100.110001,948600,100.110001
2025-10-27,101.0,101.0,98.860001,100.349998,1319100,100.349998
2025-10-28,100.0,100.18,97.639999,97.800003,1049400,97.800003
2025-10-29,97.220001,98.550003,94.910004,95.029999,1305700,95.029999
2025-10-30,94.389999,99.389999,94.0,99.010002,3007900,99.010002
2025-10-31,106.910004,123.93,106.120003,123.540001,6797300,123.540001
2025-11-03,121.129997,124.080002,116.260002,119.989998,3088700,119.989998
2025-11-04,117.900002,121.25,116.209999,116.860001,2261400,116.860001
2025-11-05,121.5,126.0,120.0,122.440002,2918200,122.440002
2025-11-06,122.480003,124.040001,118.5,121.110001,2144600,121.110001
2025-11-07,120.209999,122.080002,119.360001,121.900002,1125600,121.900002
2025-11-10,123.0,124.5,120.730003,121.720001,1111900,121.720001
2025-11-11,122.0,125.5,122.0,122.599998,2403400,122.599998
2025-11-12,122.790001,124.839996,121.839996,121.980003,1303600,121.980003
2025-11-13,120.209999,123.650002,119.040001,119.93,1566100,119.93
2025-11-14,117.32,121.5,117.099998,120.669998,1063200,120.669998
2025-11-17,119.150002,122.790001,118.589996,120.080002,1628800,120.080002
2025-11-18,118.330002,122.269997,117.5,121.970001,1497500,121.970001
2025-11-19,121.639999,122.379997,119.849998,120.120003,1902900,120.120003
2025-11-20,122.650002,126.940002,117.860001,119.260002,2409000,119.260002
2025-11-21,119.260002,125.410004,118.970001,123.849998,2371700,123.849998
2025-11-24,123.75,127.879997,123.330002,125.959999,2332600,125.959999
2025-11-25,125.760002,130.470001,125.5,129.639999,1587400,129.639999
2025-11-26,128.820007,130.570007,128.449997,129.809998,2081100,129.809998
2025-11-28,130.0,131.479996,129.270004,131.449997,965700,131.449997
2025-12-01,129.880005,132.149994,128.270004,128.720001,1932600,128.720001
2025-12-02,129.009995,129.5,127.43,127.550003,1091200,127.550003
2025-12-03,128.369995,129.720001,127.510002,127.949997,831600,127.949997
2025-12-04,127.080002,128.279999,124.269997,128.029999,948300,128.029999
2025-12-05,128.419998,129.270004,127.639999,128.960007,823100,128.960007
2025-12-08,129.270004,129.300003,126.440002,127.25,1270400,127.25
2025-12-09,126.529999,135.830002,126.529999,132.130005,3246100,132.130005
2025-12-10,131.649994,136.240005,131.649994,134.910004,1847900,134.910004
2025-12-11,133.940002,136.639999,133.940002,136.440002,1350600,136.440002
2025-12-12,136.190002,137.089996,134.130005,134.869995,1700200,134.869995
2025-12-15,134.899994,136.300003,132.699997,134.919998,2167700,134.919998
2025-12-16,134.479996,134.970001,130.539993,131.559998,1767800,131.559998
2025-12-17,131.350006,133.899994,129.289993,129.559998,1271800,129.559998
2025-12-18,130.869995,133.75,129.990005,130.509995,1109600,130.509995
2025-12-19,131.0,135.509995,130.75,134.779999,5363100,134.779999
2025-12-22,135.600006,138.800003,135.410004,137.600006,1831400,137.600006
2025-12-23,137.009995,137.160004,134.210007,136.190002,916200,136.190002
2025-12-24,135.649994,136.539993,132.929993,135.320007,597500,135.320007
2025-12-26,135.210007,135.649994,133.960007,134.949997,493300,134.949997
2025-12-29,134.740005,135.949997,133.169998,134.479996,1002200,134.479996
2025-12-30,133.910004,134.050003,132.600006,132.75,759400,132.75
2025-12-31,132.399994,132.610001,130.479996,131.160004,777400,131.160004
2026-01-02,131.330002,134.449997,130.419998,134.350006,1157600,134.350006
2026-01-05,134.360001,141.539993,134.360001,141.330002,2234000,141.330002
2026-01-06,141.479996,147.5,140.899994,147.110001,2339100,147.110001
2026-01-07,146.949997,151.339996,146.410004,150.139999,2383500,150.139999
2026-01-08,150.139999,150.139999,145.649994,145.830002,1604300,145.830002
2026-01-09,145.25,145.800003,139.789993,141.070007,1909000,141.070007
2026-01-12,142.220001,145.699997,141.630005,145.550003,1648800,145.550003
2026-01-13,150.0,151.0,142.529999,146.990005,2298200,146.990005
2026-01-14,147.0,148.570007,140.190002,143.970001,2065600,143.970001
2026-01-15,144.679993,146.820007,142.800003,145.300003,1700400,145.300003
2026-01-16,145.300003,145.419998,141.369995,141.649994,1901600,141.649994
2026-01-20,137.779999,148.089996,137.0,147.169998,2090200,147.169998
2026-01-21,147.270004,153.110001,147.270004,152.479996,2268900,152.479996
2026-01-22,153.25,155.529999,152.949997,153.949997,1668100,153.949997
2026-01-23,154.029999,154.029999,148.169998,150.279999,2765000,150.279999
2026-01-26,149.360001,153.070007,147.570007,153.0,2693100,153.0
2026-01-27,152.259995,153.479996,150.770004,152.089996,1494600,152.089996
2026-01-28,152.419998,152.779999,148.490005,149.860001,1848000,149.860001
2026-01-29,150.320007,150.320007,145.679993,149.690002,2174600,149.690002
2026-01-30,149.330002,149.399994,143.0,144.809998,2477200,144.809998
2026-02-02,142.699997,143.559998,139.789993,141.130005,2283800,141.130005
2026-02-03,141.330002,143.059998,135.020004,135.429993,2357500,135.429993
2026-02-04,137.100006,140.649994,133.330002,134.190002,2936200,134.190002
2026-02-05,133.690002,136.149994,132.5,133.610001,2974700,133.610001
2026-02-06,125.989998,128.160004,117.669998,119.720001,4451200,119.720001
2026-02-09,119.720001,119.75,116.669998,117.25,2477400,117.25
2026-02-10,117.5,119.919998,115.209999,119.32,2485400,119.32
2026-02-11,118.290001,119.169998,116.199997,116.379997,2032700,116.379997
2026-02-12,118.150002,118.150002,112.650002,114.440002,3218000,114.440002
2026-02-13,115.199997,117.470001,114.940002,116.809998,1902900,116.809998
2026-02-17,115.580002,117.160004,114.029999,116.510002,3040300,116.510002
2026-02-18,116.18,120.739998,116.059998,120.089996,2617200,120.089996
2026-02-19,119.279999,120.410004,118.68,120.0,1892200,120.0
2026-02-20,116.18,119.690002,115.800003,117.669998,2114100,117.669998
2026-02-23,116.550003,120.599998,115.879997,120.540001,1971800,120.540001
2026-02-24,120.870003,124.959999,120.599998,122.900002,2333300,122.900002
2026-02-25,123.830002,124.029999,120.879997,121.870003,1684500,121.870003
2026-02-26,122.760002,127.639999,118.529999,127.400002,3782300,127.400002
2026-02-27,127.970001,134.759995,127.0,134.460007,4008500,134.460007
2026-03-02,131.75,133.339996,129.880005,132.889999,2200700,132.889999
2026-03-03,129.690002,131.320007,127.110001,129.559998,1435900,129.559998
2026-03-04,130.899994,132.289993,128.600006,128.970001,1307700,128.970001
2026-03-05,127.660004,132.070007,127.32,128.240005,1317600,128.240005
2026-03-06,126.739998,127.75,124.059998,124.620003,1477700,124.620003
2026-03-09,124.25,124.800003,121.190002,124.279999,1592700,124.279999
2026-03-10,124.32,125.050003,120.360001,122.349998,1434500,122.349998
2026-03-11,122.0,123.709999,119.980003,121.5,2019000,121.5
2026-03-12,120.269997,122.040001,115.309998,115.559998,1718000,115.559998
2026-03-13,116.099998,120.410004,116.099998,118.940002,1769700,118.940002
2026-03-16,120.0,122.93,117.489998,119.279999,1944200,119.279999
