date,open,high,low,close,volume,adj_close
2025-04-29,25.4,25.700001,24.6,25.6,7398120,25.6
2025-04-30,24.85,25.200001,23.799999,25.1,11739520,25.1
2025-05-01,25.15,26.200001,25.0,25.299999,9737080,25.299999
2025-05-02,25.65,25.799999,24.9,25.299999,6452000,25.299999
2025-05-05,25.15,25.299999,23.5,23.6,14448700,23.6
2025-05-06,23.450001,24.09,22.799999,23.299999,12703530,23.299999
2025-05-07,23.200001,24.200001,22.299999,22.5,13606920,22.5
2025-05-08,22.799999,23.6,22.4,23.1,7724850,23.1
2025-05-09,23.299999,25.299999,23.200001,25.1,16154670,25.1
2025-05-12,26.0,27.25,25.299999,26.200001,17356240,26.200001
2025-05-13,26.35,26.9,25.799999,26.5,11800940,26.5
2025-05-14,26.6,28.5,26.5,27.6,14006380,27.6
2025-05-15,27.200001,27.65,26.5,26.9,9403000,26.9
2025-05-16,27.1,28.700001,27.0,28.4,12235920,28.4
2025-05-19,27.4,27.799999,26.1,26.799999,14280060,26.799999
2025-05-20,27.049999,30.0,26.9,29.6,19982120,29.6
2025-05-21,29.299999,29.6,27.5,27.700001,14398180,27.700001
2025-05-22,27.6,27.700001,26.4,26.6,11417790,26.6
2025-05-23,26.1,26.1,25.200001,25.6,8656950,25.6
2025-05-27,26.4,26.6,25.299999,26.4,10063670,26.4
2025-05-28,27.0,27.0,26.0,26.299999,7323830,26.299999
2025-05-29,26.299999,26.5,23.700001,24.1,26196120,24.1
2025-05-30,23.9,23.9,22.1,22.299999,25918060,22.299999
2025-06-02,22.6,22.6,21.200001,22.0,20171700,22.0
2025-06-03,22.0,22.35,21.6,21.9,16596600,21.9
2025-06-04,22.0,22.5,21.299999,22.299999,12386070,22.299999
2025-06-05,22.1,22.1,20.799999,21.299999,25286140,21.299999
2025-06-06,21.6,21.9,21.200001,21.5,13052840,21.5
2025-06-09,21.65,22.700001,21.6,22.299999,14883690,22.299999
2025-06-10,22.6,22.6,21.799999,21.9,9664530,21.9
2025-06-11,22.049999,22.4,21.5,21.799999,11326110,21.799999
2025-06-12,21.6,21.799999,21.299999,21.6,6599660,21.6
2025-06-13,21.25,21.700001,21.0,21.0,10293080,21.0
2025-06-16,21.299999,22.700001,21.299999,21.5,13931020,21.5
2025-06-17,21.5,22.4,21.4,21.5,14330570,21.5
2025-06-18,21.65,22.4,21.4,22.200001,9265900,22.200001
2025-06-20,22.35,22.9,21.6,21.9,12170340,21.9
2025-06-23,21.700001,22.1,21.200001,21.6,16373530,21.6
2025-06-24,22.0,22.200001,21.6,21.700001,10620900,21.700001
2025-06-25,21.85,22.0,21.299999,21.4,14024730,21.4
2025-06-26,21.6,22.299999,21.299999,22.0,14717760,22.0
2025-06-27,22.0,22.1,21.0,21.200001,20074060,21.200001
2025-06-30,21.4,21.700001,21.0,21.1,10402810,21.1
2025-07-01,21.0,21.1,19.799999,20.299999,21292060,20.299999
2025-07-02,20.4,20.700001,20.1,20.5,12261620,20.5
2025-07-03,20.700001,22.299999,20.6,21.6,21139470,21.6
2025-07-07,21.25,21.299999,20.6,21.1,13735290,21.1
2025-07-08,21.15,23.6,21.1,23.0,21619430,23.0
2025-07-09,22.9,23.799999,22.6,22.799999,13921110,22.799999
2025-07-10,22.9,23.4,22.5,23.299999,9793660,23.299999
2025-07-11,23.200001,23.5,22.700001,22.9,8525670,22.9
2025-07-14,22.9,23.1,22.5,22.700001,7494100,22.700001
2025-07-15,22.799999,23.700001,22.799999,23.299999,9086450,23.299999
2025-07-16,23.35,23.4,22.299999,22.9,7974520,22.9
2025-07-17,30.0,33.700001,28.299999,31.200001,94068340,31.200001
2025-07-18,30.1,32.099998,28.700001,30.4,29446440,30.4
2025-07-21,30.6,31.200001,27.6,28.200001,24268130,28.200001
2025-07-22,27.6,31.5,27.5,31.299999,25931610,31.299999
2025-07-23,31.549999,33.099998,30.4,30.799999,18151140,30.799999
2025-07-24,30.4,30.700001,29.1,29.9,9327400,29.9
2025-07-25,29.82,30.1,28.6,29.200001,7518850,29.200001
2025-07-28,29.4,29.6,27.700001,27.9,7655630,27.9
2025-07-29,27.700001,27.799999,25.4,25.6,11922730,25.6
2025-07-30,25.5,25.9,24.700001,25.0,11196400,25.0
2025-07-31,25.0,25.299999,24.6,24.6,6524890,24.6
2025-08-01,23.799999,24.4,23.200001,24.200001,9196910,24.200001
2025-08-04,24.85,24.85,23.9,24.1,7263600,24.1
2025-08-05,24.700001,24.700001,23.9,24.200001,9077580,24.200001
2025-08-06,22.4,22.6,21.6,21.85,13652330,21.85
2025-08-07,22.049999,22.200001,21.5,21.700001,6116170,21.700001
2025-08-08,21.700001,21.799999,21.299999,21.299999,6887210,21.299999
2025-08-11,21.549999,22.700001,21.4,21.9,11729450,21.9
2025-08-12,22.1,22.9,21.700001,22.700001,7500210,22.700001
2025-08-13,22.9,23.5,22.200001,23.4,7055880,23.4
2025-08-14,22.9,23.4,22.4,22.5,4029390,22.5
2025-08-15,22.6,22.700001,21.799999,21.799999,5436110,21.799999
2025-08-18,22.049999,22.299999,21.6,21.799999,5582600,21.799999
2025-08-19,21.9,22.1,21.200001,21.299999,6374150,21.299999
2025-08-20,21.299999,21.4,20.6,20.9,7885940,20.9
2025-08-21,21.0,21.1,20.700001,20.9,5200890,20.9
2025-08-22,20.5,21.0,19.799999,20.299999,14507420,20.299999
2025-08-25,20.35,21.1,20.200001,20.799999,7875500,20.799999
2025-08-26,20.9,21.9,20.799999,21.1,8714790,21.1
2025-08-27,21.15,21.5,20.700001,20.799999,7118880,20.799999
2025-08-28,20.799999,21.1,20.299999,20.700001,8344920,20.700001
2025-08-29,20.6,20.799999,19.700001,19.799999,12997360,19.799999
2025-09-02,18.93,19.41,17.360001,17.66,21813800,17.66
2025-09-03,17.809999,18.48,16.76,16.785,23414200,16.785
2025-09-04,16.66,16.67,15.25,16.16,24281100,16.16
2025-09-05,16.34,18.735001,16.299999,18.41,33386900,18.41
2025-09-08,18.0,18.58,17.645,18.440001,11496800,18.440001
2025-09-09,18.35,19.65,18.35,19.389999,13441600,19.389999
2025-09-10,19.325001,19.950001,19.129999,19.440001,7666200,19.440001
2025-09-11,19.5,20.290001,19.360001,19.9,8926300,19.9
2025-09-12,19.68,19.76,18.799999,19.275,7605900,19.275
2025-09-15,19.415001,20.0,19.1,19.84,6899700,19.84
2025-09-16,19.809999,20.4,19.625,19.719999,6951300,19.719999
2025-09-17,19.67,21.4,19.440001,20.360001,14043300,20.360001
2025-09-18,20.52,20.93,20.370001,20.5,6632500,20.5
2025-09-19,20.5,21.200001,20.212,21.1,7979200,21.1
2025-09-22,21.08,22.450001,20.74,22.440001,9807500,22.440001
2025-09-23,22.469999,23.934999,22.23,22.24,13959400,22.24
2025-09-24,22.629999,23.5,21.91,22.98,9248700,22.98
2025-09-25,22.459999,23.525,22.1,23.040001,8625800,23.040001
2025-09-26,23.120001,24.530001,23.0,23.959999,12387800,23.959999
2025-09-29,24.155001,24.485001,23.73,24.110001,9197200,24.110001
2025-09-30,24.07,24.43,23.08,23.790001,7688200,23.790001
2025-10-01,23.879999,24.360001,23.761,24.295,11891700,24.295
2025-10-02,24.35,24.889999,23.584999,24.1,8409900,24.1
2025-10-03,24.139999,25.065001,23.65,24.77,11207200,24.77
2025-10-06,24.82,25.23,23.91,24.02,7562800,24.02
2025-10-07,23.76,23.778,21.5,22.01,14351500,22.01
2025-10-08,21.9,22.6,21.66,22.52,10055100,22.52
2025-10-09,22.24,22.299999,21.26,21.690001,7483400,21.690001
2025-10-10,21.709999,22.190001,20.940001,20.98,8437700,20.98
2025-10-13,21.15,21.57,20.926001,21.389999,5276400,21.389999
2025-10-14,21.1,22.35,20.66,21.92,6708300,21.92
2025-10-15,22.08,22.42,21.264999,21.67,6014300,21.67
2025-10-16,21.6,21.85,20.52,20.530001,6292100,20.530001
2025-10-17,20.445,20.610001,19.6,19.629999,8375000,19.629999
2025-10-20,19.879999,20.16,19.629999,19.889999,5209600,19.889999
2025-10-21,19.85,20.309999,19.635,19.690001,6408500,19.690001
2025-10-22,19.65,19.809999,18.23,18.5,8890600,18.5
2025-10-23,18.57,19.280001,18.360001,18.65,7514500,18.65
2025-10-24,18.91,19.049999,18.459999,18.48,7713000,18.48
2025-10-27,18.66,18.754999,18.1,18.1,7136600,18.1
2025-10-28,18.110001,19.475,17.719999,18.110001,20515300,18.110001
2025-10-29,19.0,19.25,17.85,18.02,16267800,18.02
2025-10-30,17.82,17.91,17.43,17.530001,7328200,17.530001
2025-10-31,17.6,17.945,17.485001,17.75,6746700,17.75
2025-11-03,17.719999,17.719999,16.469999,16.639999,12250900,16.639999
2025-11-04,16.33,16.780001,16.16,16.360001,7374700,16.360001
2025-11-05,16.6,17.57,16.43,17.24,11149100,17.24
2025-11-06,17.719999,18.1,17.139999,17.959999,13211900,17.959999
2025-11-07,17.75,18.0,16.9,17.280001,17252900,17.280001
2025-11-10,17.58,17.799999,17.110001,17.18,5026800,17.18
2025-11-11,17.299999,17.4,16.799999,16.99,4483300,16.99
2025-11-12,16.75,16.815001,15.285,16.59,20766500,16.59
2025-11-13,16.379999,16.459999,15.17,15.17,10172800,15.17
2025-11-14,14.815,14.91,14.19,14.2,11395900,14.2
2025-11-17,14.01,14.09,12.57,12.91,16302800,12.91
2025-11-18,12.72,13.21,12.37,12.965,10343400,12.965
2025-11-19,13.005,13.005,12.37,12.47,7949300,12.47
2025-11-20,12.57,12.89,11.7,11.72,9251300,11.72
2025-11-21,11.73,12.35,11.46,12.3,7779400,12.3
2025-11-24,12.43,12.7,12.18,12.67,7097700,12.67
2025-11-25,12.58,13.2,12.295,13.13,6848300,13.13
2025-11-26,13.13,13.505,13.05,13.38,4373900,13.38
2025-11-28,13.52,13.73,13.33,13.63,3222000,13.63
2025-12-01,13.245,13.26,12.425,12.58,9475600,12.58
2025-12-02,12.66,13.15,12.61,12.88,7181700,12.88
2025-12-03,12.81,13.65,12.661,13.56,8100200,13.56
2025-12-04,13.79,14.2,13.51,14.15,7706400,14.15
2025-12-05,14.115,14.26,13.4,13.42,9045700,13.42
2025-12-08,12.9,13.06,12.39,12.76,9484200,12.76
2025-12-09,12.49,12.74,12.145,12.45,9498800,12.45
2025-12-10,12.4,13.33,12.27,12.98,9211900,12.98
2025-12-11,12.855,13.01,12.66,12.83,3786100,12.83
2025-12-12,12.78,13.211,12.54,12.54,5434700,12.54
2025-12-15,12.78,12.8,11.8,11.81,7621400,11.81
2025-12-16,11.76,11.935,11.2,11.52,7895300,11.52
2025-12-17,11.57,11.72,11.085,11.13,6373300,11.13
2025-12-18,11.32,11.978,11.27,11.45,7522700,11.45
2025-12-19,11.42,12.045,11.374,11.82,7477800,11.82
2025-12-22,11.95,12.595,11.82,12.3,6993300,12.3
2025-12-23,12.06,12.1,11.59,11.63,6040900,11.63
2025-12-24,11.635,11.85,11.62,11.81,3378300,11.81
2025-12-26,11.74,11.78,11.32,11.41,6098500,11.41
2025-12-29,11.25,11.5,11.09,11.11,7019600,11.11
2025-12-30,11.1,11.11,10.9,10.9,7568900,10.9
2025-12-31,10.88,10.93,10.455,10.57,12500700,10.57
2026-01-02,10.73,11.26,10.685,11.15,6684700,11.15
2026-01-05,11.25,11.985,11.19,11.69,7985100,11.69
2026-01-06,11.94,12.17,11.49,11.6,6513900,11.6
2026-01-07,11.6,11.61,10.84,11.0,9368800,11.0
2026-01-08,10.895,11.55,10.83,11.24,6029700,11.24
2026-01-09,11.41,11.49,11.04,11.33,4472100,11.33
2026-01-12,11.27,11.47,11.155,11.26,3641000,11.26
2026-01-13,11.3,11.36,10.74,10.94,7499800,10.94
2026-01-14,10.915,11.055,10.71,10.84,5220400,10.84
2026-01-15,10.83,10.89,10.03,10.05,12787700,10.05
2026-01-16,10.07,10.18,9.96,10.12,9348700,10.12
2026-01-20,9.765,9.835,9.5,9.73,10389200,9.73
2026-01-21,9.96,11.645,9.93,11.47,23279900,11.47
2026-01-22,11.46,12.15,11.31,11.47,10128600,11.47
2026-01-23,11.37,11.45,10.92,11.06,6501200,11.06
2026-01-26,11.0,11.43,10.61,10.64,5542700,10.64
2026-01-27,10.65,11.06,10.55,11.0,6295600,11.0
2026-01-28,11.18,11.685,10.884,10.91,10419500,10.91
2026-01-29,10.935,11.44,10.78,11.33,7193100,11.33
2026-01-30,11.15,11.485,10.94,11.07,6753100,11.07
2026-02-02,11.07,11.07,10.25,10.29,8049200,10.29
2026-02-03,10.3,10.62,10.16,10.5,8186500,10.5
2026-02-04,10.595,10.75,10.11,10.38,6524900,10.38
2026-02-05,10.11,10.3,9.515,9.53,8991500,9.53
2026-02-06,9.695,10.94,9.65,10.86,10905100,10.86
2026-02-09,10.76,11.23,10.64,11.09,5285500,11.09
2026-02-10,11.09,11.41,10.88,10.92,4737500,10.92
2026-02-11,10.95,11.04,9.975,10.05,8946100,10.05
2026-02-12,10.13,10.27,9.805,9.92,5609200,9.92
2026-02-13,10.35,10.73,10.235,10.28,6188100,10.28
2026-02-17,10.19,10.28,9.85,9.92,5493500,9.92
2026-02-18,9.93,10.14,9.7,9.8,6439300,9.8
2026-02-19,9.79,9.83,9.53,9.75,4728800,9.75
2026-02-20,9.68,9.959,9.53,9.55,6824000,9.55
2026-02-23,9.52,9.76,9.12,9.44,8009400,9.44
2026-02-24,9.47,10.01,9.349,9.92,9398500,9.92
2026-02-25,9.8,10.4,9.57,10.28,13756100,10.28
2026-02-26,10.24,10.7,10.15,10.59,7613200,10.59
2026-02-27,10.29,10.3,9.81,10.0,5954200,10.0
2026-03-02,9.54,10.14,9.46,10.03,4834200,10.03
2026-03-03,9.92,10.375,9.79,10.11,5520500,10.11
2026-03-04,10.09,10.35,9.91,10.27,4917700,10.27
2026-03-05,10.01,10.255,9.56,9.84,7486500,9.84
2026-03-06,9.61,9.91,9.545,9.77,5246200,9.77
2026-03-09,9.55,10.49,9.53,10.4,7299500,10.4
2026-03-10,10.62,11.083,10.24,10.24,5949300,10.24
2026-03-11,10.29,10.7,10.23,10.68,5942800,10.68
2026-03-12,10.6,10.649,9.71,9.84,9949300,9.84
2026-03-13,9.935,10.11,9.72,9.9,5260300,9.9
2026-03-16,10.08,10.24,9.79,9.89,5383200,9.89
2026-03-17,9.91,10.4,9.91,10.32,6062500,10.32
2026-03-18,10.42,10.65,9.95,9.95,5666300,9.95
2026-03-19,9.905,10.4,9.83,10.3,4695300,10.3
2026-03-20,10.295,10.44,9.98,10.06,5824800,10.06
2026-03-23,10.25,10.57,10.23,10.31,5236600,10.31
2026-03-24,10.2,10.55,10.16,10.36,3614500,10.36
2026-03-25,10.525,10.9,10.51,10.68,4896300,10.68
2026-03-26,10.51,10.51,9.8,9.91,6884400,9.91
2026-03-27,9.84,9.84,9.38,9.4,6079600,9.4
2026-03-30,9.51,9.57,9.07,9.15,5703800,9.15
2026-03-31,9.36,9.66,9.22,9.53,4417100,9.53
2026-04-01,9.69,9.8,9.51,9.56,4828400,9.56
2026-04-02,9.385,9.96,9.324,9.96,4014500,9.96
2026-04-06,9.68,9.82,9.085,9.33,9151400,9.33
2026-04-07,9.27,9.29,8.62,8.83,11562400,8.83
2026-04-08,9.35,9.51,8.77,8.82,7402000,8.82
2026-04-09,8.78,8.94,8.645,8.77,5593900,8.77
2026-04-10,8.81,9.013,8.56,8.58,5941000,8.58
2026-04-13,8.452,9.24,8.32,9.24,10870000,9.24
2026-04-14,9.68,10.09,8.675,8.8,32288400,8.8
2026-04-15,8.84,8.94,8.11,8.21,31869300,8.21
2026-04-16,8.255,8.26,7.385,7.7,37458400,7.7
2026-04-17,7.82,7.88,7.23,7.3,30393100,7.3
2026-04-20,7.2,7.2,6.75,6.75,33295900,6.75
2026-04-21,7.18,7.69,7.03,7.11,47479700,7.11
2026-04-22,7.11,7.22,6.88,6.91,22472100,6.91
2026-04-23,6.9,6.9,6.215,6.27,37794900,6.27
2026-04-24,6.33,6.42,6.17,6.25,17179100,6.25
2026-04-27,6.195,6.2,5.93,5.93,22676000,5.93
2026-04-28,5.84,6.055,5.8,5.87,16357900,5.87
2026-04-29,5.83,5.84,5.62,5.76,16976200,5.76
2026-04-30,5.715,6.4,5.68,6.37,20927700,6.37
2026-05-01,6.27,6.6,6.23,6.54,17796600,6.54
2026-05-04,6.54,6.77,6.45,6.69,19080400,6.69
2026-05-05,6.65,6.7,6.183,6.25,19146600,6.25
2026-05-06,5.87,6.24,5.72,6.19,25757900,6.19
2026-05-07,6.22,6.265,5.94,6.05,15947200,6.05
2026-05-08,6.04,6.17,5.965,6.14,2494580,6.14
2026-05-11,6.22,6.2241,5.83,5.975,9320902,5.975
2026-05-12,5.98,6.13,5.89,5.905,4574702,5.905
2026-05-13,5.99,6.09,5.91,5.915,675701,5.915
2026-05-14,6.36,6.59,6.145,6.395,4945594,6.395
2026-05-15,6.125,6.1389,5.9,6.015,5891918,6.015
2026-05-18,6.03,6.055,5.64,5.665,10251273,5.665
2026-05-19,5.695,5.71,5.6,5.6099,4649732,5.6099
2026-05-20,5.66,5.7299,5.56,5.725,3589082,5.725
2026-05-21,5.65,5.74,5.62,5.63,2159346,5.63
2026-05-22,5.88,6.0,5.84,5.98,1109142,5.98
2026-05-26,5.9,6.25,5.9,6.0651,6644578,6.0651
2026-05-27,5.97,6.23,5.945,6.185,3675917,6.185
2026-05-28,6.2,6.615,6.14,6.525,9839569,6.525
2026-05-29,6.47,6.66,6.34,6.615,6154637,6.615
2026-06-01,6.38,6.95,6.38,6.7,4385778,6.7
2026-06-02,6.65,6.81,6.425,6.465,6630494,6.465
