date,open,high,low,close,volume,adj_close
2025-04-29,12.28,12.635,12.27,12.54,7974000,12.54
2025-04-30,12.19,12.42,12.02,12.4,6581300,12.4
2025-05-01,12.55,12.68,12.385,12.46,8542900,12.46
2025-05-02,12.63,12.9,12.565,12.65,9237200,12.65
2025-05-05,12.585,13.21,12.465,13.2,17344000,13.2
2025-05-06,12.975,13.16,12.845,12.89,16683200,12.89
2025-05-07,12.81,12.92,12.305,12.59,15061300,12.59
2025-05-08,12.81,13.135,12.63,13.0,23502100,13.0
2025-05-09,14.655,16.780001,14.63,16.65,107486100,16.65
2025-05-12,17.1,17.34,16.120001,17.209999,45659500,17.209999
2025-05-13,17.045,17.190001,16.57,17.030001,31997800,17.030001
2025-05-14,17.084999,17.52,16.67,16.860001,23833900,16.860001
2025-05-15,16.77,17.15,16.17,16.23,22665100,16.23
2025-05-16,16.32,17.01,16.27,16.77,22299800,16.77
2025-05-19,16.469999,16.91,16.35,16.76,10510500,16.76
2025-05-20,16.709999,16.709999,16.205,16.530001,17835900,16.530001
2025-05-21,16.23,16.57,15.86,15.97,16466200,15.97
2025-05-22,15.86,16.139999,15.85,15.99,12492700,15.99
2025-05-23,15.705,16.370001,15.705,16.1,12544600,16.1
2025-05-27,16.309999,16.65,15.925,16.32,19152100,16.32
2025-05-28,16.41,16.41,15.95,15.98,10949700,15.98
2025-05-29,16.139999,16.139999,15.142,15.35,20568700,15.35
2025-05-30,15.31,15.36,15.095,15.24,14058700,15.24
2025-06-02,15.2,15.515,15.04,15.27,10562400,15.27
2025-06-03,15.28,15.515,15.152,15.35,10822700,15.35
2025-06-04,15.325,15.57,15.16,15.26,10135100,15.26
2025-06-05,15.4,15.885,15.23,15.53,19832200,15.53
2025-06-06,15.59,15.81,15.36,15.53,10603400,15.53
2025-06-09,15.69,15.895,15.59,15.63,16824200,15.63
2025-06-10,15.63,15.88,15.39,15.68,12166300,15.68
2025-06-11,15.81,15.85,15.43,15.56,11114900,15.56
2025-06-12,15.445,15.557,15.155,15.44,9063800,15.44
2025-06-13,15.1,15.256,14.67,14.78,12723600,14.78
2025-06-16,14.94,15.1,14.755,14.97,10253500,14.97
2025-06-17,14.85,15.07,14.74,14.95,11593700,14.95
2025-06-18,15.0,15.08,14.38,14.69,17953400,14.69
2025-06-20,14.84,14.915,14.2,14.53,16315300,14.53
2025-06-23,14.37,15.03,14.37,14.95,14875500,14.95
2025-06-24,15.85,16.1,15.425,15.86,25088900,15.86
2025-06-25,15.95,16.02,15.43,15.56,13697100,15.56
2025-06-26,15.59,15.99,15.41,15.85,14348400,15.85
2025-06-27,15.57,15.77,15.31,15.72,19653100,15.72
2025-06-30,15.8,15.979,15.733,15.76,11711200,15.76
2025-07-01,15.72,16.455,15.58,16.190001,17653400,16.190001
2025-07-02,16.129999,16.179001,15.7,15.71,11772400,15.71
2025-07-03,15.83,16.18,15.825,16.15,7596500,16.15
2025-07-07,16.035,16.34,15.85,16.07,11913400,16.07
2025-07-08,16.370001,16.615,16.25,16.450001,15876700,16.450001
2025-07-09,16.459999,16.459999,15.61,15.66,17814100,15.66
2025-07-10,15.73,15.825,15.24,15.32,16608500,15.32
2025-07-11,15.181,15.4,14.81,14.91,10846600,14.91
2025-07-14,14.93,15.11,14.81,14.92,11381300,14.92
2025-07-15,15.03,15.04,14.71,14.88,12842000,14.88
2025-07-16,14.96,15.175,14.64,14.93,11433000,14.93
2025-07-17,14.975,15.07,14.7,14.76,11095500,14.76
2025-07-18,14.805,14.83,14.38,14.76,11646900,14.76
2025-07-21,14.91,15.27,14.75,14.77,15085700,14.77
2025-07-22,14.73,15.03,14.5,14.86,9548300,14.86
2025-07-23,15.0,15.01,14.58,14.73,12189000,14.73
2025-07-24,14.73,14.91,14.355,14.38,15268300,14.38
2025-07-25,14.39,14.415,14.12,14.3,13869700,14.3
2025-07-28,14.39,14.59,14.145,14.16,10924000,14.16
2025-07-29,14.22,14.315,13.85,14.04,13318200,14.04
2025-07-30,14.04,14.13,13.71,14.02,20397200,14.02
2025-07-31,14.06,14.17,13.912,14.06,15829000,14.06
2025-08-01,13.81,13.9,13.525,13.62,17533100,13.62
2025-08-04,14.03,14.26,13.9,14.08,20579800,14.08
2025-08-05,14.35,14.58,14.25,14.51,26772400,14.51
2025-08-06,14.41,14.425,13.75,13.99,45130600,13.99
2025-08-07,13.95,14.67,13.56,14.21,44918200,14.21
2025-08-08,14.26,14.4,13.39,13.41,24335900,13.41
2025-08-11,13.41,13.675,13.165,13.46,19428700,13.46
2025-08-12,13.6,13.985,13.59,13.88,16294500,13.88
2025-08-13,13.99,14.63,13.931,14.58,21167900,14.58
2025-08-14,14.33,14.72,14.33,14.62,13072500,14.62
2025-08-15,14.69,16.115,14.69,15.82,35423200,15.82
2025-08-18,15.83,16.059999,15.455,16.02,19741000,16.02
2025-08-19,16.049999,16.275,15.53,15.57,14268200,15.57
2025-08-20,15.44,15.59,14.79,15.57,17365000,15.57
2025-08-21,15.48,15.83,15.25,15.81,13944400,15.81
2025-08-22,15.78,17.1,15.75,17.01,24360700,17.01
2025-08-25,17.0,17.42,16.995001,17.049999,17571100,17.049999
2025-08-26,17.030001,17.049999,16.629999,16.799999,15237700,16.799999
2025-08-27,16.74,16.809999,16.174999,16.25,19839500,16.25
2025-08-28,16.360001,16.5,15.98,16.135,10709500,16.135
2025-08-29,16.139999,16.290001,15.72,16.219999,17113400,16.219999
2025-09-02,15.565,16.889999,15.565,16.799999,23024900,16.799999
2025-09-03,16.865,18.299999,16.84,16.92,50754700,16.92
2025-09-04,16.9,16.950001,16.290001,16.790001,17972600,16.790001
2025-09-05,16.959999,17.450001,16.49,16.66,15634700,16.66
2025-09-08,16.959999,17.76,16.924,17.709999,21669600,17.709999
2025-09-09,17.77,18.41,17.629999,18.389999,23081600,18.389999
2025-09-10,18.5,19.35,18.465,18.959999,27144100,18.959999
