date,open,high,low,close,volume,adj_close
2025-04-29,45.810001,46.720001,45.5,45.919998,8287200,44.586647
2025-04-30,44.540001,46.240002,44.169998,46.080002,10848300,44.742001
2025-05-01,47.029999,47.200001,45.599998,45.98,8677200,44.644905
2025-05-02,47.16,48.529999,47.110001,47.91,9444000,46.518864
2025-05-05,47.23,48.330002,46.84,47.779999,8196300,46.392635
2025-05-06,47.0,47.700001,46.68,47.240002,6499300,45.86832
2025-05-07,47.66,48.400002,46.919998,48.080002,9565800,46.683929
2025-05-08,48.93,50.259998,48.560001,49.139999,11279100,47.713146
2025-05-09,55.75,58.060001,53.830002,55.330002,21360900,53.723415
2025-05-12,59.990002,62.490002,59.34,60.959999,20947300,59.189938
2025-05-13,60.950001,63.119999,60.599998,62.299999,10992800,60.491032
2025-05-14,62.0,62.080002,60.259998,60.650002,10608100,58.888943
2025-05-15,60.32,61.360001,59.299999,60.799999,8416400,59.034584
2025-05-16,60.669998,61.220001,60.130001,61.209999,6589300,59.432678
2025-05-19,59.630001,61.049999,59.389999,60.57,8220200,58.81126
2025-05-20,60.0,60.919998,59.790001,60.799999,6145500,59.034584
2025-05-21,59.82,61.41,58.880001,59.25,7243900,57.529591
2025-05-22,59.25,59.779999,57.560001,58.049999,11530600,56.800625
2025-05-23,55.990002,56.32,54.540001,56.189999,10093500,54.980656
2025-05-27,57.419998,59.52,56.75,58.68,11214300,57.417065
2025-05-28,58.860001,59.09,57.400002,57.459999,8292900,56.22332
2025-05-29,59.040001,59.59,57.380001,58.110001,6573900,56.859333
2025-05-30,58.240002,58.630001,56.619999,58.040001,10845600,56.790844
2025-06-02,57.689999,60.290001,57.43,60.0,9310200,58.708656
2025-06-03,60.419998,64.080002,59.889999,63.84,16323000,62.466011
2025-06-04,64.349998,65.279999,63.049999,64.669998,9193300,63.278149
2025-06-05,65.0,66.370003,63.630001,64.370003,11875600,62.984604
2025-06-06,65.690002,66.059998,65.089996,65.25,8884500,63.845661
2025-06-09,66.029999,68.610001,65.910004,68.050003,11974600,66.585411
2025-06-10,68.459999,70.57,67.660004,69.589996,12064800,68.092255
2025-06-11,70.230003,71.010002,68.839996,69.599998,12731500,68.102043
2025-06-12,68.690002,69.190002,67.690002,67.93,7700300,66.467979
2025-06-13,66.540001,67.330002,65.5,65.730003,9841200,64.315331
2025-06-16,66.75,68.360001,66.480003,68.190002,9211800,66.722397
2025-06-17,67.580002,68.75,67.239998,67.690002,6922900,66.233154
2025-06-18,68.0,69.309998,67.540001,68.019997,5642500,66.556038
2025-06-20,69.489998,69.68,67.379997,68.970001,19067200,67.485603
2025-06-23,69.07,70.629997,67.970001,68.580002,7498000,67.103996
2025-06-24,69.800003,71.330002,69.629997,70.43,8422200,68.914177
2025-06-25,70.300003,71.68,69.339996,71.599998,7586600,70.058998
2025-06-26,71.650002,71.849998,70.68,70.779999,7060700,69.256645
2025-06-27,71.050003,71.529999,69.779999,70.489998,6885600,68.972885
2025-06-30,70.629997,70.769997,69.5,70.370003,5861600,68.855476
2025-07-01,69.459999,72.5,69.32,71.68,8034500,70.137276
2025-07-02,71.510002,73.519997,70.980003,73.160004,8245500,71.585426
2025-07-03,73.830002,74.400002,72.940002,73.059998,3810800,71.487572
2025-07-07,72.959999,73.57,71.110001,71.480003,7790100,69.941582
2025-07-08,72.699997,75.75,72.290001,74.559998,11350500,72.955284
2025-07-09,74.389999,75.580002,73.900002,74.68,6484200,73.072708
2025-07-10,75.599998,77.199997,74.989998,75.080002,7550400,73.464096
2025-07-11,74.029999,75.059998,73.720001,74.559998,4885900,72.955284
2025-07-14,73.580002,74.470001,72.779999,74.050003,5756200,72.456276
2025-07-15,75.019997,75.400002,73.080002,73.110001,6016200,71.536499
2025-07-16,72.900002,74.440002,72.059998,74.43,7036500,72.828087
2025-07-17,74.220001,74.550003,73.419998,74.300003,6255400,72.70089
2025-07-18,75.18,75.629997,74.050003,74.779999,5239400,73.170555
2025-07-21,75.150002,76.089996,73.800003,73.849998,6153700,72.260567
2025-07-22,73.410004,75.559998,73.089996,75.260002,8819400,73.640228
2025-07-23,70.699997,71.75,68.199997,70.25,19476800,68.738052
2025-07-24,68.919998,69.419998,66.730003,67.809998,13363800,66.350555
2025-07-25,67.769997,69.269997,67.68,69.209999,8354600,67.720436
2025-07-28,69.709999,71.080002,69.349998,70.529999,6765000,69.012024
2025-07-29,71.029999,71.540001,69.830002,70.68,5449100,69.158798
2025-07-30,70.919998,71.099998,69.480003,70.290001,6430800,68.777191
2025-07-31,69.699997,70.059998,66.809998,67.589996,15369600,66.1353
2025-08-01,68.550003,68.610001,64.669998,66.360001,11544600,64.931778
2025-08-04,66.830002,67.5,66.440002,66.589996,8552300,65.156822
2025-08-05,67.639999,68.18,65.379997,67.129997,9872900,65.685204
2025-08-06,66.900002,67.440002,65.650002,66.169998,6366100,64.745857
