date,open,high,low,close,volume,adj_close
2025-04-29,27.465,28.01,27.17,27.82,5242100,27.82
2025-04-30,27.465,28.65,27.24,28.540001,7729900,28.540001
2025-05-01,27.68,27.85,26.059999,27.030001,14893600,27.030001
2025-05-02,27.74,28.1,27.15,27.610001,7545200,27.610001
2025-05-05,27.799999,28.52,27.18,27.84,7804300,27.84
2025-05-06,27.370001,27.370001,24.16,24.43,23279600,24.43
2025-05-07,24.6,24.92,23.700001,24.059999,10791300,24.059999
2025-05-08,24.33,24.98,23.950001,24.379999,9680300,24.379999
2025-05-09,24.68,25.32,24.219999,24.25,7129200,24.25
2025-05-12,24.860001,26.18,24.860001,25.700001,12541200,25.700001
2025-05-13,25.6,25.879999,25.08,25.49,8381400,25.49
2025-05-14,25.540001,25.58,23.950001,24.02,12814900,24.02
2025-05-15,24.299999,24.309999,23.155001,23.65,14890100,23.65
2025-05-16,23.870001,25.440001,23.67,24.860001,14874000,24.860001
2025-05-19,25.27,26.924,25.101,26.389999,16136400,26.389999
2025-05-20,26.82,30.299999,26.469999,27.99,37154700,27.99
2025-05-21,27.9,28.066999,25.639999,25.799999,17822600,25.799999
2025-05-22,25.5,26.889999,25.219999,26.719999,11296900,26.719999
2025-05-23,26.15,26.49,25.549999,26.26,8258800,26.26
2025-05-27,26.790001,27.85,26.200001,26.76,14604900,26.76
2025-05-28,26.77,26.77,25.860001,26.049999,8114200,26.049999
2025-05-29,26.285,27.15,25.76,26.93,10097200,26.93
2025-05-30,26.344999,26.809999,25.6,26.559999,30676200,26.559999
2025-06-02,26.92,27.43,26.42,27.049999,12909100,27.049999
2025-06-03,26.91,28.57,26.280001,27.809999,13439900,27.809999
2025-06-04,28.17,28.24,27.040001,27.27,7741700,27.27
2025-06-05,27.139999,27.16,25.82,26.120001,9846100,26.120001
2025-06-06,26.209999,27.549999,26.120001,27.459999,8525800,27.459999
2025-06-09,27.77,29.190001,27.653,28.139999,9387600,28.139999
2025-06-10,27.860001,28.23,27.32,27.68,7888900,27.68
2025-06-11,28.0,28.719999,27.620001,27.75,9232400,27.75
2025-06-12,27.290001,27.924999,26.809999,27.35,8326400,27.35
2025-06-13,26.57,27.35,26.309999,26.67,7180300,26.67
2025-06-16,26.615,26.754999,25.465,26.0,10666100,26.0
2025-06-17,25.799999,26.34,25.440001,25.549999,8329500,25.549999
2025-06-18,25.49,25.85,25.059999,25.4,7527000,25.4
2025-06-20,25.709999,26.014999,25.42,25.9,13772200,25.9
2025-06-23,25.565001,25.965,25.16,25.67,6523400,25.67
2025-06-24,26.025,27.129999,26.025,26.799999,8023500,26.799999
2025-06-25,26.85,26.959999,26.135,26.860001,6149800,26.860001
2025-06-26,27.049999,28.24,26.799999,27.540001,9289100,27.540001
2025-06-27,27.68,27.99,26.875,27.16,11547600,27.16
2025-06-30,28.065001,28.74,27.4,27.59,10175400,27.59
2025-07-01,27.309999,29.844999,26.809999,28.690001,14553900,28.690001
2025-07-02,28.83,30.65,28.620001,30.280001,14708900,30.280001
2025-07-03,30.540001,30.940001,30.200001,30.49,6972600,30.49
2025-07-07,30.35,30.849001,29.719999,29.9,8221900,29.9
2025-07-08,30.08,33.650002,30.040001,32.540001,19295000,32.540001
2025-07-09,32.830002,33.389999,32.09,32.790001,9819700,32.790001
2025-07-10,33.470001,34.389999,32.98,34.279999,11693100,34.279999
2025-07-11,34.035,34.07,33.220001,33.639999,6922600,33.639999
2025-07-14,33.380001,33.5,32.435001,32.869999,7257700,32.869999
2025-07-15,33.195,33.310001,31.42,31.58,8515500,31.58
2025-07-16,31.700001,32.169998,31.43,32.060001,5972300,32.060001
2025-07-17,32.189999,32.720001,31.969999,32.200001,6023700,32.200001
2025-07-18,32.450001,32.580002,30.969999,31.26,7823600,31.26
2025-07-21,31.525,32.07,30.879999,30.969999,5767700,30.969999
2025-07-22,30.98,32.84,30.98,32.73,8246700,32.73
2025-07-23,33.884998,35.59,33.540001,34.669998,12501200,34.669998
2025-07-24,34.950001,35.09,33.799999,34.009998,6613800,34.009998
2025-07-25,33.970001,34.435001,33.349998,34.150002,5371800,34.150002
2025-07-28,34.34,34.700001,33.702,33.91,5589500,33.91
2025-07-29,33.700001,33.700001,31.940001,32.66,8295500,32.66
2025-07-30,33.084999,33.400002,31.889999,32.150002,6087500,32.150002
2025-07-31,31.209999,31.844999,29.309999,29.559999,14481900,29.559999
2025-08-01,27.57,27.879999,26.565001,27.605,16282200,27.605
2025-08-04,28.014999,28.6,27.18,27.639999,8091100,27.639999
2025-08-05,27.639999,27.969999,27.305,27.469999,6163000,27.469999
2025-08-06,27.200001,27.485001,26.32,26.709999,10166600,26.709999
2025-08-07,26.885,27.040001,26.26,26.610001,7832300,26.610001
2025-08-08,26.545,26.879999,25.889999,26.120001,6607300,26.120001
2025-08-11,26.15,26.715,25.299999,25.469999,8757900,25.469999
2025-08-12,25.540001,26.26,25.322001,25.66,12209400,25.66
2025-08-13,25.889999,27.08,25.790001,26.889999,8658100,26.889999
2025-08-14,26.4,26.885,25.809999,26.690001,5799000,26.690001
2025-08-15,26.969999,28.59,26.799999,28.02,9386100,28.02
2025-08-18,28.200001,28.51,27.965,28.09,6149300,28.09
2025-08-19,28.15,28.299999,27.620001,27.91,5415300,27.91
2025-08-20,27.719999,27.889999,26.559999,26.889999,6918900,26.889999
2025-08-21,26.549999,26.6,26.01,26.219999,5643700,26.219999
2025-08-22,26.379999,27.799999,26.379999,27.120001,9165500,27.120001
2025-08-25,27.120001,27.219999,25.35,25.35,13157800,25.35
2025-08-26,25.35,25.51,24.290001,24.73,13014900,24.73
2025-08-27,24.75,25.639999,24.280001,25.1,18672500,25.1
2025-08-28,25.040001,25.18,24.129999,24.469999,10608800,24.469999
2025-08-29,24.25,24.379999,23.84,24.09,8288600,24.09
