date,open,high,low,close,volume,adj_close
2025-04-29,38.91,39.459999,38.299999,38.860001,7914300,38.860001
2025-04-30,37.939999,39.830002,37.470001,39.700001,7283600,39.700001
2025-05-01,40.23,40.740002,39.5,39.599998,10202100,39.599998
2025-05-02,40.59,42.25,40.560001,41.91,14142000,41.91
2025-05-05,40.52,40.759998,37.639999,38.41,24182500,38.41
2025-05-06,38.049999,39.189999,37.189999,38.509998,13529300,38.509998
2025-05-07,38.900002,38.950001,37.560001,38.799999,9662600,38.799999
2025-05-08,39.299999,40.389999,38.689999,39.77,9997400,39.77
2025-05-09,40.400002,42.09,40.32,40.98,11721800,40.98
2025-05-12,43.450001,45.310001,43.360001,44.619999,17347500,44.619999
2025-05-13,44.77,46.59,44.740002,45.77,12019200,45.77
2025-05-14,45.950001,46.200001,44.82,45.200001,7065800,45.200001
2025-05-15,44.700001,44.950001,43.779999,44.52,6833600,44.52
2025-05-16,44.509998,44.959999,43.93,44.919998,5478000,44.919998
2025-05-19,43.549999,44.189999,43.509998,43.84,5973600,43.84
2025-05-20,43.470001,44.290001,43.400002,44.259998,5360900,44.259998
2025-05-21,44.259998,45.48,43.32,43.66,8595800,43.66
2025-05-22,44.5,44.580002,42.029999,42.290001,12463200,42.290001
2025-05-23,40.66,41.52,40.619999,41.27,9856900,41.27
2025-05-27,42.360001,43.869999,41.77,43.400002,9662800,43.400002
2025-05-28,43.52,43.779999,42.66,42.849998,5674500,42.849998
2025-05-29,43.73,44.110001,42.610001,42.939999,4847000,42.939999
2025-05-30,42.669998,42.830002,41.630001,42.02,10184900,42.02
2025-06-02,41.82,42.830002,41.490002,42.540001,6894000,42.540001
2025-06-03,42.509998,47.560001,41.880001,47.369999,24131400,47.369999
2025-06-04,48.34,51.099998,47.720001,50.279999,28183500,50.279999
2025-06-05,50.52,51.049999,48.939999,49.540001,11932600,49.540001
2025-06-06,50.34,51.299999,50.049999,50.169998,8142500,50.169998
2025-06-09,50.669998,52.889999,50.669998,52.380001,12125200,52.380001
2025-06-10,52.459999,54.389999,52.27,53.799999,11524200,53.799999
2025-06-11,54.290001,54.439999,51.130001,51.779999,10484600,51.779999
2025-06-12,51.16,53.189999,51.0,52.98,9889300,52.98
2025-06-13,51.509998,52.16,50.939999,51.02,9657700,51.02
2025-06-16,52.389999,53.98,52.209999,53.880001,8441300,53.880001
2025-06-17,53.279999,55.009998,52.650002,52.939999,8776300,52.939999
2025-06-18,53.139999,53.650002,51.689999,52.259998,7176300,52.259998
2025-06-20,53.639999,53.84,52.279999,52.82,12894100,52.82
2025-06-23,52.650002,53.759998,51.98,53.169998,5670700,53.169998
2025-06-24,54.060001,54.880001,53.790001,54.209999,7440700,54.209999
2025-06-25,54.16,54.209999,52.599998,53.740002,8291700,53.740002
2025-06-26,54.009998,54.080002,53.439999,53.650002,6880600,53.650002
2025-06-27,53.919998,54.139999,52.200001,52.93,7896100,52.93
2025-06-30,53.27,53.27,52.32,52.41,7095400,52.41
2025-07-01,51.810001,54.869999,51.529999,53.599998,8777300,53.599998
2025-07-02,54.709999,56.279999,53.91,55.950001,10429800,55.950001
2025-07-03,56.389999,57.130001,55.630001,56.599998,5572200,56.599998
2025-07-07,55.389999,56.23,54.16,54.610001,7829300,54.610001
2025-07-08,55.830002,57.950001,55.389999,57.619999,8976200,57.619999
2025-07-09,56.98,58.380001,56.689999,57.77,7053900,57.77
2025-07-10,58.23,60.09,57.720001,59.52,8442600,59.52
2025-07-11,58.799999,59.93,58.360001,59.73,6356400,59.73
2025-07-14,59.130001,59.639999,57.91,59.07,6519300,59.07
2025-07-15,60.25,60.580002,58.66,58.93,7833900,58.93
2025-07-16,59.080002,59.619999,57.52,59.52,6597800,59.52
2025-07-17,59.310001,59.669998,58.610001,59.41,5071900,59.41
2025-07-18,59.740002,60.93,59.209999,60.720001,5753200,60.720001
2025-07-21,61.27,63.029999,60.52,60.549999,7977500,60.549999
2025-07-22,59.790001,63.630001,59.75,62.450001,11719300,62.450001
2025-07-23,60.41,60.57,57.009998,59.610001,16353600,59.610001
2025-07-24,56.060001,56.279999,54.540001,55.439999,16152200,55.439999
2025-07-25,55.740002,56.970001,55.419998,56.919998,8073400,56.919998
2025-07-28,57.459999,59.279999,57.349998,58.66,9870300,58.66
2025-07-29,59.5,60.369999,58.27,58.380001,9417400,58.380001
2025-07-30,58.790001,58.880001,57.240002,58.049999,7337800,58.049999
2025-07-31,57.169998,57.950001,55.52,56.360001,11036000,56.360001
2025-08-01,55.68,57.41,54.349998,56.82,14304800,56.82
2025-08-04,54.0,54.84,47.32,47.970001,30528800,47.970001
2025-08-05,48.41,48.889999,47.16,47.240002,14939600,47.240002
2025-08-06,46.900002,47.689999,46.349998,46.98,10633000,46.98
2025-08-07,47.970001,48.68,47.279999,47.59,10115300,47.59
2025-08-08,47.599998,48.240002,46.93,47.66,7813900,47.66
2025-08-11,48.0,49.049999,46.98,47.099998,8317800,47.099998
2025-08-12,48.07,51.23,48.009998,50.009998,13411000,50.009998
2025-08-13,50.299999,52.09,50.200001,51.889999,8736500,51.889999
2025-08-14,50.799999,52.029999,49.709999,51.619999,7110100,51.619999
2025-08-15,52.110001,52.110001,50.84,51.09,7573000,51.09
2025-08-18,51.0,51.240002,50.509998,50.529999,4693700,50.529999
2025-08-19,50.709999,51.34,49.549999,49.77,5745600,49.77
2025-08-20,49.669998,49.990002,48.310001,49.470001,10329700,49.470001
2025-08-21,48.919998,49.450001,48.59,48.810001,4746700,48.810001
2025-08-22,49.330002,52.330002,49.330002,51.849998,9738300,51.849998
2025-08-25,51.639999,51.689999,50.619999,50.950001,5665600,50.950001
2025-08-26,50.849998,51.450001,50.169998,50.990002,5683400,50.990002
2025-08-27,50.459999,51.330002,50.189999,51.25,6144000,51.25
2025-08-28,51.959999,52.220001,49.75,50.779999,7815400,50.779999
2025-08-29,50.27,50.619999,49.439999,49.59,7524200,49.59
2025-09-02,48.150002,48.959999,47.630001,48.939999,6097600,48.939999
2025-09-03,48.950001,49.389999,46.5,47.790001,9988900,47.790001
2025-09-04,47.639999,48.220001,46.619999,48.060001,6393400,48.060001
2025-09-05,48.34,50.080002,47.939999,49.110001,7221000,49.110001
