date,open,high,low,close,volume,adj_close
2025-04-29,132.479996,134.460007,131.520004,134.309998,7010700,129.137146
2025-04-30,135.630005,136.179993,133.100006,135.580002,7923500,130.358261
2025-05-01,134.470001,134.809998,133.240005,133.550003,6807000,128.406433
2025-05-02,134.149994,134.399994,133.149994,133.75,7169700,128.59874
2025-05-05,134.039993,134.039993,131.699997,131.990005,8972200,126.906509
2025-05-06,131.899994,131.899994,130.160004,130.740005,6889900,125.704666
2025-05-07,130.949997,132.669998,130.270004,131.919998,6313200,126.839211
2025-05-08,131.889999,132.979996,131.259995,131.429993,6392400,126.36808
2025-05-09,131.149994,131.649994,130.179993,130.440002,4770500,125.416214
2025-05-12,130.839996,132.330002,130.059998,131.679993,8392700,126.608452
2025-05-13,131.169998,131.639999,129.75,130.309998,8650200,125.291206
2025-05-14,130.070007,130.169998,127.870003,128.449997,10463000,123.502853
2025-05-15,129.190002,131.550003,128.809998,131.5,9165100,126.435387
2025-05-16,132.089996,132.259995,130.649994,131.979996,8896400,126.896919
2025-05-19,132.130005,132.259995,131.110001,131.789993,9406200,126.714226
2025-05-20,131.75,132.169998,131.350006,131.800003,7624200,126.723846
2025-05-21,131.800003,131.899994,130.059998,130.149994,9243700,125.137367
2025-05-22,130.020004,130.699997,128.820007,130.119995,7140200,125.108536
2025-05-23,129.559998,129.759995,127.75,129.339996,8122500,124.358574
2025-05-27,130.080002,131.460007,129.130005,131.369995,13974800,126.310387
2025-05-28,131.289993,132.190002,130.470001,130.669998,9431500,125.637352
2025-05-29,130.860001,132.070007,130.25,131.919998,6656900,126.839211
2025-05-30,132.149994,132.720001,131.289993,131.449997,12992100,126.387321
2025-06-02,130.899994,131.029999,129.070007,130.910004,6723700,125.868126
2025-06-03,130.630005,132.210007,129.809998,131.850006,7339500,126.771904
2025-06-04,132.240005,132.740005,131.100006,131.740005,6519700,126.666145
2025-06-05,131.199997,131.410004,130.210007,131.110001,9560800,126.060402
2025-06-06,130.25,130.669998,129.339996,130.029999,7628200,126.393814
2025-06-09,129.830002,130.649994,129.179993,129.960007,8453100,126.325783
2025-06-10,130.199997,132.119995,129.460007,131.830002,11852900,128.143478
2025-06-11,131.940002,131.970001,129.789993,129.899994,9168400,126.267441
2025-06-12,129.889999,132.330002,129.710007,132.300003,11444900,128.600342
2025-06-13,131.759995,133.059998,130.589996,130.850006,9581000,127.190887
2025-06-16,131.309998,132.089996,130.229996,131.410004,11183700,127.735229
2025-06-17,131.160004,131.690002,129.130005,129.289993,10235200,125.6745
2025-06-18,129.630005,129.679993,128.589996,129.070007,8785800,125.46067
2025-06-20,129.529999,130.419998,128.899994,129.070007,23001000,125.46067
2025-06-23,129.289993,129.5,127.82,129.089996,12840400,125.480095
2025-06-24,129.139999,131.210007,129.050003,131.050003,9226800,127.385292
2025-06-25,130.259995,130.589996,127.629997,128.020004,10922600,124.440025
2025-06-26,127.709999,129.160004,127.599998,128.220001,11538100,124.63443
2025-06-27,128.289993,131.339996,128.110001,131.039993,26536500,127.375572
2025-06-30,131.199997,132.360001,130.589996,132.039993,11402400,128.347595
2025-07-01,132.589996,136.389999,132.470001,135.259995,12846700,131.477554
2025-07-02,135.25,137.0,134.880005,136.479996,9388700,132.663437
2025-07-03,136.699997,136.830002,135.240005,135.380005,4941400,131.594208
2025-07-07,135.529999,135.720001,133.679993,134.449997,7773700,130.690216
2025-07-08,133.410004,135.669998,133.279999,135.039993,7718300,131.263718
2025-07-09,134.899994,135.380005,132.960007,134.479996,7762600,130.719376
2025-07-10,134.429993,136.679993,133.630005,136.080002,8869700,132.274628
2025-07-11,134.839996,135.389999,133.809998,135.259995,7963600,131.477554
2025-07-14,134.75,135.880005,133.860001,135.570007,8480300,131.7789
2025-07-15,135.429993,135.509995,133.75,133.809998,8933500,130.068115
2025-07-16,133.949997,135.509995,133.75,135.350006,10941600,131.565063
2025-07-17,141.699997,145.960007,141.639999,145.440002,26161000,141.372879
2025-07-18,146.259995,146.350006,142.940002,143.240005,13752800,139.234421
2025-07-21,143.100006,143.589996,140.460007,141.699997,9025600,137.737473
2025-07-22,141.229996,146.399994,141.229996,146.039993,8281500,141.9561
2025-07-23,145.860001,147.029999,145.089996,145.660004,6166000,141.586746
2025-07-24,145.820007,146.470001,143.979996,144.509995,9749400,140.468903
2025-07-25,144.809998,144.820007,142.699997,143.449997,7021600,139.438538
2025-07-28,142.699997,143.100006,141.460007,141.570007,10639100,137.611115
2025-07-29,141.570007,143.990005,141.130005,143.889999,6282900,139.866241
2025-07-30,143.770004,144.399994,142.289993,142.860001,9738400,138.865036
2025-07-31,140.979996,141.570007,137.639999,137.919998,11689700,134.063171
2025-08-01,139.100006,139.809998,138.289993,139.279999,7630500,135.385147
2025-08-04,139.289993,140.320007,138.75,139.559998,8384700,135.657303
2025-08-05,139.600006,140.350006,139.259995,139.449997,5535100,135.550385
2025-08-06,139.899994,141.580002,139.360001,140.800003,6747400,136.86264
2025-08-07,141.240005,144.309998,140.479996,143.919998,7674600,139.895386
2025-08-08,143.919998,145.369995,143.800003,145.210007,5315100,141.149323
2025-08-11,145.320007,145.600006,143.75,144.869995,5773400,140.818817
2025-08-12,145.550003,147.009995,144.720001,146.869995,7668700,142.762878
2025-08-13,146.889999,149.539993,146.850006,149.350006,6147000,145.173553
2025-08-14,149.039993,149.5,148.050003,148.619995,6892500,144.463959
2025-08-15,149.389999,151.100006,148.490005,150.399994,9162200,146.194183
2025-08-18,150.550003,150.550003,148.919998,149.550003,9901000,145.36795
2025-08-19,150.0,152.320007,149.860001,152.160004,8596900,147.904968
2025-08-20,153.210007,154.610001,148.690002,150.729996,10023500,146.514954
2025-08-21,150.320007,150.320007,148.600006,148.979996,8153600,144.813889
2025-08-22,149.649994,151.179993,149.089996,149.639999,5218000,145.455429
2025-08-25,148.429993,148.820007,147.580002,148.199997,6624300,144.05571
2025-08-26,147.5,148.25,145.809998,147.0,11208100,142.889267
2025-08-27,147.0,147.789993,146.309998,147.639999,8092900,143.511368
2025-08-28,147.960007,148.039993,146.229996,146.979996,9265100,142.869827
2025-08-29,147.100006,149.220001,146.869995,148.649994,7760700,144.493103
2025-09-02,157.440002,157.800003,150.210007,150.279999,17348600,146.07753
2025-09-03,149.949997,150.460007,147.110001,148.639999,11259200,144.483398
2025-09-04,149.020004,149.470001,146.449997,146.889999,6342200,142.782349
2025-09-05,146.0,147.880005,145.279999,146.389999,7186300,143.688309
2025-09-08,145.720001,145.720001,140.350006,141.710007,11127600,139.094681
2025-09-09,141.179993,143.630005,141.100006,143.100006,5866400,140.45903
2025-09-10,142.229996,143.110001,141.419998,142.660004,6015100,140.027161
2025-09-11,142.889999,144.75,142.5,144.229996,6144400,141.568161
2025-09-12,144.070007,144.25,142.899994,143.529999,5713700,140.881088
2025-09-15,143.399994,143.529999,140.529999,140.639999,7279600,138.044434
2025-09-16,140.690002,141.309998,139.910004,140.029999,9283500,137.445694
2025-09-17,140.169998,142.039993,140.149994,141.229996,6092900,138.623535
2025-09-18,140.639999,141.630005,140.389999,140.729996,6106600,138.132767
2025-09-19,141.460007,142.080002,140.460007,141.759995,12365500,139.143753
2025-09-22,141.080002,141.520004,139.940002,141.029999,5797600,138.427216
2025-09-23,141.039993,142.229996,139.960007,141.899994,6356500,139.281174
2025-09-24,141.809998,142.339996,141.009995,142.169998,5949100,139.546188
2025-09-25,143.0,143.419998,139.860001,139.919998,7101700,137.337723
2025-09-26,139.940002,140.990005,139.850006,140.440002,6224700,137.848129
2025-09-29,140.440002,140.669998,139.119995,140.169998,11930200,137.583099
2025-09-30,140.169998,141.029999,139.830002,140.440002,7583400,137.848129
2025-10-01,140.809998,143.369995,140.479996,143.139999,5880800,140.498291
2025-10-02,141.889999,143.25,141.369995,142.309998,4497300,139.683609
2025-10-03,142.259995,143.360001,141.860001,141.979996,5425700,139.359695
2025-10-06,141.770004,141.850006,138.880005,139.699997,6750700,137.121765
2025-10-07,140.369995,141.839996,139.690002,140.789993,6110300,138.19165
2025-10-08,140.789993,140.979996,138.690002,138.839996,8256700,136.277634
2025-10-09,140.460007,144.740005,138.589996,144.710007,13706600,142.039322
2025-10-10,145.630005,150.820007,145.0,150.080002,17545200,147.310211
2025-10-13,148.649994,149.979996,147.339996,148.889999,7272000,146.142166
2025-10-14,148.690002,151.619995,148.5,151.539993,8371100,148.743256
2025-10-15,151.330002,152.389999,149.169998,151.160004,6101100,148.370285
2025-10-16,152.380005,154.380005,152.289993,152.669998,8532900,149.852402
2025-10-17,153.770004,153.910004,151.740005,153.710007,6710100,150.873215
2025-10-20,154.419998,154.419998,152.720001,153.639999,4810600,150.804504
2025-10-21,154.699997,155.190002,152.839996,153.179993,5614300,150.352997
2025-10-22,153.149994,155.179993,152.710007,153.029999,6486000,150.205765
2025-10-23,153.169998,153.399994,151.029999,151.509995,6091800,148.713821
2025-10-24,152.039993,152.419998,151.270004,151.550003,3580200,148.753067
2025-10-27,151.009995,152.869995,150.960007,152.630005,4744600,149.813156
2025-10-28,151.410004,153.210007,149.919998,150.119995,5626500,147.349457
2025-10-29,148.050003,148.660004,143.669998,146.160004,7767600,143.462555
2025-10-30,146.339996,148.089996,146.25,147.550003,5752700,144.826904
2025-10-31,146.199997,147.0,145.300003,146.089996,6313600,143.393845
2025-11-03,145.860001,145.910004,143.25,143.600006,8331500,140.949799
2025-11-04,144.699997,144.929993,142.059998,142.899994,8302900,140.262711
2025-11-05,142.899994,143.279999,141.580002,142.860001,7136400,140.22345
2025-11-06,142.410004,143.210007,141.300003,141.580002,6449400,138.967072
2025-11-07,142.929993,144.050003,141.649994,142.949997,7592300,140.311783
2025-11-10,142.490005,143.020004,141.259995,142.619995,6617500,139.987885
2025-11-11,143.279999,145.759995,142.679993,145.080002,7683600,142.402481
2025-11-12,144.559998,145.5,144.059998,144.389999,5790100,141.72522
2025-11-13,144.100006,146.389999,143.649994,145.020004,6663300,142.343597
2025-11-14,145.889999,146.839996,143.929993,145.850006,5770500,143.158279
2025-11-17,146.119995,148.110001,145.220001,147.830002,7320200,145.10173
2025-11-18,148.300003,149.830002,147.449997,148.770004,10821500,146.024399
2025-11-19,148.300003,148.800003,146.690002,147.110001,8123200,144.39502
2025-11-20,146.600006,147.080002,144.899994,146.100006,6878900,143.403656
2025-11-21,146.279999,148.940002,145.979996,146.330002,7911800,143.629425
2025-11-24,145.830002,146.339996,144.759995,145.5,9391400,142.814728
2025-11-25,145.929993,147.119995,145.570007,146.110001,8954000,143.413467
2025-11-26,146.320007,148.470001,146.229996,147.979996,5180600,145.248962
2025-11-28,147.229996,148.820007,147.229996,148.740005,2969300,145.994934
2025-12-01,148.630005,149.820007,148.509995,149.509995,7623300,146.750717
2025-12-02,149.460007,149.509995,146.529999,148.610001,6830300,145.86734
2025-12-03,148.690002,150.699997,147.910004,148.059998,5109200,145.327484
2025-12-04,147.75,148.25,146.130005,146.910004,6803000,144.198715
2025-12-05,145.619995,145.800003,144.509995,145.020004,5971300,143.735855
2025-12-08,145.009995,146.559998,144.199997,145.630005,6327400,144.340454
2025-12-09,146.350006,147.559998,143.910004,144.639999,10035200,143.359207
2025-12-10,147.770004,149.779999,147.0,149.699997,18526400,148.374405
2025-12-11,150.149994,150.889999,148.130005,149.039993,7854000,147.720245
2025-12-12,149.75,150.669998,148.740005,150.649994,8143100,149.315994
2025-12-15,150.940002,151.699997,150.279999,151.220001,8409600,149.880951
2025-12-16,151.990005,152.350006,149.990005,150.369995,7520300,149.038467
2025-12-17,150.380005,151.240005,149.479996,150.080002,8067100,148.751053
2025-12-18,149.800003,150.369995,149.25,149.369995,6643200,148.047333
2025-12-19,149.149994,149.889999,147.899994,148.160004,17543500,146.848053
2025-12-22,147.529999,148.979996,146.410004,147.050003,8818700,145.747879
2025-12-23,147.190002,147.190002,143.559998,143.679993,7254800,142.407715
2025-12-24,143.789993,143.990005,142.949997,143.740005,2618700,142.467194
2025-12-26,143.559998,143.940002,143.089996,143.779999,4975500,142.506836
2025-12-29,143.740005,145.050003,143.600006,144.240005,7201900,142.962769
2025-12-30,143.970001,145.270004,143.919998,144.160004,4713800,142.883469
2025-12-31,143.830002,144.029999,143.160004,143.520004,4380300,142.24913
2026-01-02,143.220001,143.410004,142.100006,142.229996,7182100,140.970551
2026-01-05,141.660004,141.809998,139.399994,139.919998,9031400,138.681015
2026-01-06,139.679993,140.059998,138.570007,138.960007,9576500,137.729523
