date,open,high,low,close,volume,adj_close
2025-04-29,13.15,13.35,12.93,13.3,18419200,13.3
2025-04-30,12.89,13.81,12.73,13.66,48760500,13.66
2025-05-01,13.72,14.16,13.7,13.76,31917000,13.76
2025-05-02,14.05,14.05,13.61,13.83,27224000,13.83
2025-05-05,13.7,13.75,13.13,13.55,25460100,13.55
2025-05-06,13.38,13.725,13.234,13.5,35961300,13.5
2025-05-07,13.45,13.82,12.52,12.72,56926300,12.72
2025-05-08,12.92,13.97,12.845,13.68,50103700,13.68
2025-05-09,13.71,14.69,13.65,14.26,50580800,14.26
2025-05-12,14.82,14.98,14.52,14.64,35622500,14.64
2025-05-13,14.72,15.15,14.61,14.87,35004700,14.87
2025-05-14,14.655,15.03,14.215,14.82,47996500,14.82
2025-05-15,14.64,15.56,14.61,15.3,55059200,15.3
2025-05-16,15.38,15.83,15.35,15.81,32231900,15.81
2025-05-19,15.44,16.43,15.245,16.290001,43922000,16.290001
2025-05-20,16.309999,17.15,16.219999,16.92,63759100,16.92
2025-05-21,16.709999,17.08,16.025,16.34,46878400,16.34
2025-05-22,16.190001,16.35,15.73,15.91,28115800,15.91
2025-05-23,15.61,15.87,15.4,15.63,21795000,15.63
2025-05-27,15.94,15.98,14.87,15.37,36961400,15.37
2025-05-28,15.4,15.8,15.325,15.48,23048100,15.48
2025-05-29,15.67,15.69,14.96,15.005,25175200,15.005
2025-05-30,14.965,14.98,14.41,14.53,40113300,14.53
2025-06-02,14.4,14.5,13.845,14.1,27357400,14.1
2025-06-03,14.19,14.68,14.19,14.37,22945600,14.37
2025-06-04,14.37,14.53,13.87,14.01,26241100,14.01
2025-06-05,14.025,14.27,13.613,13.78,34888200,13.78
2025-06-06,13.915,14.135,13.69,14.0,24451500,14.0
2025-06-09,14.15,14.55,13.995,14.4,27172700,14.4
2025-06-10,14.59,14.735,14.27,14.4,19586300,14.4
2025-06-11,14.605,14.8,14.065,14.2,20827200,14.2
2025-06-12,13.98,14.13,13.88,13.91,14829200,13.91
2025-06-13,13.575,13.74,13.35,13.42,26990400,13.42
2025-06-16,13.63,14.14,13.45,13.76,26498600,13.76
2025-06-17,13.475,13.69,13.26,13.39,21409600,13.39
2025-06-18,13.44,13.91,13.36,13.77,15930900,13.77
2025-06-20,13.93,14.03,13.385,13.57,28260200,13.57
2025-06-23,13.53,13.93,13.43,13.65,22204000,13.65
2025-06-24,13.835,13.98,13.69,13.81,17736500,13.81
2025-06-25,13.885,13.91,13.532,13.76,14584900,13.76
2025-06-26,13.79,14.14,13.66,13.91,17763100,13.91
2025-06-27,13.945,13.951,13.38,13.6,27501900,13.6
2025-06-30,13.6,13.825,13.56,13.74,18768700,13.74
2025-07-01,13.545,13.55,12.97,13.47,30282100,13.47
2025-07-02,13.3,13.33,12.83,12.87,42320400,12.87
2025-07-03,12.97,13.455,12.89,13.07,21513400,13.07
2025-07-07,12.88,12.92,12.444,12.75,34462300,12.75
2025-07-08,12.79,13.37,12.78,13.13,28302900,13.13
2025-07-09,13.19,13.32,13.06,13.2,16207100,13.2
2025-07-10,13.215,13.495,13.195,13.32,20665200,13.32
2025-07-11,13.18,13.44,13.0,13.03,21163700,13.03
2025-07-14,12.851,12.88,12.55,12.75,28208300,12.75
2025-07-15,12.8,13.03,12.62,12.63,27878300,12.63
2025-07-16,12.7,12.7,11.96,12.39,41553000,12.39
2025-07-17,12.74,13.49,12.69,12.9,52110700,12.9
2025-07-18,13.03,13.86,12.8,13.7,48648400,13.7
2025-07-21,13.915,14.15,13.62,13.7,35627000,13.7
2025-07-22,13.65,14.51,13.62,14.12,45193500,14.12
2025-07-23,14.21,14.24,13.77,14.02,38372200,14.02
2025-07-24,13.785,13.89,13.41,13.82,39294600,13.82
2025-07-25,13.89,14.47,13.801,14.01,51134500,14.01
2025-07-28,14.045,14.07,13.71,13.78,22639700,13.78
2025-07-29,13.77,13.83,13.055,13.06,38882200,13.06
2025-07-30,13.11,13.18,12.85,13.03,37652100,13.03
2025-07-31,12.995,13.13,12.8,12.87,37911500,12.87
2025-08-01,12.65,12.7,12.31,12.38,42548400,12.38
2025-08-04,12.56,12.84,12.35,12.41,45497100,12.41
2025-08-05,12.48,12.52,12.062,12.15,67997400,12.15
2025-08-06,11.675,12.26,11.57,11.64,67072700,11.64
2025-08-07,11.77,12.19,11.715,12.07,33230100,12.07
2025-08-08,12.08,12.285,11.78,11.79,31601200,11.79
2025-08-11,11.88,12.33,11.83,11.93,40349800,11.93
2025-08-12,12.08,12.105,11.58,11.97,33584100,11.97
2025-08-13,12.0,12.345,11.905,12.28,25094800,12.28
2025-08-14,12.065,12.21,11.79,12.06,38053200,12.06
2025-08-15,12.03,12.45,12.01,12.24,51961800,12.24
2025-08-18,12.28,12.48,12.07,12.41,38394400,12.41
2025-08-19,12.45,12.5,12.07,12.25,48702000,12.25
2025-08-20,12.175,12.325,11.88,12.07,45077400,12.07
2025-08-21,12.04,12.15,11.84,12.12,42737000,12.12
2025-08-22,12.17,13.11,12.16,13.09,64603100,13.09
2025-08-25,13.05,13.49,12.91,13.11,46841300,13.11
2025-08-26,13.11,13.26,12.84,13.21,53099500,13.21
2025-08-27,13.25,13.5,13.135,13.22,38969800,13.22
2025-08-28,13.34,13.66,13.09,13.64,31625800,13.64
2025-08-29,13.65,13.885,13.31,13.57,39634100,13.57
2025-09-02,13.3,13.95,12.98,13.87,51257800,13.87
2025-09-03,13.9,15.03,13.85,14.44,77654700,14.44
2025-09-04,14.36,14.37,13.38,13.7,82734000,13.7
2025-09-05,13.74,14.57,13.66,14.21,87135100,14.21
2025-09-08,14.235,14.325,13.82,13.99,54560700,13.99
2025-09-09,14.0,14.2,13.685,13.94,30599700,13.94
2025-09-10,13.94,14.27,13.73,13.91,32445400,13.91
2025-09-11,13.97,14.63,13.95,13.97,40471700,13.97
2025-09-12,14.0,14.04,12.57,13.46,67199600,13.46
2025-09-15,13.63,13.77,13.38,13.6,30818500,13.6
2025-09-16,13.77,14.65,13.73,14.32,62422900,14.32
2025-09-17,14.385,14.63,13.96,14.11,47865900,14.11
2025-09-18,14.29,14.94,14.074,14.68,48669500,14.68
2025-09-19,14.72,14.77,14.02,14.38,68671900,14.38
2025-09-22,14.305,15.43,14.11,15.24,74244700,15.24
2025-09-23,15.245,15.7,14.99,15.53,53832600,15.53
2025-09-24,15.51,15.95,15.064,15.79,50644500,15.79
2025-09-25,15.5,16.049999,15.14,15.74,44793600,15.74
2025-09-26,15.81,16.17,15.57,15.59,36800700,15.59
2025-09-29,15.75,15.79,15.0,15.25,46005200,15.25
2025-09-30,15.25,15.51,14.55,14.68,48572400,14.68
2025-10-01,14.785,15.06,14.59,14.61,27345900,14.61
2025-10-02,14.13,14.15,13.21,13.53,75952400,13.53
2025-10-03,13.525,13.73,13.22,13.65,45879700,13.65
2025-10-06,13.73,13.9,13.46,13.5,29514100,13.5
2025-10-07,13.53,13.72,13.23,13.26,31711000,13.26
2025-10-08,13.28,13.4,13.05,13.13,26798600,13.13
2025-10-09,13.08,13.17,12.86,13.09,27776400,13.09
2025-10-10,13.12,13.2,12.67,12.8,25834700,12.8
2025-10-13,12.99,13.12,12.8,13.06,21988800,13.06
2025-10-14,12.86,13.27,12.61,13.12,25298100,13.12
2025-10-15,13.25,13.638,13.185,13.41,36082900,13.41
2025-10-16,13.42,13.42,12.81,12.91,28327500,12.91
2025-10-17,12.9,13.215,12.87,13.03,24003800,13.03
2025-10-20,12.8,13.15,12.66,13.08,35626600,13.08
2025-10-21,13.07,13.56,12.9,13.2,27959900,13.2
2025-10-22,13.09,13.25,12.72,12.92,41848600,12.92
2025-10-23,12.77,13.19,12.71,13.09,26000500,13.09
2025-10-24,13.215,13.27,12.935,12.98,28316100,12.98
2025-10-27,13.17,13.665,12.97,13.41,48280800,13.41
2025-10-28,13.41,13.63,13.21,13.5,41866300,13.5
2025-10-29,13.5,13.88,13.45,13.71,34922200,13.71
2025-10-30,13.55,13.58,12.99,12.99,39850400,12.99
2025-10-31,13.08,13.59,12.895,13.57,44821400,13.57
2025-11-03,13.55,13.59,13.155,13.19,38765500,13.19
2025-11-04,12.96,12.98,12.39,12.5,55207800,12.5
2025-11-05,13.335,15.85,13.26,15.42,197650600,15.42
2025-11-06,15.26,15.61,14.48,15.22,88735300,15.22
2025-11-07,15.06,15.375,14.25,15.23,65782100,15.23
2025-11-10,15.54,16.75,15.01,16.41,104369900,16.41
2025-11-11,16.379999,18.129999,16.200001,18.02,109217400,18.02
2025-11-12,17.555,17.709999,16.4,17.52,72372100,17.52
2025-11-13,17.24,17.709999,16.209999,16.389999,58775100,16.389999
2025-11-14,15.7,15.87,15.07,15.11,60069200,15.11
2025-11-17,15.01,15.24,14.53,14.87,58303200,14.87
2025-11-18,14.68,15.33,14.4,14.99,40761500,14.99
2025-11-19,14.83,14.93,14.33,14.72,51911000,14.72
2025-11-20,14.935,15.63,14.59,14.66,45539400,14.66
2025-11-21,14.735,15.12,13.95,14.86,40498600,14.86
2025-11-24,15.03,15.25,14.68,15.17,42345100,15.17
2025-11-25,15.115,15.665,14.895,15.56,30087700,15.56
2025-11-26,15.61,16.48,15.507,16.18,35451200,16.18
2025-11-28,16.389999,17.055,16.26,16.860001,18543000,16.860001
2025-12-01,16.549999,17.790001,16.511999,17.16,43381000,17.16
2025-12-02,17.23,17.67,17.040001,17.23,34438900,17.23
2025-12-03,17.200001,17.9,16.9,17.530001,31993600,17.530001
2025-12-04,17.610001,18.17,17.370001,18.059999,39172100,18.059999
2025-12-05,18.08,18.6,17.91,17.950001,40574600,17.950001
2025-12-08,17.565001,17.709999,17.040001,17.610001,41828700,17.610001
2025-12-09,17.469999,17.795,17.370001,17.709999,21450700,17.709999
2025-12-10,17.629999,18.41,17.455,17.5,48017200,17.5
2025-12-11,17.415001,17.415001,15.73,16.43,97129800,16.43
2025-12-12,16.82,19.6,16.73,18.42,103734200,18.42
2025-12-15,18.610001,19.58,18.370001,18.700001,64341000,18.700001
2025-12-16,18.629999,18.969999,17.639999,17.9,46207200,17.9
2025-12-17,18.1,18.41,17.6,17.629999,32172700,17.629999
2025-12-18,18.26,20.33,18.26,20.280001,67245400,20.280001
2025-12-19,20.309999,22.639999,20.309999,22.450001,106165100,22.450001
2025-12-22,22.469999,22.690001,21.625,21.75,38448500,21.75
2025-12-23,21.690001,21.700001,20.690001,21.18,38763700,21.18
2025-12-24,21.110001,21.485001,20.83,21.129999,10629600,21.129999
2025-12-26,21.219999,21.549999,20.77,20.9,20503000,20.9
2025-12-29,20.639999,21.040001,20.33,20.67,20707600,20.67
2025-12-30,20.68,20.68,19.280001,19.59,38607700,19.59
2025-12-31,19.620001,19.915001,19.299999,19.709999,21573800,19.709999
2026-01-02,19.780001,20.709999,18.9,19.41,42740200,19.41
2026-01-05,19.469999,20.0,19.16,19.59,31071500,19.59
2026-01-06,19.639999,20.1,18.879999,19.530001,34687800,19.530001
2026-01-07,19.459999,20.58,18.690001,20.059999,42136800,20.059999
2026-01-08,19.905001,20.950001,19.700001,19.889999,36672600,19.889999
2026-01-09,19.945,20.17,19.035,19.219999,32467400,19.219999
2026-01-12,18.725,19.445,18.530001,19.15,29279100,19.15
2026-01-13,19.1,19.15,18.645,18.85,24788400,18.85
2026-01-14,18.245001,18.25,17.065001,17.5,53011100,17.5
2026-01-15,17.48,17.57,16.875,17.059999,29245400,17.059999
2026-01-16,17.195,17.24,16.58,16.67,26925000,16.67
2026-01-20,16.225,16.299999,15.86,16.16,29808100,16.16
2026-01-21,16.42,16.66,16.1,16.469999,23601500,16.469999
2026-01-22,16.530001,16.98,16.219999,16.32,20350000,16.32
2026-01-23,16.33,16.35,15.77,15.95,20442100,15.95
2026-01-26,15.821,15.88,15.56,15.75,17863800,15.75
2026-01-27,15.815,15.815,15.115,15.27,21218500,15.27
2026-01-28,15.43,15.495,15.13,15.2,19042100,15.2
2026-01-29,15.335,15.555,14.862,15.17,23475000,15.17
2026-01-30,15.1,15.27,14.5,14.75,25350700,14.75
2026-02-02,14.695,14.75,14.39,14.44,19269300,14.44
2026-02-03,14.45,14.8,13.92,14.41,25673300,14.41
2026-02-04,14.56,14.625,14.1,14.37,23370800,14.37
2026-02-05,14.11,14.34,13.58,13.73,29469100,13.73
2026-02-06,13.835,14.99,13.82,14.8,31308200,14.8
2026-02-09,14.82,15.095,14.33,14.69,31858800,14.69
2026-02-10,14.93,15.595,14.84,14.96,37616400,14.96
2026-02-11,15.16,15.24,14.315,14.76,27135500,14.76
2026-02-12,14.76,14.83,13.94,14.0,38024300,14.0
2026-02-13,17.77,18.48,16.4,17.73,127927300,17.73
2026-02-17,17.389999,17.66,16.379999,16.469999,55972100,16.469999
2026-02-18,16.495001,17.086,16.073,16.15,30101700,16.15
2026-02-19,15.93,15.96,15.07,15.59,28703600,15.59
2026-02-20,15.335,15.42,15.01,15.27,20860500,15.27
2026-02-23,15.085,15.355,14.695,14.96,17459800,14.96
2026-02-24,15.095,15.35,14.735,15.12,21025300,15.12
2026-02-25,15.3,15.705,15.18,15.25,19283200,15.25
2026-02-26,15.18,15.77,15.13,15.61,23469700,15.61
2026-02-27,15.34,15.54,14.91,15.33,34214300,15.33
2026-03-02,15.0,15.22,14.7,15.01,20187700,15.01
2026-03-03,14.73,15.6,14.56,15.1,25283000,15.1
2026-03-04,14.98,15.335,14.835,14.92,23847600,14.92
2026-03-05,14.615,15.28,14.55,15.19,27696900,15.19
2026-03-06,14.82,15.62,14.8,15.37,24930200,15.37
2026-03-09,15.115,15.97,15.052,15.87,25666200,15.87
2026-03-10,16.700001,17.555,16.5,16.540001,51139300,16.540001
2026-03-11,16.545,16.870001,16.135,16.65,21360700,16.65
2026-03-12,16.6,16.790001,15.24,15.3,37373900,15.3
2026-03-13,15.27,15.555,14.81,14.86,30983100,14.86
2026-03-16,15.035,15.45,14.85,15.33,25041500,15.33
2026-03-17,15.31,16.07,15.29,15.82,22536900,15.82
2026-03-18,15.65,16.038,15.5,15.53,19144700,15.53
2026-03-19,16.559999,17.120001,15.545,16.120001,78928100,16.120001
2026-03-20,15.96,16.049999,14.81,14.91,51016900,14.91
2026-03-23,15.35,16.32,15.31,15.77,37348000,15.77
2026-03-24,15.472,16.129999,15.365,16.1,19443600,16.1
2026-03-25,16.26,16.52,15.545,15.62,20330900,15.62
2026-03-26,15.42,15.7,15.13,15.21,16862800,15.21
2026-03-27,15.18,15.235,14.7,14.77,22351500,14.77
2026-03-30,14.9,14.993,14.24,14.49,19715400,14.49
2026-03-31,14.56,15.16,14.43,15.05,24085900,15.05
2026-04-01,15.535,15.82,14.87,14.94,22177900,14.94
2026-04-02,14.94,15.48,14.62,15.4,20720100,15.4
2026-04-06,15.39,15.69,14.9,15.29,22766800,15.29
2026-04-07,15.1,15.2,14.425,14.69,27778900,14.69
2026-04-08,15.49,15.62,14.865,15.14,31904800,15.14
2026-04-09,15.04,15.43,14.865,15.24,16625000,15.24
2026-04-10,15.37,15.87,15.3,15.43,19334300,15.43
2026-04-13,15.4,15.99,15.25,15.9,22415800,15.9
2026-04-14,16.32,16.709999,15.8,15.99,29182500,15.99
2026-04-15,16.01,16.49,15.905,16.41,23475200,16.41
2026-04-16,16.639999,17.035,16.370001,16.889999,29131700,16.889999
2026-04-17,17.115,17.775,17.09,17.23,32234700,17.23
2026-04-20,17.030001,17.15,16.76,16.92,19620300,16.92
2026-04-21,17.07,17.485001,16.844999,17.15,21364000,17.15
2026-04-22,17.4,18.07,17.254999,17.74,26160200,17.74
2026-04-23,17.51,17.780001,16.719999,16.950001,24269300,16.950001
2026-04-24,16.950001,17.07,16.26,16.52,23800400,16.52
2026-04-27,16.52,16.995001,16.5,16.719999,21176000,16.719999
2026-04-28,16.49,16.535,15.96,16.139999,16286300,16.139999
2026-04-29,16.0,16.139999,15.875,16.059999,16223600,16.059999
2026-04-30,16.219999,16.684999,15.88,16.4,31193600,16.4
2026-05-01,15.575,16.025,15.01,15.02,53434700,15.02
2026-05-04,15.16,15.16,14.39,14.51,48844400,14.51
2026-05-05,14.65,15.07,14.48,14.6,28211000,14.6
2026-05-06,14.68,14.785,14.42,14.48,24738800,14.48
2026-05-07,14.582,14.64,14.115,14.18,26025000,14.18
2026-05-08,14.27,14.29,13.84,13.935,7686833,13.935
2026-05-11,14.12,14.26,14.02,14.255,9657718,14.255
2026-05-12,14.01,14.19,13.66,13.71,8866370,13.71
2026-05-13,13.91,14.08,13.87,13.9499,1734266,13.9499
2026-05-14,14.24,14.6,14.195,14.565,6939724,14.565
2026-05-15,14.05,14.14,13.66,13.915,20595782,13.915
2026-05-18,13.785,13.79,13.18,13.285,14465691,13.285
2026-05-19,13.23,13.245,12.65,12.83,19244453,12.83
2026-05-20,13.08,13.455,12.7737,13.44,15110202,13.44
2026-05-21,13.64,14.1499,13.5598,13.875,7227056,13.875
2026-05-22,14.17,14.4,14.15,14.36,1880876,14.36
2026-05-26,14.39,14.699,14.155,14.525,10952710,14.525
2026-05-27,14.46,14.86,14.45,14.815,7388154,14.815
2026-05-28,14.61,15.25,14.49,15.215,13123058,15.215
2026-05-29,15.24,16.434999,15.11,16.334999,26082113,16.334999
2026-06-01,16.1,16.85,15.9,16.442301,11601428,16.442301
2026-06-02,17.0,17.690001,16.67,17.440001,22519484,17.440001
2026-06-03,17.07,18.429899,16.915001,17.8237,31497078,17.8237
2026-06-04,17.969999,18.365,17.75,18.275,6870421,18.275
2026-06-05,18.0,18.0,17.219999,17.450001,6529518,17.450001
2026-06-08,16.700001,17.6,16.370001,17.535,12928905,17.535
2026-06-09,16.860001,16.92,15.49,15.555,14998045,15.555
2026-06-10,15.672,15.8,15.45,15.5601,4782861,15.5601
2026-06-11,14.7,15.3699,14.4821,15.23,12614624,15.23
