date,open,high,low,close,volume,adj_close
2025-04-29,14.13,14.505,13.23,13.27,171099300,13.27
2025-04-30,12.785,12.82,12.05,12.51,86413300,12.51
2025-05-01,12.84,12.92,12.46,12.51,70285300,12.51
2025-05-02,12.685,12.93,12.58,12.7,50789300,12.7
2025-05-05,12.48,13.05,12.43,12.86,51937900,12.86
2025-05-06,12.57,12.83,12.435,12.73,40465200,12.73
2025-05-07,12.7,13.28,12.56,13.01,51029800,13.01
2025-05-08,13.319,13.47,13.1,13.26,52579800,13.26
2025-05-09,13.3,13.465,12.87,13.18,53262000,13.18
2025-05-12,14.04,14.2,13.68,14.04,74278200,14.04
2025-05-13,14.24,14.46,14.05,14.29,70382900,14.29
2025-05-14,14.44,14.78,13.94,14.03,77903700,14.03
2025-05-15,13.91,13.95,13.33,13.57,66129800,13.57
2025-05-16,13.7,13.97,13.56,13.92,58250800,13.92
2025-05-19,13.395,13.86,13.36,13.73,57180000,13.73
2025-05-20,13.66,13.66,13.225,13.27,54429600,13.27
2025-05-21,13.08,13.32,12.74,12.8,71853700,12.8
2025-05-22,12.8,13.28,12.78,13.19,56734700,13.19
2025-05-23,12.8,13.21,12.745,13.09,44155300,13.09
2025-05-27,13.41,13.48,13.091,13.39,46060200,13.39
2025-05-28,13.39,13.43,13.13,13.32,56645000,13.32
2025-05-29,13.5,13.6,13.07,13.17,50198700,13.17
2025-05-30,13.07,13.32,12.86,13.3,60735700,13.3
2025-06-02,13.28,13.69,13.09,13.67,53500300,13.67
2025-06-03,13.71,13.825,13.49,13.66,54104400,13.66
2025-06-04,13.67,13.689,13.23,13.46,54412400,13.46
2025-06-05,13.48,14.32,13.46,13.67,70633900,13.67
2025-06-06,14.0,14.49,13.93,14.24,63286700,14.24
2025-06-09,14.385,14.43,13.97,14.1,62639300,14.1
2025-06-10,14.17,14.48,13.96,14.39,57460300,14.39
2025-06-11,14.52,15.17,14.49,15.06,79569800,15.06
2025-06-12,14.87,15.2,14.66,14.9,78524700,14.9
2025-06-13,14.39,14.71,13.97,14.09,76753100,14.09
2025-06-16,14.3,14.93,14.28,14.9,65414100,14.9
2025-06-17,14.82,14.94,14.23,14.43,72249500,14.43
2025-06-18,14.38,15.42,14.36,15.36,84597000,15.36
2025-06-20,15.565,15.64,15.0,15.2,87552800,15.2
2025-06-23,15.02,15.45,14.64,15.36,60990900,15.36
2025-06-24,15.735,15.95,15.51,15.85,64207300,15.85
2025-06-25,16.02,16.285,15.91,16.08,68438900,16.08
2025-06-26,16.25,16.809999,16.059999,16.77,73896800,16.77
2025-06-27,16.92,17.52,16.84,17.18,92297000,17.18
2025-06-30,17.73,18.92,17.59,18.209999,149080200,18.209999
2025-07-01,18.0,18.476,17.35,17.639999,93556500,17.639999
2025-07-02,17.525,18.290001,17.52,18.120001,67100700,18.120001
2025-07-03,18.309999,18.639999,18.08,18.57,44667700,18.57
2025-07-07,18.5,19.290001,18.4,19.24,80137800,19.24
2025-07-08,19.799999,20.889999,19.66,19.950001,111492400,19.950001
2025-07-09,20.17,20.25,19.620001,20.219999,64252100,20.219999
2025-07-10,20.389999,21.32,20.24,20.969999,86494100,20.969999
2025-07-11,20.77,21.860001,20.75,21.200001,92365600,21.200001
2025-07-14,21.370001,21.440001,20.42,21.33,67028200,21.33
2025-07-15,21.245001,21.6,20.860001,20.959999,61495400,20.959999
2025-07-16,20.969999,21.59,20.77,21.389999,59992000,21.389999
2025-07-17,21.5,22.200001,21.42,22.09,49837600,22.09
2025-07-18,22.305,22.74,21.35,21.809999,59729100,21.809999
2025-07-21,21.950001,22.040001,21.09,21.16,48699000,21.16
2025-07-22,20.790001,21.1,19.82,20.98,63655900,20.98
2025-07-23,21.209999,21.65,20.860001,21.559999,49653700,21.559999
2025-07-24,21.75,22.01,21.370001,21.51,46110300,21.51
2025-07-25,21.52,21.58,21.165001,21.200001,40134900,21.200001
2025-07-28,21.219999,21.219999,20.77,21.02,59105900,21.02
2025-07-29,23.110001,25.110001,22.254999,22.4,236127400,22.4
2025-07-30,20.83,21.98,20.431999,21.870001,183424700,21.870001
2025-07-31,22.674999,23.805,22.485001,22.58,120095300,22.58
2025-08-01,21.700001,21.76,20.6,21.23,89388500,21.23
2025-08-04,21.51,21.84,20.700001,21.809999,59741200,21.809999
2025-08-05,22.0,22.120001,21.32,21.540001,48936500,21.540001
2025-08-06,21.469999,21.559999,21.02,21.459999,36720500,21.459999
2025-08-07,21.790001,22.43,21.68,22.08,53034200,22.08
2025-08-08,22.299999,22.584999,21.950001,22.1,49146100,22.1
2025-08-11,22.1,23.139999,21.715,22.42,58462600,22.42
2025-08-12,22.620001,23.73,22.52,23.65,56583300,23.65
2025-08-13,24.18,24.5,23.09,23.809999,68665800,23.809999
2025-08-14,23.42,23.950001,22.74,23.290001,52370500,23.290001
2025-08-15,23.290001,23.860001,22.610001,23.77,44765000,23.77
2025-08-18,23.690001,24.23,23.41,24.23,45472900,24.23
2025-08-19,24.610001,24.91,22.690001,22.75,82575000,22.75
2025-08-20,22.42,22.719999,21.209999,22.52,87818300,22.52
2025-08-21,22.440001,23.368999,22.309999,23.33,53440700,23.33
2025-08-22,23.16,25.25,22.9,25.02,101606500,25.02
2025-08-25,25.18,26.379999,24.809999,26.15,90233000,26.15
2025-08-26,26.205,26.605,25.5,25.620001,125930100,25.620001
2025-08-27,25.615,25.809999,24.879999,24.959999,54456400,24.959999
2025-08-28,25.02,26.33,25.0,26.040001,68314800,26.040001
2025-08-29,26.16,26.42,25.209999,25.540001,54432500,25.540001
2025-09-02,24.5,25.280001,23.700001,24.91,76177300,24.91
2025-09-03,25.059999,25.110001,24.389999,24.49,48252800,24.49
2025-09-04,24.33,25.540001,24.240999,25.379999,51599700,25.379999
2025-09-05,25.77,25.969999,24.18,25.6,71312300,25.6
2025-09-08,25.809999,26.1,25.049999,25.959999,55972700,25.959999
2025-09-09,26.02,26.190001,25.549999,25.969999,49113000,25.969999
2025-09-10,26.290001,26.855,25.299999,25.52,63942200,25.52
2025-09-11,25.76,26.6,25.620001,25.959999,54719200,25.959999
2025-09-12,26.0,26.690001,25.77,26.549999,61305200,26.549999
2025-09-15,27.25,27.77,26.934999,27.67,66929400,27.67
2025-09-16,27.790001,27.879999,26.629999,27.42,67268500,27.42
