bigram,count
national guard,7
president trump,7
trump putin,6
vladimir putin,6
white house,5
alaska summit,5
air canada,5
european leaders,4
troops washington,4
guard troops,4
donald trump,4
peace deal,3
trump administration,3
united states,3
law enforcement,3
hurricane erin,3
national park,3
trump vladimir,3
taylor swift,3
summit russian,2
dragon bravo,2
bravo fire,2
leaders join,2
meeting trump,2
putin summit,2
who have,2
jeanine pirro,2
putin approach,2
president vladimir,2
republican led,2
led states,2
states send,2
west virginia,2
south carolina,2
carolina pledged,2
guard members,2
union defies,2
return work,2
work order,2
putin trump,2
sierra leone,2
virgin islands,2
islands puerto,2
puerto rico,2
state department,2
bbc correspondents,2
meeting alaska,2
what learned,2
trump putin's,2
ukraine talks,2
task force,2
what president,2
hundreds people,2
man rescued,2
what know,2
apollo missions,2
nfl preseason,2
move palestinians,2
southern gaza,2
box office,2
washington post,2
ufc plessis,2
plessis chimaev,2
cbs news,2
deals include,2
include discount,2
time years,2
have exposed,2
exposed rabies,2
rabies bat,2
bat infested,2
infested cabins,2
grand teton,2
teton national,2
william kate,2
set move,2
summer wave,2
mark zuckerberg,2
apple watch,2
next year,2
zelensky brings,1
brings backup,1
backup white,1
house trump,1
trump aligns,1
aligns closely,1
closely putin,1
putin european,1
leaders joining,1
joining trip,1
trip washington,1
washington make,1
make sure,1
sure trans,1
trans atlantic,1
atlantic alliance,1
alliance remains,1
remains intact,1
pence welcomes,1
welcomes trump,1
trump deployment,1
deployment national,1
guard former,1
former vice,1
vice president,1
president mike,1
mike pence,1
pence wished,1
wished president,1
trump have,1
have jan,1
jan supported,1
supported recent,1
recent decision,1
decision deploy,1
deploy troops,1
trump officials,1
officials hint,1
hint possible,1
possible concessions,1
concessions putin,1
putin secretary,1
secretary state,1
state marco,1
marco rubio,1
rubio steve,1
steve witkoff,1
witkoff envoy,1
envoy president,1
trump suggested,1
suggested peace,1
deal still,1
still distant,1
putin find,1
find common,1
common ground,1
ground issue,1
issue biden,1
biden alaska,1
russian leaders,1
leaders showcased,1
showcased mutual,1
mutual animosity,1
animosity former,1
former president,1
administration minimizes,1
minimizes summit,1
summit papers,1
papers left,1
left hotel,1
hotel papers,1
papers laying,1
laying sequence,1
sequence events,1
events including,1
including phone,1
phone numbers,1
numbers several,1
several officials,1
officials found,1
found around,1
around friday,1
friday sent,1
sent npr,1
npr guest,1
guest hotel,1
brighty burro,1
burro beloved,1
beloved grand,1
grand canyon,1
canyon statue,1
statue rescued,1
rescued dragon,1
fire statue,1
statue missing,1
missing ear,1
ear front,1
front legs,1
legs mostly,1
mostly intact,1
intact crews,1
crews recovered,1
recovered dragon,1
join zelensky,1
zelensky meeting,1
trump trump,1
summit european,1
leaders accompany,1
accompany president,1
president volodymyr,1
volodymyr zelensky,1
zelensky ukraine,1
ukraine white,1
house monday,1
trump selective,1
selective stance,1
stance justice,1
justice redemption,1
redemption scorn,1
scorn others,1
