entity,slope
charlie kirk,1.984674329501915
corebridge financial inc.,0.8467432950191569
newedge advisors llc,0.7167487684729061
metlife,0.6009852216748768
trexquant investment lp,0.528461959496442
first hawaiian bank,0.524630541871921
charlie kirk's,0.400383141762452
advisors asset management inc.,0.3856048166392993
kirk,0.3344280240831964
qatar,0.31992337164750956
alphaquest,0.2917350848385331
berenberg bank,0.26217843459222767
jacobs levy equity management inc.,0.24986316365626698
charlie kirk’s,0.2460317460317459
cubist systematic strategies,0.2279693486590037
state of wyoming,0.2244116037219485
turning point usa,0.22140120415982478
alliancebernstein l.p.,0.19923371647509566
erika kirk,0.19841269841269837
northwestern mutual wealth management co.,0.18281335522714837
utah,0.18007662835249044
bbc world service,0.1800766283524904
lllp,0.1773399014778325
doha,0.17679255610290093
mtv,0.17460317460317454
financial inc.,0.1644772851669403
oracle,0.16338259441707717
alphaquest llc,0.1576354679802956
utah valley university,0.15599343185550077
ieq capital llc,0.1496989600437876
