word,slope,total
corebridge,2.0835686053077356,256.0
metlife,1.6301524562394125,217.0
alphaquest,1.5330321852060982,213.0
sept,0.9926595143986447,266.0
hsbc,0.9757199322416714,470.0
wyoming,0.9356295878035008,163.0
sep,0.7735742518351213,110.0
mutual,0.5680406549971766,164.0
northwestern,0.5544889892715978,128.0
bulletin,0.3015245623941276,136.0
gbx,0.2947487295313381,712.0
genuity,0.2653867871259175,96.0
canaccord,0.26143421795595717,119.0
jinping,0.22981366459627323,105.0
lon,0.22755505364201017,801.0
resign,0.19988706945228685,86.0
parade,0.18859401468097114,164.0
spx,0.16261998870694538,102.0
advisory,0.1400338791643139,338.0
rfk,0.13777526821005084,170.0
pittsburgh,0.11857707509881436,160.0
restated,0.0982495765104461,102.0
bancshares,0.09768492377188026,171.0
chargers,0.09260304912478826,94.0
gmt,0.0892151326933936,80.0
louisiana,0.08356860530773574,108.0
baird,0.08187464709203844,89.0
bmo,0.07792207792207793,102.0
minute,0.06662902315076241,254.0
century,0.06267645398080175,611.0
