token,count,share
chars,7291,0.02021672461887412
report,2526,0.007004175886336034
free,2130,0.005906134060924684
shares,1714,0.0047526355776642765
trump,1686,0.0046749962566755955
inc,1358,0.0037655070679510428
get,1340,0.003715596075886891
stock,1309,0.0036296382562208507
nasdaq,1250,0.003466041115566129
first,1246,0.0034549497839963176
company,1055,0.002925338701537813
market,1049,0.0029087017041830956
nyse,944,0.0026175542504755407
now,891,0.002470594107175537
president,887,0.002459502775605725
open,870,0.002412364616434026
day,838,0.002323633963875533
price,812,0.0022515403086717577
according,794,0.0022016293166076052
research,766,0.002123989995618924
return,761,0.0021101258311566596
august,760,0.002107352998264207
national,756,0.002096261666694395
quarter,735,0.002038032175952884
reports,702,0.0019465286905019383
earnings,678,0.0018799807010830686
com,676,0.0018744350352981626
financial,676,0.0018744350352981626
latest,670,0.0018577980379434454
friday,653,0.001810659878771746
