strategy,ticker,category,term,n_trades,hit_rate,avg_win_pct,avg_loss_pct,total_return_pct,max_drawdown,sharpe,profit_factor,calmar,best_trade_pct,worst_trade_pct,avg_hold_days
BLK::RSI_oversold_35,BLK,TA-only,,2,1.0,1.167,0,2.348,0.0,105.6034,,,1.2911,1.043,5.0
AMD::BB_lower_touch,AMD,TA-only,,2,1.0,6.2576,0,12.902,0.0,104.7198,,,6.9283,5.5868,5.0
GOOGL::News_composite_z2.0,GOOGL,News-only,,3,1.0,2.9996,0,9.267,0.0,71.8448,,,3.7649,2.6135,5.0
GOOGL::News_expected_z2.0,GOOGL,News-only,expected,2,1.0,3.1926,0,6.484,0.0,62.6254,,,3.7649,2.6204,5.0
GOOGL::News_OR_RSI35,GOOGL,Combined-OR,,4,1.0,2.7215,0,11.329,0.0,55.678,,,3.7649,1.8874,5.0
NVDA::BB_lower_touch,NVDA,TA-only,,3,1.0,7.549,0,24.321,0.0,44.6546,,,9.412,4.473,5.0
JPM::News_composite_z2.0,JPM,News-only,,3,1.0,0.9293,0,2.812,0.0,40.3619,,,1.2739,0.546,5.0
GOOGL::News_jobs_z2.0,GOOGL,News-only,jobs,2,1.0,5.4184,0,11.103,0.0,36.7834,,,7.0719,3.7649,5.0
DIA::BB_lower_touch,DIA,TA-only,,2,1.0,2.1331,0,4.306,0.0,33.1313,,,2.8558,1.4104,5.0
JPM::News_expected_z2.0,JPM,News-only,expected,2,1.0,0.91,0,1.827,0.0,28.0647,,,1.2739,0.546,5.0
USO::RSI_oversold_35,USO,TA-only,,2,1.0,5.4575,0,11.165,0.0,27.9498,,,7.6493,3.2657,5.0
QQQ::BB_lower_touch,QQQ,TA-only,,3,1.0,1.918,0,5.852,0.0,26.462,,,2.7488,0.6047,5.0
JPM::News_OR_RSI35,JPM,Combined-OR,,4,1.0,1.2866,0,5.237,0.0,26.3729,,,2.3585,0.546,5.0
CVX::BB_lower_touch,CVX,TA-only,,2,1.0,1.1635,0,2.338,0.0,25.7027,,,1.6717,0.6554,5.0
NXPI::RSI_oversold_35,NXPI,TA-only,,2,1.0,0.9955,0,1.999,0.0,25.1507,,,1.4398,0.5512,5.0
BAC::News_composite_z2.0,BAC,News-only,,3,1.0,2.8929,0,8.897,0.0,24.9118,,,4.8958,1.2673,5.0
MS::MACD_bullish_cross,MS,TA-only,,3,1.0,2.3043,0,7.037,0.0,19.4682,,,4.0375,0.3075,5.0
BAC::News_expected_z2.0,BAC,News-only,expected,2,1.0,3.0816,0,6.225,0.0,19.0659,,,4.8958,1.2673,5.0
BAC::News_jobs_z2.0,BAC,News-only,jobs,2,1.0,3.3366,0,6.742,0.0,18.0993,,,5.406,1.2673,5.0
AVGO::BB_lower_touch,AVGO,TA-only,,2,1.0,4.002,0,8.094,0.0,16.9416,,,6.6536,1.3504,5.0
MS::News_composite_z2.0,MS,News-only,,3,0.6667,3.8841,-0.122,7.784,0.0012,16.9089,63.6746,64.8667,4.4973,-0.122,5.0
MS::News_OR_RSI35,MS,Combined-OR,,3,0.6667,3.8841,-0.122,7.784,0.0012,16.9089,63.6746,64.8667,4.4973,-0.122,5.0
AAPL::News_jobs_z2.0,AAPL,News-only,jobs,2,1.0,1.6243,0,3.26,0.0,14.731,,,2.8621,0.3866,5.0
NXPI::BB_lower_touch,NXPI,TA-only,,5,1.0,4.3664,0,23.313,0.0,14.5442,,,10.0899,0.0339,5.0
INTC::MACD_bullish_cross,INTC,TA-only,,2,1.0,8.211,0,16.536,0.0,12.3118,,,15.6972,0.7248,4.5
NXPI::News_lead3d_BB,NXPI,News-lead-TA,,2,1.0,0.7369,0,1.474,0.0,11.7663,,,1.4398,0.0339,5.0
CVX::MACD_bullish_cross,CVX,TA-only,,2,0.5,3.588,-0.0067,3.581,0.0001,11.1831,535.5224,358.1,3.588,-0.0067,5.0
MS::News_expected_z2.0,MS,News-only,expected,2,0.5,4.4973,-0.122,4.37,0.0012,10.632,36.8631,36.4167,4.4973,-0.122,5.0
MS::News_jobs_z2.0,MS,News-only,jobs,2,0.5,4.4843,-0.122,4.357,0.0012,10.6304,36.7566,36.3083,4.4843,-0.122,5.0
BAC::BB_lower_touch,BAC,TA-only,,3,0.6667,4.8833,-1.6543,8.159,0.0165,10.4458,5.9037,4.9448,6.5082,-1.6543,5.0
AAPL::TA_confluence_2,AAPL,TA-only,,2,0.5,3.5494,-0.1421,3.402,0.0014,10.3608,24.9782,24.3,3.5494,-0.1421,5.0
SPY::BB_lower_touch,SPY,TA-only,,4,0.75,1.7603,-1.2844,4.016,0.0128,9.7325,4.1115,3.1375,2.5731,-1.2844,5.0
GLD::News_jobs_z2.0,GLD,News-only,jobs,2,0.5,5.3831,-0.5653,4.787,0.0057,9.0915,9.5226,8.3982,5.3831,-0.5653,5.0
GLD::News_expected_z2.0,GLD,News-only,expected,2,0.5,4.0532,-0.5653,3.465,0.0057,8.4771,7.17,6.0789,4.0532,-0.5653,5.0
AAPL::BB_lower_touch,AAPL,TA-only,,2,0.5,3.5494,-0.4993,3.032,0.005,8.4564,7.1088,6.064,3.5494,-0.4993,5.0
MU::News_jobs_z2.0,MU,News-only,jobs,2,0.5,11.4427,-1.7484,9.494,0.0175,8.2494,6.5447,5.4251,11.4427,-1.7484,5.0
CVX::News_jobs_z2.0,CVX,News-only,jobs,2,0.5,2.8073,-0.4802,2.314,0.0048,7.9457,5.8461,4.8208,2.8073,-0.4802,5.0
AMZN::News_jobs_z2.0,AMZN,News-only,jobs,2,0.5,8.7546,-1.539,7.081,0.0154,7.8685,5.6885,4.5981,8.7546,-1.539,5.0
AMZN::News_composite_z2.0,AMZN,News-only,,3,0.6667,6.9989,-4.2847,9.553,0.0428,7.6176,3.2669,2.232,8.7546,-4.2847,5.0
ASML::News_jobs_z2.0,ASML,News-only,jobs,2,0.5,9.9424,-1.9489,7.8,0.0195,7.5456,5.1015,4.0,9.9424,-1.9489,5.0
BAC::News_OR_RSI35,BAC,Combined-OR,,4,0.75,2.8929,-2.6891,5.969,0.0269,7.4962,3.2274,2.219,4.8958,-2.6891,5.0
AMD::News_OR_RSI35,AMD,Combined-OR,,4,0.75,8.1907,-8.7706,15.52,0.0877,7.3531,2.8016,1.7697,9.143,-8.7706,4.2
IWM::News_OR_RSI35,IWM,Combined-OR,,4,0.75,2.7298,-3.1169,5.016,0.0312,6.4058,2.6274,1.6077,4.253,-3.1169,5.0
NXPI::MACD_bullish_cross,NXPI,TA-only,,3,0.6667,7.706,-4.096,10.772,0.041,6.0884,3.7627,2.6273,14.7977,-4.096,5.0
AMD::MACD_bullish_cross,AMD,TA-only,,4,0.75,6.2175,-6.7258,11.375,0.0673,5.6817,2.7733,1.6902,13.475,-6.7258,5.0
GS::News_composite_z2.0,GS,News-only,,3,0.3333,4.4101,-0.632,3.092,0.011,5.6447,3.489,2.8109,4.4101,-1.1049,5.0
GS::News_OR_RSI35,GS,Combined-OR,,3,0.3333,4.4101,-0.632,3.092,0.011,5.6447,3.489,2.8109,4.4101,-1.1049,5.0
AMD::News_jobs_z2.0,AMD,News-only,jobs,2,0.5,8.4597,-3.0852,5.114,0.0309,5.2256,2.742,1.655,8.4597,-3.0852,5.0
MU::News_composite_z2.0,MU,News-only,,3,0.6667,8.2554,-7.6015,8.284,0.076,5.1491,2.1721,1.09,8.3692,-7.6015,4.0
MU::News_OR_RSI35,MU,Combined-OR,,3,0.6667,8.2554,-7.6015,8.284,0.076,5.1491,2.1721,1.09,8.3692,-7.6015,4.0
QCOM::BB_lower_touch,QCOM,TA-only,,4,0.75,2.8668,-4.0963,4.389,0.041,5.1114,2.0996,1.0705,3.2513,-4.0963,5.0
GLD::MACD_bullish_cross,GLD,TA-only,,4,0.25,3.5526,-0.3876,2.353,0.0082,4.8126,3.0549,2.8695,3.5526,-0.4495,5.0
AMD::News_composite_z2.0,AMD,News-only,,3,0.6667,8.7951,-8.7706,7.981,0.0877,4.599,2.0056,0.91,9.143,-8.7706,4.0
JPM::MACD_bullish_cross,JPM,TA-only,,3,0.6667,2.0278,-2.033,1.981,0.0203,4.5651,1.9949,0.9759,2.0361,-2.033,5.0
META::RSI_oversold_35,META,TA-only,,4,0.5,8.0476,-4.3979,6.665,0.086,3.9358,1.8299,0.775,9.9805,-4.6868,5.0
AMZN::News_expected_z2.0,AMZN,News-only,expected,2,0.5,8.7546,-4.2847,4.095,0.0428,3.8479,2.0432,0.9568,8.7546,-4.2847,5.0
USO::News_OR_RSI35,USO,Combined-OR,,4,0.75,3.8905,-6.1744,5.09,0.0617,3.7726,1.8903,0.825,7.6493,-6.1744,5.0
