strategy,ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason
AMZN::RSI_oversold_30,AMZN,2025-09-29,2025-10-06,222.17,220.9,-0.5716,5,time
AMZN::RSI_oversold_35,AMZN,2025-09-29,2025-10-06,222.17,220.9,-0.5716,5,time
AMZN::News_OR_RSI35,AMZN,2025-09-29,2025-10-06,222.17,220.9,-0.5716,5,time
META::BB_lower_touch,META,2025-10-06,2025-10-13,715.0768,715.1168,0.0056,5,time
AAPL::News_composite_z2.0,AAPL,2025-10-08,2025-10-15,257.5691,248.8657,-3.3791,5,time
AAPL::News_expected_z2.0,AAPL,2025-10-08,2025-10-15,257.5691,248.8657,-3.3791,5,time
AAPL::News_OR_RSI35,AAPL,2025-10-08,2025-10-15,257.5691,248.8657,-3.3791,5,time
MSFT::News_composite_z2.0,MSFT,2025-10-08,2025-10-15,522.6765,511.3038,-2.1759,5,time
MSFT::News_expected_z2.0,MSFT,2025-10-08,2025-10-15,522.6765,511.3038,-2.1759,5,time
MSFT::News_OR_RSI35,MSFT,2025-10-08,2025-10-15,522.6765,511.3038,-2.1759,5,time
NVDA::News_composite_z2.0,NVDA,2025-10-08,2025-10-15,189.0892,179.8103,-4.9072,5,time
NVDA::News_expected_z2.0,NVDA,2025-10-08,2025-10-15,189.0892,179.8103,-4.9072,5,time
NVDA::News_OR_RSI35,NVDA,2025-10-08,2025-10-15,189.0892,179.8103,-4.9072,5,time
GOOGL::News_composite_z2.0,GOOGL,2025-10-08,2025-10-15,244.2881,250.6894,2.6204,5,time
GOOGL::News_expected_z2.0,GOOGL,2025-10-08,2025-10-15,244.2881,250.6894,2.6204,5,time
GOOGL::News_OR_RSI35,GOOGL,2025-10-08,2025-10-15,244.2881,250.6894,2.6204,5,time
META::News_composite_z2.0,META,2025-10-08,2025-10-15,717.2551,716.9653,-0.0404,5,time
META::News_expected_z2.0,META,2025-10-08,2025-10-15,717.2551,716.9653,-0.0404,5,time
META::News_OR_RSI35,META,2025-10-08,2025-10-15,717.2551,716.9653,-0.0404,5,time
AMZN::News_composite_z2.0,AMZN,2025-10-08,2025-10-15,225.22,215.57,-4.2847,5,time
AMZN::News_expected_z2.0,AMZN,2025-10-08,2025-10-15,225.22,215.57,-4.2847,5,time
AMZN::News_OR_RSI35,AMZN,2025-10-08,2025-10-15,225.22,215.57,-4.2847,5,time
TSLA::News_composite_z2.0,TSLA,2025-10-08,2025-10-15,438.69,435.15,-0.8069,5,time
TSLA::News_expected_z2.0,TSLA,2025-10-08,2025-10-15,438.69,435.15,-0.8069,5,time
TSLA::News_OR_RSI35,TSLA,2025-10-08,2025-10-15,438.69,435.15,-0.8069,5,time
AMD::News_composite_z2.0,AMD,2025-10-08,2025-10-10,235.56,214.9,-8.7706,2,stop_loss
AMD::News_expected_z2.0,AMD,2025-10-08,2025-10-10,235.56,214.9,-8.7706,2,stop_loss
AMD::News_OR_RSI35,AMD,2025-10-08,2025-10-10,235.56,214.9,-8.7706,2,stop_loss
INTC::News_composite_z2.0,INTC,2025-10-08,2025-10-15,37.43,37.15,-0.7481,5,time
INTC::News_expected_z2.0,INTC,2025-10-08,2025-10-15,37.43,37.15,-0.7481,5,time
INTC::News_OR_RSI35,INTC,2025-10-08,2025-10-15,37.43,37.15,-0.7481,5,time
AVGO::News_composite_z2.0,AVGO,2025-10-08,2025-10-15,344.8402,350.659,1.6874,5,time
AVGO::News_expected_z2.0,AVGO,2025-10-08,2025-10-15,344.8402,350.659,1.6874,5,time
AVGO::News_OR_RSI35,AVGO,2025-10-08,2025-10-15,344.8402,350.659,1.6874,5,time
QCOM::News_composite_z2.0,QCOM,2025-10-08,2025-10-10,165.8523,151.8344,-8.452,2,stop_loss
QCOM::News_expected_z2.0,QCOM,2025-10-08,2025-10-10,165.8523,151.8344,-8.452,2,stop_loss
QCOM::News_OR_RSI35,QCOM,2025-10-08,2025-10-10,165.8523,151.8344,-8.452,2,stop_loss
ASML::News_composite_z2.0,ASML,2025-10-08,2025-10-15,984.7617,1006.6938,2.2271,5,time
ASML::News_expected_z2.0,ASML,2025-10-08,2025-10-15,984.7617,1006.6938,2.2271,5,time
