ticker,n_obs,corr_same_day,corr_lead1_next_return,corr_lag1_prev_return,avg_count
TSLA,4,0.8977011848515655,0.9986251303134462,0.8415589006647409,4.142857142857143
META,3,0.2133795663068495,0.9364661167108222,-1.0,4.428571428571429
COST,11,-0.06385910076007154,0.5602474220552609,-0.10187147970940197,1.8
NFLX,5,0.10597717533345603,0.46473214327807294,-0.24067807665984767,5.285714285714286
AAPL,9,0.025805399056615153,-0.059679646480456774,-0.21816525992941246,2.6363636363636362
AMZN,11,0.4861682878982201,-0.06166655249965551,0.24887651105207892,3.875
GOOGL,12,-0.27879738379096175,-0.16851011627889723,0.2143686376128134,3.75
NVDA,5,-0.7167917308805354,-0.4047313852732415,0.8639300962829883,3.5714285714285716
INTC,4,-0.48556186420991143,-0.9997982774267467,0.15852730531512207,2.2
ASML,1,,,,3.0
BIDU,2,,,,5.0
BKNG,1,,,,1.0
CHTR,1,,,,2.5
CRM,2,,,,1.0
FSLR,1,,,,3.0
HOOD,1,,,,3.0
ILMN,1,,,,6.0
MSFT,2,-0.9999999999999999,,,1.25
MU,1,,,,1.0
NXPI,1,,,,3.0
ORCL,3,0.9598708785637624,,1.0,1.6666666666666667
PEP,1,,,,2.0
QCOM,2,1.0,,1.0,2.4
SBUX,1,,,,2.0
SOFI,2,-1.0,,,1.5
