term,norm_slope,last_count,mean
milei,0.16859504106175802,21.0,0.6470588235294118
argentina,0.15471485013831535,16.0,0.6764705882352942
outage,0.1323636361836218,0.0,0.7352941176470589
comeback,0.1246753244826446,10.0,0.6470588235294118
sanctions,0.11948051929586773,1.0,0.6470588235294118
summit,0.11906493490300674,7.0,0.7352941176470589
mayor,0.11698701282791064,6.0,0.7352941176470589
targets,0.11480519461002595,3.0,0.5882352941176471
test,0.11453308577622286,5.0,0.6176470588235294
inflation,0.1142857141362637,7.0,0.7647058823529411
korea,0.11268731253995236,4.0,0.7647058823529411
elections,0.11220779201703893,10.0,0.5882352941176471
filed,0.10989010974640744,0.0,0.7647058823529411
southern,0.10844155832633927,3.0,0.9411764705882353
carolina,0.10741516536187143,0.0,0.9117647058823529
economic,0.10678210671487359,14.0,1.588235294117647
asia,0.10649350638035712,6.0,0.9411764705882353
students,0.10649350631246751,2.0,0.5882352941176471
brian,0.10515002226812237,10.0,0.8529411764705882
marlow,0.10403650394090294,0.0,1.088235294117647
rates,0.10337662320088312,3.0,0.5882352941176471
real,0.1021645020197691,3.0,0.7058823529411765
outside,0.09992360570603513,3.0,1.0
system,0.09747899149915963,8.0,1.0
loan,0.09610389600178572,0.0,0.9411764705882353
reach,0.09610389598719851,6.0,0.8235294117647058
zohran,0.09600769588679743,3.0,0.7941176470588235
alaska,0.09577922067745535,0.0,0.9411764705882353
miss,0.09558441542192206,0.0,0.5882352941176471
tesla,0.09547693674430872,0.0,0.8529411764705882
east,0.09529486901224568,3.0,1.7941176470588236
election,0.09506493498412984,12.0,1.1764705882352942
below,0.09445100339594291,1.0,0.6470588235294118
canadian,0.09445100339594288,1.0,0.6470588235294118
florida,0.09307359294173881,6.0,0.7058823529411765
mamdani,0.092804492719213,3.0,1.088235294117647
putin,0.09226963497738905,0.0,0.6176470588235294
fraud,0.09177489162630383,6.0,0.6176470588235294
working,0.09142857127314283,2.0,0.5882352941176471
likely,0.09100529089069175,0.0,0.7941176470588235
alex,0.08961038951517858,0.0,0.9411764705882353
program,0.08930117487087785,3.0,0.6176470588235294
fired,0.08925619825514651,6.0,0.9705882352941176
flights,0.0891108889943595,3.0,0.7647058823529411
mayoral,0.08831168818658008,2.0,0.7058823529411765
us-china,0.0875695732129693,8.0,1.2352941176470589
cutting,0.08727272717381818,0.0,0.8823529411764706
showed,0.08682745815059634,2.0,0.8235294117647058
division,0.08682745815059634,0.0,0.8235294117647058
north,0.08667122343578083,0.0,1.1176470588235294
church,0.08633271476436667,2.0,0.6176470588235294
millions,0.08629148620998876,0.0,1.0588235294117647
china's,0.08614718602514429,0.0,0.7058823529411765
giants,0.08606528598619906,0.0,1.088235294117647
selling,0.08591408580173675,0.0,0.7647058823529411
cryptocurrency,0.08571428556857143,1.0,0.5882352941176471
order,0.08511488504068239,3.0,1.1470588235294117
stand,0.08500590305634863,3.0,0.6470588235294118
visit,0.08484848471111112,1.0,0.6176470588235294
track,0.08472906394007132,11.0,0.8529411764705882
coast,0.08453364803936887,0.0,0.6470588235294118
illegal,0.08406139302238917,6.0,0.6470588235294118
senior,0.08398268386370851,1.0,0.7058823529411765
turned,0.08332467521135375,1.0,0.7352941176470589
coach,0.08319441748055764,10.0,1.9705882352941178
network,0.08311688302268397,2.0,0.8823529411764706
building,0.08311688297558441,2.0,0.5882352941176471
date,0.08292448282005951,0.0,0.7941176470588235
november,0.0828434722430334,0.0,1.1176470588235294
vote,0.08246753237991072,9.0,0.9411764705882353
fourth,0.08237476798902729,3.0,0.8235294117647058
copyright,0.08202323984458754,2.0,1.1176470588235294
food,0.0820037104755632,1.0,0.8235294117647058
missiles,0.08103896090119483,0.0,0.5882352941176471
rights,0.08083845973760877,2.0,1.6764705882352942
kings,0.08075560790353119,0.0,0.6470588235294118
important,0.08071928061372473,1.0,0.7647058823529411
full,0.08039579463812074,4.0,1.8529411764705883
press,0.08027444248709666,3.0,1.5588235294117647
that's,0.079999999864,1.0,0.5882352941176471
indie,0.07999999986399998,2.0,0.5882352941176471
reminds,0.07981109791068657,0.0,0.9705882352941176
holding,0.07972896656762822,1.0,0.6764705882352942
sales,0.07889610381227677,2.0,0.9411764705882353
banks,0.07886658787624057,0.0,0.9705882352941176
face,0.07882552224552083,6.0,1.3529411764705883
airlines,0.07882552218725851,0.0,0.6764705882352942
december,0.07875324664614233,3.0,0.7352941176470589
very,0.07863860268433681,5.0,0.8529411764705882
meet,0.077922077830721,1.0,0.8529411764705882
third,0.07765567758797784,4.0,1.1470588235294117
immigration,0.07750649340108466,1.0,0.7352941176470589
suicide,0.07747035561670387,0.0,0.6764705882352942
ethereum,0.07742733444483316,0.0,0.6176470588235294
reserve,0.07725178039285917,4.0,0.9117647058823529
crash,0.07716186246372828,8.0,1.2058823529411764
party,0.07711038956942472,12.0,1.8823529411764706
reserved,0.07700534751657752,1.0,1.0
member,0.07679887672830486,1.0,1.088235294117647
rate,0.07630591624826294,2.0,1.3235294117647058
defense,0.07619047611851852,0.0,1.0588235294117647
head,0.07610389603920778,1.0,1.1764705882352942
college,0.07608861722704353,6.0,2.0
reportedly,0.07608861718899922,4.0,1.0
ukraine,0.0760330578042374,5.0,1.6176470588235294
diwali,0.07584415574100778,0.0,0.7352941176470589
goes,0.07584415571522078,2.0,0.5882352941176471
johnson,0.07577250326987355,2.0,0.8529411764705882
tensions,0.0754774636624395,1.0,1.5
veteran,0.07544836104049236,4.0,0.6176470588235294
fighting,0.07532467519662336,2.0,0.5882352941176471
several,0.07522077916962908,4.0,1.4705882352941178
music,0.0748917747856782,3.0,0.7058823529411765
associated,0.0748917747856782,1.0,0.7058823529411765
japan's,0.07476002247559473,0.0,0.6764705882352942
mike,0.07459740249595011,2.0,0.7352941176470589
staff,0.07435992571626186,0.0,1.0294117647058822
plan,0.07404535758987194,0.0,1.9705882352941178
getting,0.07402597396305194,2.0,1.1764705882352942
until,0.07402597396305194,1.0,1.1764705882352942
steady,0.07398119113583394,2.0,0.8529411764705882
check,0.07372202260486203,1.0,1.3823529411764706
lottery,0.073593073523569,0.0,1.0588235294117647
someone,0.07359307348881675,0.0,0.7058823529411765
