date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,235.74,236.55,229.23,47227600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47227600.0,,,,,,,
2025-03-06,235.33,237.86,233.16,45170400.0,-0.1739,-0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057200.0,,,233.84,238.45,231.13,,
2025-03-07,239.07,241.37,234.76,46273600.0,1.5893,0.0158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48330800.0,,,235.45,237.74,233.04,,
2025-03-10,227.48,236.16,224.22,72071200.0,-4.848,-0.0497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23740400.0,,,238.4,242.04,235.43,,
2025-03-11,220.84,225.84,217.45,76137400.0,-2.9189,-0.0296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99877800.0,,,229.2867,234.3533,222.4133,,
2025-03-12,216.98,221.75,214.91,62547500.0,-1.7479,-0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-162425300.0,,,221.3767,225.3033,216.9133,,
2025-03-13,209.68,216.84,208.42,61368300.0,-3.3644,-0.0342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-223793600.0,,,217.88,220.85,214.01,,
2025-03-14,213.49,213.95,209.58,60107600.0,1.8171,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-163686000.0,,,211.6467,214.8733,206.4533,,
2025-03-17,214.0,215.22,209.97,48073400.0,0.2389,0.0024,,,,,,223.6233,,,,,,,,,,,,,,,,,,,,,,,,,-115612600.0,,,212.34,215.1,210.73,,
2025-03-18,212.69,215.15,211.49,42432400.0,-0.6121,-0.0061,222.53,,,,,221.4367,,,,,,,,,,,,,,,,,,,,,,,,,-158045000.0,,,213.0633,216.1567,210.9067,,
2025-03-19,215.24,218.76,213.75,54385400.0,1.1989,0.0119,220.48,,,,,220.1973,,,,,,,,,,,,,-8.696,,,,,,,,,,,,-103659600.0,,,213.11,214.73,211.07,,
2025-03-20,214.1,217.49,212.22,48862900.0,-0.5296,-0.0053,218.357,,,,,218.9779,221.22,,,,,,,,,,,,-9.0214,,,,,,,,,,,,-152522500.0,,,215.9167,218.0833,213.0733,,
2025-03-21,218.27,218.84,211.28,94127800.0,1.9477,0.0193,216.277,,,,,218.8363,220.7662,,,,,,,,,,,,-8.7004,,,,,,,,,,,,-58394700.0,,,214.6033,216.9867,211.7167,,
2025-03-24,220.73,221.48,218.58,44299500.0,1.127,0.0112,215.602,,,,,219.215,220.7606,,,,,,,,,,,-62.6404,-2.9673,,,,,,,,,,,,-14095200.0,,,216.13,220.98,213.42,,
2025-03-25,223.75,224.1,220.08,34493600.0,1.3682,0.0136,215.893,,,,,220.122,221.2205,,,,38.5831,,,,,,,-53.475,1.3177,,,,,,6.5,,,,,,20398400.0,,,220.2633,221.9467,219.0467,,
2025-03-26,221.53,225.02,220.47,34466100.0,-0.9922,-0.01,216.348,,,,,220.4036,221.2681,,,,36.9029,,,,,41.224066666666666,,-60.2124,2.097,,,,,,6.3607,,,,,,-14067700.0,,,222.6433,225.2067,221.1867,,
2025-03-27,223.85,224.99,220.56,37094800.0,1.0473,0.0104,217.765,,,,,221.0929,221.6653,,,,39.8508,,,,,47.31210000000001,,-44.3763,6.7579,,,,,,6.2228,,,,,,23027100.0,,,222.34,224.21,219.66,,
2025-03-28,217.9,223.81,217.68,39818600.0,-2.658,-0.0269,218.206,,,,,220.4543,221.086,,,,35.2963,,,,,49.94383333333334,46.160000000000004,-45.5798,2.0657,,,,,,6.219,,,,,,-16791500.0,,,223.1333,225.7067,221.2767,,
2025-03-31,222.13,225.62,216.23,65299300.0,1.9413,0.0192,219.019,,,,,220.7895,221.2467,,,,40.5024,,,,,63.25110000000001,53.502344444444454,-20.2906,3.7991,,,,,,6.4455,,,,,,48507800.0,,,219.7967,221.9133,215.7833,,
2025-04-01,223.19,223.68,218.9,36412700.0,0.4772,0.0048,220.069,221.2995,,,,221.2696,221.5456,,,,41.7669,,,,,73.33390000000001,62.176277777777784,-14.1279,4.9368,,221.2995,236.9717,205.6273,0.5603,6.3266,,233.9527,208.6463,52533505.0,0.6931,84920500.0,,,221.3267,226.4233,217.0333,,
2025-04-02,223.89,225.19,221.02,35905900.0,0.3136,0.0031,220.934,220.707,,,,221.7937,221.9063,221.4229,,,42.6339,,,,,84.932,73.83900000000001,-10.7855,4.0188,-5.0267,220.707,234.9846,206.4294,0.6115,6.1725,31.5478,233.8912,209.2012,51967420.0,0.6909,120826400.0,223.889999,,221.9233,224.9467,220.1667,,
2025-04-03,203.19,207.49,201.25,103419000.0,-9.2456,-0.097,219.843,219.1,,,,218.0729,219.0269,219.7653,,,28.9208,31.8542,,,,61.01573333333334,73.09387777777779,-92.0394,-5.0958,-13.6574,219.1,233.6644,204.5356,-0.0462,7.3488,46.0193,234.4956,205.1004,54879850.0,1.8845,17407400.0,,,223.3667,225.7133,221.5433,rsi_oversold_28.9|bb_lower_touch,
2025-04-04,188.38,199.88,187.34,125910900.0,-7.2887,-0.0757,216.854,216.5655,,,,212.1343,214.312,216.9121,,,23.177,27.1474,,,,33.2973,59.74834444444445,-97.2832,-13.694,-21.203,216.5655,233.753,199.378,-0.3199,7.956,51.0968,232.7178,200.8938,58861715.0,2.1391,-108503500.0,,,203.9767,206.7033,200.4633,rsi_oversold_23.2|bb_lower_touch|volume_spike_2.1x,
2025-04-07,181.46,194.15,174.62,160466300.0,-3.6734,-0.0374,212.927,214.2645,,,,205.9995,209.2578,213.6892,,,21.0712,25.3124,,,,8.029733333333333,34.11425555555556,-86.5882,-17.791,-20.2303,214.2645,236.5554,191.9736,-0.2358,8.7827,50.0689,231.0049,195.8741,63281470.0,2.5358,-268969800.0,,,191.8667,196.3933,183.8533,rsi_oversold_21.1|bb_lower_touch|volume_spike_2.5x,
