date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,101.67,101.84,98.87,27855500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27855500.0,,,,,,,
2025-03-06,98.85,101.08,98.27,28985000.0,-2.7737,-0.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1129500.0,,,100.7933,102.7167,99.7467,,
2025-03-07,100.31,100.65,96.39,33254400.0,1.477,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32124900.0,,,99.4,100.53,97.72,,
2025-03-10,96.63,101.29,95.83,38733200.0,-3.6686,-0.0374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6608300.0,,,99.1167,101.8433,97.5833,,
2025-03-11,96.76,98.16,94.73,34078300.0,0.1345,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27470000.0,,,97.9167,100.0033,94.5433,,
2025-03-12,100.79,101.72,98.17,34241300.0,4.1649,0.0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61711300.0,,,96.55,98.37,94.94,,
2025-03-13,98.11,100.07,97.27,28575200.0,-2.659,-0.0269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33136100.0,,,100.2267,102.2833,98.7333,,
2025-03-14,100.97,101.22,99.58,24715300.0,2.9151,0.0287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57851400.0,,,98.4833,99.6967,96.8967,,
2025-03-17,104.59,106.15,102.6,43689500.0,3.5852,0.0352,,,,,,99.8533,,,,,,,,,,,,,,,,,,,,,,,,,101540900.0,,,100.59,101.6,99.96,,
2025-03-18,103.51,104.55,102.97,27152800.0,-1.0326,-0.0104,100.219,,,,,100.5847,,,,,,,,,,,,,,,,,,,,,,,,,74388100.0,,,104.4467,106.2933,102.7433,,
2025-03-19,106.23,107.9,101.96,32287500.0,2.6278,0.0259,100.675,,,,,101.7137,,,,,,,,,,,,,4.4851,,,,,,,,,,,,106675600.0,,,103.6767,104.3833,102.8033,,
2025-03-20,107.14,108.26,105.12,26871800.0,0.8566,0.0085,101.504,,,,,102.799,101.2967,,,,,,,,,,,,8.3864,,,,,,,,,,,,133547400.0,,,105.3633,108.7667,102.8267,,
2025-03-21,106.44,107.25,104.33,30767900.0,-0.6533,-0.0066,102.117,,,,,103.5272,102.0879,,,,,,,,,,,,6.1111,,,,,,,,,,,,102779500.0,,,106.84,108.56,105.42,,
2025-03-24,113.85,114.85,109.4,53342000.0,6.9617,0.0673,103.839,,,,,105.5918,103.8975,,,,,,,,,,,-4.9702,17.8206,,,,,,,,,,,,156121500.0,,,106.0067,107.6833,104.7633,,
2025-03-25,114.81,114.95,112.71,29077500.0,0.8432,0.0084,105.644,,,,,107.4354,105.5763,,,,68.7393,,,,,,,-0.6924,18.6544,,,,,,4.1136,,,,,,185199000.0,114.809998,,112.7,116.0,110.55,,
2025-03-26,110.19,115.9,108.68,39824000.0,-4.024,-0.0411,106.584,,,,,107.9863,106.2861,,,,60.1968,,,,,89.12176666666666,,-26.9721,9.3263,,,,,,4.3355,,,,,,145375000.0,,,114.1567,115.6033,113.3633,,
2025-03-27,106.65,107.62,105.55,32773700.0,-3.2126,-0.0327,107.438,,,,,107.7191,106.3421,,,,54.5978,,,,,76.21386666666666,,-43.6939,8.7045,,,,,,4.3572,,,,,,112601300.0,,,111.59,114.5,107.28,,
2025-03-28,103.22,106.51,102.48,31069100.0,-3.2161,-0.0327,107.663,,,,,106.8192,105.8618,,,,49.7678,,,,,56.4793,73.9383111111111,-59.8961,2.2284,,,,,,4.3438,,,,,,81532200.0,,,106.6067,107.6633,105.5933,,
2025-03-31,102.74,102.82,98.8,30865300.0,-0.465,-0.0047,107.478,,,,,106.0034,105.3815,,,,49.113,,,,,41.92373333333333,58.20563333333333,-70.6388,-1.7688,,,,,,4.3493,,,,,,50666900.0,,,104.07,105.66,101.63,,
2025-04-01,102.78,102.83,100.93,23523200.0,0.0389,0.0004,107.405,103.812,,,,105.3587,104.9813,,,,49.173,,,,,33.0137,43.80557777777778,-70.424,-0.7052,,103.812,113.712,93.912,0.4479,4.1743,,112.1606,95.4634,32584125.0,0.7219,74190100.0,,,101.4533,104.1067,100.0867,,
2025-04-02,102.96,104.19,100.76,20794000.0,0.1751,0.0017,107.078,103.8765,,,,104.879,104.6703,103.7714,,,49.4618,,,,,27.754900000000003,34.23077777777778,-75.6725,-3.0782,1.2688,103.8765,113.7365,94.0165,0.4535,4.1212,46.35,111.9733,95.4885,32231050.0,0.6452,94984100.0,,,102.18,103.43,101.53,,
2025-04-03,93.8,99.45,93.64,50472500.0,-8.8967,-0.0932,105.744,103.624,,,,102.6632,102.998,102.8649,,,37.7155,43.0366,,,,18.207433333333334,26.325344444444443,-99.2812,-12.451,-5.1087,103.624,114.2174,93.0306,0.0363,4.4925,56.3708,111.7701,93.8001,33305425.0,1.5154,44511600.0,,,102.6367,104.5133,101.0833,,
2025-04-04,85.76,91.08,83.67,65847000.0,-8.5714,-0.0896,103.676,102.8965,,,,99.2825,100.346,101.3099,,,30.8013,37.443,,,,10.510333333333334,18.82422222222222,-93.5153,-19.4288,-14.505,102.8965,116.0011,89.7919,-0.1538,4.8952,63.7935,110.954,91.3732,34935055.0,1.8848,-21335400.0,,,95.63,97.62,91.81,bb_lower_touch,
2025-04-07,83.64,89.0,77.75,70515400.0,-2.472,-0.025,100.655,102.247,,,,96.154,97.7758,99.7036,,,29.2772,36.1424,,,,7.547533333333334,12.088433333333334,-84.5609,-26.5349,-13.443,102.247,117.6207,86.8733,-0.1052,5.3491,63.1828,110.1929,88.7965,36524165.0,1.9307,-91850800.0,,,86.8367,90.0033,82.5933,rsi_oversold_29.3|bb_lower_touch,
2025-04-08,78.21,88.93,76.48,69910200.0,-6.4921,-0.0671,96.995,101.3195,,,,92.5652,94.7657,97.7496,,,25.7611,33.0546,,,,8.7708,8.94288888888889,-95.6114,-31.8788,-19.1711,101.3195,119.8248,82.8142,-0.1244,5.8563,66.5375,109.1802,85.755,38315760.0,1.8246,-161761000.0,,78.209999,83.4633,89.1767,77.9267,rsi_oversold_25.8|bb_lower_touch,
2025-04-09,96.84,97.91,78.87,97827400.0,23.8205,0.2137,95.66,101.122,,,,93.4202,95.0848,97.6669,100.6712,,48.5788,48.8099,-5.5863,,,23.82553333333333,13.38128888888889,-48.3511,-12.1154,-3.919,101.122,119.7297,82.5143,0.3849,6.8451,102.7183,111.098,83.7176,41495065.0,2.3576,-63933600.0,,,81.2067,85.9333,73.4833,volume_spike_2.4x,
2025-04-10,88.7,92.95,85.06,65210600.0,-8.4056,-0.0878,93.865,100.6515,,,,92.4761,94.1025,96.8518,99.7844,,42.4409,44.0534,-5.6819,,,29.01233333333333,20.536222222222218,-69.0005,-16.8308,-9.5913,100.6515,120.0011,81.3019,0.1912,7.1976,106.866,110.9737,82.1833,43326835.0,1.5051,-129144200.0,,,91.2067,103.5433,84.5033,,
2025-04-11,93.4,94.76,90.5,57892600.0,5.2988,0.0516,92.883,100.273,,,,92.6609,93.9945,96.538,99.3115,,46.6336,47.1743,-5.317,,,41.85693333333333,31.56493333333333,-57.0776,-9.5137,-7.4973,100.273,119.8774,80.6686,0.3247,7.1164,108.1275,110.5086,82.043,44985700.0,1.2869,-71251600.0,,,88.9033,92.7467,84.8567,,
2025-04-14,94.5,97.37,93.45,36003000.0,1.1777,0.0117,92.059,99.7685,,,,93.0287,94.0722,96.3527,98.9551,,47.5958,47.8887,-4.8828,,,39.878233333333334,36.91583333333333,-54.2872,-8.0202,-9.6472,99.7685,119.4218,80.1152,0.366,6.8916,107.3182,109.8899,82.3235,44601375.0,0.8072,-35248600.0,,,92.8867,95.2733,91.0133,,
2025-04-15,95.29,96.85,94.62,28116500.0,0.836,0.0083,91.31,99.3575,,,,93.481,94.2596,96.2561,98.6836,,48.3164,48.4148,-4.424,,,49.67993333333334,43.805033333333334,-39.5954,-7.2874,-7.9413,99.3575,119.0244,79.6906,0.3966,6.5672,107.4009,109.1633,82.8945,44649560.0,0.6297,-7132100.0,,,95.1067,96.7633,92.8433,,
2025-04-16,88.29,90.47,85.3,62109000.0,-7.346,-0.0763,89.843,98.4605,,,,92.4428,93.3412,95.5319,97.9137,,42.7115,44.258,-4.5725,,,48.48156666666667,46.013244444444446,-60.6727,-14.2482,-16.8879,98.4605,118.426,78.495,0.2453,6.8117,109.7101,108.9153,81.6685,46140635.0,1.3461,-69241100.0,,,95.5867,96.5533,94.3233,,
2025-04-17,87.5,89.03,86.52,34801400.0,-0.8948,-0.009,89.213,97.4785,,,,91.4542,92.4425,94.8017,97.1423,,42.1177,43.8123,-4.6998,,,46.5003,48.22060000000001,-60.231,-6.7164,-18.3312,97.4785,117.5713,77.3857,0.2517,6.5044,109.5096,107.5586,81.541,46537115.0,0.7478,-104042500.0,,,88.02,90.74,85.57,,
2025-04-21,85.56,86.14,83.75,33855400.0,-2.2171,-0.0224,89.193,96.4345,,,,90.2754,91.3837,93.9616,96.2844,,40.624,42.7033,-4.9007,,,37.288066666666666,44.08997777777778,-67.2321,-0.2332,-19.6167,96.4345,116.7252,76.1438,0.232,6.3077,109.5858,106.309,81.0782,46691490.0,0.7251,-137897900.0,,,87.6833,88.8467,86.3367,,
2025-04-22,86.26,87.17,85.17,35236700.0,0.8181,0.0081,89.455,95.055,,,,89.4723,90.5954,93.2614,95.5418,,41.4311,43.2476,-4.9464,-5.001266666666666,0.0549,35.943666666666665,39.91067777777778,-64.7059,3.1325,-24.2336,95.055,114.1375,75.9725,0.2696,6.0,105.9368,104.9856,80.9856,45786225.0,0.7696,-102661200.0,,,85.15,86.55,84.16,,
