date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,208.36,209.98,203.26,38610100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38610100.0,,,,,,,
2025-03-06,200.7,205.77,198.3,49863800.0,-3.6763,-0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11253700.0,,,207.2,211.14,204.42,,
2025-03-07,199.25,202.27,192.53,59802800.0,-0.7225,-0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71056500.0,,,201.59,204.88,197.41,,
2025-03-10,194.54,196.73,190.85,62350900.0,-2.3639,-0.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-133407400.0,,,198.0167,203.5033,193.7633,,
2025-03-11,196.59,200.18,193.4,54002900.0,1.0538,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79404500.0,,,194.04,197.23,191.35,,
2025-03-12,198.89,201.52,195.29,43679300.0,1.1699,0.0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35725200.0,,,196.7233,200.0467,193.2667,,
2025-03-13,193.89,198.88,191.82,41270800.0,-2.514,-0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76996000.0,,,198.5667,201.8433,195.6133,,
2025-03-14,197.95,198.65,195.32,38096700.0,2.094,0.0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38899300.0,,,194.8633,197.9067,190.8467,,
2025-03-17,195.74,199.0,194.32,47341800.0,-1.1164,-0.0112,,,,,,198.4344,,,,,,,,,,,,,,,,,,,,,,,,,-86241100.0,,,197.3067,199.2933,195.9633,,
2025-03-18,192.82,194.0,189.38,40414900.0,-1.4918,-0.015,197.873,,,,,197.3116,,,,,,,,,,,,,,,,,,,,,,,,,-126656000.0,,,196.3533,198.3867,193.7067,,
2025-03-19,195.54,195.97,191.96,39442900.0,1.4106,0.014,196.591,,,,,196.9572,,,,,,,,,,,,,-6.1528,,,,,,,,,,,,-87213100.0,,,192.0667,194.7533,190.1333,,
2025-03-20,194.95,199.32,192.3,38921100.0,-0.3017,-0.003,196.016,,,,,196.5558,197.435,,,,,,,,,,,,-2.865,,,,,,,,,,,,-126134200.0,,,194.49,197.02,193.01,,
2025-03-21,196.21,196.99,192.52,60056900.0,0.6463,0.0064,195.712,,,,,196.4866,197.2465,,,,,,,,,,,,-1.5257,,,,,,,,,,,,-66077300.0,,,195.5233,198.7467,191.7267,,
2025-03-24,203.26,203.64,199.95,41625400.0,3.5931,0.0353,196.584,,,,,197.8413,198.1717,,,,,,,,,,,-32.6214,4.4824,,,,,,,,,,,,-24451900.0,,,195.24,197.96,193.49,,
2025-03-25,205.71,206.21,203.22,31171200.0,1.2054,0.012,197.496,,,,,199.415,199.3314,,,,47.1462,,,,,,,-2.9709,4.6391,,,,,,6.4286,,,,,,6719300.0,205.710007,,202.2833,204.6167,200.9267,,
2025-03-26,201.13,206.01,199.93,32855300.0,-2.2264,-0.0225,197.72,,,,,199.758,199.6081,,,,42.6188,,,,,78.0745,,-30.1842,1.1263,,,,,,6.4037,,,,,,-26136000.0,,,205.0467,206.8733,203.8833,,
2025-03-27,201.36,203.79,199.28,27317700.0,0.1144,0.0011,198.467,,,,,200.0784,199.8776,,,,42.9153,,,,,79.34243333333333,,-28.8176,3.8527,,,,,,6.2684,,,,,,1181700.0,,,202.3567,204.7833,198.7033,,
2025-03-28,192.72,199.26,191.88,52548200.0,-4.2908,-0.0439,197.944,,,,,198.6067,198.7765,,,,35.4961,,,,,53.61456666666667,70.34383333333334,-80.1545,-2.6421,,,,,,6.4978,,,,,,-51366500.0,,,201.4767,203.6733,199.1633,,
2025-03-31,190.26,191.33,184.4,63547600.0,-1.2765,-0.0128,197.396,,,,,196.9374,197.4662,,,,33.7092,,,,,39.298766666666666,57.418588888888884,-73.1316,-2.7996,,,,,,6.628,,,,,,-114914100.0,,,194.62,197.36,189.98,,
2025-04-01,192.17,193.93,187.2,41267300.0,1.0039,0.01,197.331,197.602,,,,195.9839,196.6514,,,,36.3868,,,,,27.4466,40.11997777777778,-64.3741,-0.3371,,197.602,206.823,188.381,0.2055,6.6353,,210.8726,184.3314,45209380.0,0.9128,-73646800.0,,,188.6633,192.9267,185.9967,,
2025-04-02,196.01,198.34,187.66,53679200.0,1.9982,0.0198,197.378,196.9845,,,,195.9891,196.5528,197.5262,,,41.5026,,,,,38.57556666666667,35.10697777777778,-46.7676,0.2404,-5.9272,196.9845,204.7859,189.1831,0.4375,6.9242,33.0597,211.2988,183.602,45962835.0,1.1679,-19967600.0,,,191.1,195.0,188.27,,
2025-04-03,178.41,184.13,176.92,95553600.0,-8.9791,-0.0941,195.724,195.87,,,,192.4733,193.7616,195.7884,,,29.7095,32.5242,,,,31.315133333333335,32.445766666666664,-94.9129,-8.4842,-11.1061,195.87,206.9214,184.8186,-0.2899,7.7932,44.874,211.2234,180.0506,48247325.0,1.9805,-115521200.0,,,194.0033,200.3467,189.6667,rsi_oversold_29.7|bb_lower_touch,
2025-04-04,171.0,178.14,166.0,123159400.0,-4.1534,-0.0424,193.203,194.4575,,,,188.1786,190.2598,193.5349,,,26.3187,29.8169,,,,23.584733333333332,31.15847777777778,-87.5653,-12.8485,-14.1782,194.4575,209.8059,179.1091,-0.2642,8.1229,46.7146,209.5364,177.0448,51415155.0,2.3954,-238680600.0,,,179.82,182.72,175.51,rsi_oversold_26.3|bb_lower_touch|volume_spike_2.4x,
2025-04-07,175.26,183.41,161.38,109327100.0,2.4912,0.0246,190.403,193.4935,,,,185.5949,187.9521,191.8735,,,31.1815,33.1747,,,,16.161066666666667,23.68697777777778,-69.0386,-13.7755,-9.9106,193.4935,210.9738,176.0132,-0.0215,9.1163,47.6388,209.806,173.3408,53763965.0,2.0335,-129353500.0,,,171.7133,177.4267,165.2867,bb_lower_touch|volume_spike_2.0x,
2025-04-08,170.66,185.9,168.57,87710400.0,-2.6247,-0.0266,186.898,192.197,,,,182.6079,185.2918,189.945,,,28.959,31.4677,,,,21.3655,20.370433333333335,-79.2996,-17.0386,-13.1899,192.197,212.2268,172.1672,-0.0376,9.703,47.8358,208.9877,170.1757,55449340.0,1.5818,-217063900.0,,,173.35,185.32,163.29,rsi_oversold_29.0|bb_lower_touch,
2025-04-09,191.1,192.65,169.93,116804300.0,11.977,0.1131,185.895,191.8075,,,,184.3063,186.1854,190.05,193.6338,,47.0272,44.735,-7.4485,,,39.3189,25.615155555555557,-33.7051,-4.9868,-3.9167,191.8075,211.6032,172.0118,0.4821,10.6328,63.9507,210.9919,168.4607,59105590.0,1.9762,-100259600.0,,,175.0433,181.5167,164.1867,,
2025-04-10,181.22,186.87,175.85,68302000.0,-5.1701,-0.0531,183.881,191.174,,,,183.6891,185.4215,189.2473,192.7143,,41.529,40.7328,-7.2928,,,43.75046666666666,34.81162222222222,-55.7439,-10.002,-6.5346,191.174,211.4672,170.8808,0.2547,10.9626,66.0134,210.8414,166.991,60457150.0,1.1298,-168561600.0,,,184.56,199.19,176.47,,
