date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,739.75,740.55,719.3,1754300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754300.0,,,,,,,
2025-03-06,714.84,731.17,711.0,1427900.0,-3.3674,-0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326400.0,,,733.2,747.1,725.85,,
2025-03-07,732.22,734.0,715.5,1426400.0,2.4313,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752800.0,,,719.0033,727.0067,706.8367,,
2025-03-10,683.11,699.0,676.0,2321500.0,-6.707,-0.0694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-568700.0,,,727.24,738.98,720.48,,
2025-03-11,690.21,702.0,681.26,1616800.0,1.0394,0.0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048100.0,,,686.0367,696.0733,673.0733,,
2025-03-12,703.37,708.3,696.74,1306300.0,1.9067,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354400.0,,,691.1567,701.0533,680.3134,,
2025-03-13,694.59,705.3,688.26,1399500.0,-1.2483,-0.0126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954900.0,,,702.8033,708.8667,697.3067,,
2025-03-14,714.0,720.03,705.36,1367500.0,2.7945,0.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322400.0,,,696.05,703.84,686.8,,
2025-03-17,730.33,734.55,717.21,1423300.0,2.2871,0.0226,,,,,,711.38,,,,,,,,,,,,,,,,,,,,,,,,,3745700.0,,,713.13,720.9,706.23,,
2025-03-18,731.11,734.19,719.99,1007300.0,0.1068,0.0011,713.353,,,,,715.326,,,,,,,,,,,,,,,,,,,,,,,,,4753000.0,,,727.3633,737.5167,720.1767,,
2025-03-19,734.91,746.75,725.06,1080500.0,0.5198,0.0052,712.869,,,,,719.2428,,,,,,,,,,,,,-0.6543,,,,,,,,,,,,5833500.0,,,728.43,736.87,722.67,,
2025-03-20,734.06,735.4,724.23,1282400.0,-0.1157,-0.0012,714.791,,,,,722.2062,716.875,,,,,,,,,,,,2.6887,,,,,,,,,,,,4551100.0,,,735.5733,746.0866,724.3966,,
2025-03-21,716.22,721.36,711.21,1967200.0,-2.4303,-0.0246,713.191,,,,,721.009,716.7742,,,,,,,,,,,,-2.1851,,,,,,,,,,,,2583900.0,,,731.23,738.23,727.06,,
2025-03-24,727.84,731.95,726.34,1104400.0,1.6224,0.0161,717.664,,,,,722.3752,718.4767,,,,,,,,,,,-26.7279,6.548,,,,,,,,,,,,3688300.0,,,716.2633,721.3166,711.1667,,
2025-03-25,726.74,735.0,725.42,1244300.0,-0.1511,-0.0015,721.317,,,,,723.2482,719.7479,,,,46.615,,,,,,,-28.2827,5.2926,,,,,,21.515,,,,,,2444000.0,,,728.71,731.08,725.47,,
2025-03-26,705.76,719.99,702.24,1266500.0,-2.8869,-0.0293,721.556,,,,,719.7505,717.596,,,,41.7109,,,,,62.351,,-57.9364,0.3398,,,,,,21.7282,,,,,,1177500.0,,,729.0533,732.6867,723.1066,,
2025-03-27,690.63,702.48,689.0,1285500.0,-2.1438,-0.0217,721.16,,,,,713.9264,713.4473,,,,38.5604,,,,,44.81980000000001,,-79.3215,-0.5701,,,,,,21.3733,,,,,,-108000.0,,,709.33,716.42,698.67,,
2025-03-28,674.58,687.44,672.05,1393000.0,-2.324,-0.0235,717.218,,,,,706.0571,707.4678,,,,35.4973,,,,,22.043000000000003,43.07126666666667,-96.6131,-5.521,,,,,,21.1738,,,,,,-1501000.0,,,694.0367,699.0733,685.5933,,
2025-03-31,662.63,665.16,652.88,1685000.0,-1.7715,-0.0179,710.448,,,,,697.3717,700.5696,,,,33.3718,,,,,11.484033333333334,26.11561111111111,-89.6133,-9.2698,,,,,,21.2114,,,,,,-3186000.0,,,678.0233,683.9967,668.6067,,
2025-04-01,667.34,670.64,656.35,1212600.0,0.7108,0.0071,704.071,708.712,,,,691.3654,695.4574,,,,35.0232,,,,,9.725966666666666,14.417666666666667,-84.5957,-8.7223,,708.712,756.0158,661.4082,0.0627,20.717,,750.146,667.278,1428610.0,0.8488,-1973400.0,,,660.2233,667.5667,655.2867,,
2025-04-02,669.01,676.39,660.83,1119000.0,0.2502,0.0025,697.481,705.175,,,,686.8943,691.3886,706.8214,,,35.6324,,,,,14.324766666666667,11.844922222222223,-82.8167,-8.9671,-9.5627,705.175,753.2394,657.1106,0.1238,20.3487,38.3867,745.6283,664.2335,1396845.0,0.8011,-854400.0,,,664.7767,673.2034,658.9133,,
2025-04-03,623.22,650.97,622.82,2877100.0,-6.8444,-0.0709,686.397,700.594,,,,674.1594,680.9011,699.2213,,,27.9066,31.1104,,,,10.970099999999997,11.673611111111109,-99.6773,-15.0996,-12.8169,700.594,760.1833,641.0047,-0.1492,22.1945,43.8961,741.5379,652.7599,1469305.0,1.9581,-3731500.0,,,668.7433,676.6567,661.0967,rsi_oversold_27.9|bb_lower_touch,
2025-04-04,605.55,626.38,597.69,4017000.0,-2.8353,-0.0288,675.33,694.2605,,,,660.4375,669.3086,690.7057,,,25.5999,29.3452,,,,7.593,10.962622222222222,-94.727,-15.452,-17.2994,694.2605,764.9504,623.5706,-0.1275,22.6584,42.9599,733.742,643.1084,1598835.0,2.5125,-7748500.0,,,632.3366,641.8533,613.7033,rsi_oversold_25.6|bb_lower_touch|volume_spike_2.5x,
