date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,191.58,194.08,187.1,25644500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25644500.0,,,,,,,
2025-03-06,179.45,186.83,177.61,56864100.0,-6.3316,-0.0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31219600.0,,,190.92,194.74,187.76,,
2025-03-07,194.96,195.48,181.56,74528900.0,8.6431,0.0829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43309300.0,,,181.2967,184.9833,175.7633,,
2025-03-10,184.45,191.98,180.43,44217100.0,-5.3909,-0.0554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-907800.0,,,190.6667,199.7733,185.8533,,
2025-03-11,190.09,195.62,185.35,42153200.0,3.0577,0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41245400.0,,,185.62,190.81,179.26,,
2025-03-12,194.23,199.98,192.45,30409700.0,2.1779,0.0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71655100.0,,,190.3533,195.3567,185.0867,,
2025-03-13,191.36,196.32,189.47,27236100.0,-1.4776,-0.0149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44419000.0,,,195.5533,198.6567,191.1267,,
2025-03-14,195.54,197.5,193.2,25900900.0,2.1844,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70319900.0,,,192.3833,195.2967,188.4467,,
2025-03-17,194.5,196.72,187.5,26830600.0,-0.5319,-0.0053,,,,,,190.6844,,,,,,,,,,,,,,,,,,,,,,,,,43489300.0,,,195.4133,197.6267,193.3267,,
2025-03-18,188.67,192.89,186.9,24951000.0,-2.9974,-0.0304,190.483,,,,,190.2816,,,,,,,,,,,,,,,,,,,,,,,,,18538300.0,,,192.9067,198.3133,189.0933,,
2025-03-19,195.57,198.27,186.9,37962700.0,3.6572,0.0359,190.882,,,,,191.3392,,,,,,,,,,,,,2.0827,,,,,,,,,,,,56501000.0,195.570007,,189.4867,192.0733,186.0833,,
2025-03-20,190.54,193.84,188.94,31430000.0,-2.572,-0.0261,191.991,,,,,191.1794,190.9117,,,,,,,,,,,,6.18,,,,,,,,,,,,25071000.0,,,193.58,200.26,188.89,,
2025-03-21,191.66,192.07,187.37,43086500.0,0.5878,0.0059,191.661,,,,,191.2755,191.0268,,,,,,,,,,,,-1.6927,,,,,,,,,,,,68157500.0,,,191.1067,193.2733,188.3733,,
2025-03-24,191.25,196.69,190.67,33180300.0,-0.2139,-0.0021,192.341,,,,,191.2704,191.0611,,,,,,,,,,,-39.0255,3.6866,,,,,,,,,,,,34977200.0,,,190.3667,193.3633,188.6633,,
2025-03-25,188.26,191.6,187.68,23417300.0,-1.5634,-0.0158,192.158,,,,,190.6683,190.6302,,,,47.8799,,,,,,,-52.3916,-0.9627,,,,,,9.1457,,,,,,11559900.0,,,192.87,195.07,189.05,,
2025-03-26,179.27,188.06,177.58,30578500.0,-4.7753,-0.0489,190.662,,,,,188.3887,188.8825,,,,42.6112,,,,,38.7092,,-92.4553,-7.7022,,,,,,9.2553,,,,,,-19018600.0,,,189.18,190.68,186.76,,
2025-03-27,171.99,178.38,170.46,32151700.0,-4.0609,-0.0415,188.725,,,,,185.1089,186.2836,,,,38.8801,,,,,20.112,,-94.8171,-10.1223,,,,,,9.2235,,,,,,-51170300.0,,,181.6367,185.6933,175.2133,,
2025-03-28,169.12,173.3,166.47,30391500.0,-1.6687,-0.0168,186.083,,,,,181.9111,183.6431,,,,37.4866,,,,,6.878566666666667,21.899922222222227,-92.0919,-13.5113,,,,,,9.0525,,,,,,-81561800.0,,,173.61,176.76,168.84,,
2025-03-31,167.43,167.94,160.62,35656400.0,-0.9993,-0.01,183.376,,,,,179.0149,181.1487,,,,36.6535,,,,,10.130933333333333,12.373833333333332,-82.6982,-13.9177,,,,,,9.0131,,,,,,-117218200.0,,,169.63,172.79,165.96,,
2025-04-01,168.52,168.71,163.42,20472400.0,0.651,0.0065,181.361,185.922,,,,176.9159,179.2059,,,,37.6164,,,,,15.397566666666668,10.802355555555556,-79.0172,-10.68,,185.922,204.8639,166.98,0.0406,8.7471,,203.4162,168.4278,34853170.0,0.5874,-96745800.0,,,165.33,170.04,162.72,,
2025-04-02,172.09,173.43,165.5,19523700.0,2.1184,0.021,179.013,184.9475,,,,175.9507,178.1111,185.2633,,,40.7912,,,,,22.916466666666665,16.148322222222223,-69.5352,-12.0059,-10.1733,184.9475,204.6163,165.2787,0.1731,8.6888,56.296,201.9823,167.2271,34547130.0,0.5651,-77222100.0,,,166.8833,170.3467,165.0567,,
2025-04-03,154.01,163.43,153.7,44354900.0,-10.5061,-0.111,175.36,183.6755,,,,171.5626,174.4033,182.4221,,,31.929,34.586,,,,17.381033333333335,18.565022222222222,-99.3045,-19.1718,-14.1767,183.6755,207.4614,159.8896,-0.1236,9.3817,64.4771,200.4543,162.9275,33921670.0,1.3076,-121577000.0,,,170.34,175.18,167.25,bb_lower_touch,
2025-04-04,146.29,152.8,139.17,72302200.0,-5.0127,-0.0514,170.823,181.242,,,,166.5081,170.0781,179.1374,,,29.029,32.4291,,,,14.402566666666667,18.233355555555555,-87.9526,-23.6721,-24.9641,181.242,209.4581,153.0259,-0.1194,9.7716,56.6092,197.8626,158.7762,33810335.0,2.1385,-193879200.0,,146.289993,157.0467,160.3933,150.6633,rsi_oversold_29.0|bb_lower_touch|volume_spike_2.1x,
2025-04-07,154.14,160.43,138.1,68503500.0,5.3661,0.0523,167.112,179.7265,,,,164.0345,167.6261,176.8649,,,35.4493,36.6475,,,,13.133566666666667,14.972388888888888,-73.3422,-19.4039,-16.4326,179.7265,210.252,149.201,0.0809,10.6686,59.1014,197.3538,154.6794,35024655.0,1.9559,-125375700.0,,,146.0867,153.0033,139.3733,,
2025-04-08,156.03,169.78,153.09,58888200.0,1.2262,0.0122,163.889,178.0235,,,,162.4336,165.8421,174.9708,,,36.9287,37.6318,,,,23.10256666666667,16.879566666666665,-69.3975,-17.1199,-17.9178,178.0235,209.8202,146.2268,0.1542,11.0987,57.8578,196.3105,151.9157,35861405.0,1.6421,-66487500.0,,,150.89,163.68,141.35,,
2025-04-09,185.15,187.33,157.51,72708300.0,18.6631,0.1711,164.477,177.5695,,,,166.9769,168.8125,175.8962,180.2365,,54.3054,50.1595,-11.424,,,45.8547,27.363611111111112,-19.6962,3.28,-4.6749,177.5695,208.6795,146.4595,0.6218,12.5417,86.0984,200.2476,150.0808,37976335.0,1.9146,6220800.0,,,159.6333,166.1767,149.4867,,
2025-04-10,172.3,176.95,166.4,51212200.0,-6.9403,-0.0719,164.508,176.6165,,,,168.0415,169.3491,175.5693,179.6486,,48.0185,45.8886,-10.2996,,,56.425999999999995,41.79442222222222,-41.6283,0.1802,-9.9603,176.6165,207.1406,146.0924,0.4293,12.9851,89.5095,200.8616,148.9212,39175140.0,1.3073,-44991400.0,,,176.6633,195.8167,165.9967,,
2025-04-11,181.94,182.66,173.31,33964100.0,5.5949,0.0544,165.79,175.9365,,,,170.8212,171.2861,176.1484,179.8184,,52.4645,49.2897,-8.5322,,,73.5398,58.60683333333333,-18.0561,7.5804,-6.9551,175.9365,205.329,146.544,0.6021,12.7976,91.5513,201.1579,149.9675,39578300.0,0.8581,-11027300.0,,,171.8833,177.3667,166.8167,,
