date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,42.29,42.73,41.71,52588900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52588900.0,,,,,,,
2025-03-06,41.46,41.89,40.96,58103500.0,-1.9626,-0.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5514600.0,,,42.2433,42.7767,41.7567,,
2025-03-07,41.4,41.73,40.61,50651400.0,-0.1447,-0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56166000.0,,,41.4367,41.9133,40.9833,,
2025-03-10,39.83,40.62,39.18,77498400.0,-3.7923,-0.0387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-133664400.0,,,41.2467,41.8833,40.7633,,
2025-03-11,39.61,40.66,39.27,50608400.0,-0.5523,-0.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-184272800.0,,,39.8767,40.5733,39.1333,,
2025-03-12,39.91,40.5,39.2,42290700.0,0.7574,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-141982100.0,,,39.8467,40.4233,39.0333,,
2025-03-13,39.67,40.19,39.33,37766100.0,-0.6014,-0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-179748200.0,,,39.87,40.54,39.24,,
2025-03-14,40.89,41.02,40.17,35979900.0,3.0754,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-143768300.0,,,39.73,40.13,39.27,,
2025-03-17,41.44,41.77,40.59,37242800.0,1.3451,0.0134,,,,,,40.7222,,,,,,,,,,,,,,,,,,,,,,,,,-106525500.0,,,40.6933,41.2167,40.3667,,
2025-03-18,41.65,41.83,41.29,37644500.0,0.5068,0.0051,40.815,,,,,40.9078,,,,,,,,,,,,,,,,,,,,,,,,,-68881000.0,,,41.2667,41.9433,40.7633,,
2025-03-19,42.21,42.7,41.3,42471100.0,1.3445,0.0134,40.807,,,,,41.1682,,,,,,,,,,,,,-0.1892,,,,,,,,,,,,-26409900.0,,,41.59,41.89,41.35,,
2025-03-20,42.48,42.72,41.65,41018100.0,0.6397,0.0064,40.909,,,,,41.4306,41.07,,,,,,,,,,,,2.4602,,,,,,,,,,,,14608200.0,,,42.07,42.84,41.44,,
2025-03-21,42.47,42.66,41.89,65011000.0,-0.0235,-0.0002,41.016,,,,,41.6385,41.2854,,,,,,,,,,,,2.5845,,,,,,,,,,,,-50402800.0,,,42.2833,42.9167,41.8467,,
2025-03-24,43.07,43.15,42.75,30646100.0,1.4128,0.014,41.34,,,,,41.9248,41.5599,,,,,,,,,,,-2.0152,8.1346,,,,,,,,,,,,-19756700.0,,,42.34,42.79,42.02,,
2025-03-25,43.28,43.53,43.04,25445300.0,0.4876,0.0049,41.707,,,,,42.1958,41.8246,,,,57.2263,,,,,,,-5.7471,9.2653,,,,,,1.1214,,,,,,5688600.0,43.279999,,42.99,43.23,42.83,,
2025-03-26,42.82,43.72,42.73,30012100.0,-1.0628,-0.0107,41.998,,,,,42.3207,41.9777,,,,53.3668,,,,,90.80463333333334,,-19.8238,7.2914,,,,,,1.112,,,,,,-24323500.0,,,43.2833,43.5267,43.0367,,
2025-03-27,42.56,43.09,42.52,25619200.0,-0.6072,-0.0061,42.287,,,,,42.3685,42.0673,,,,51.2625,,,,,82.95946666666667,,-25.5507,7.2851,,,,,,1.0733,,,,,,-49942700.0,,,43.09,43.45,42.46,,
2025-03-28,41.25,42.62,40.99,34253000.0,-3.078,-0.0313,42.323,,,,,42.1448,41.9416,,,,42.2274,,,,,66.65983333333332,80.14131111111111,-54.646,0.8804,,,,,,1.1131,,,,,,-84195700.0,,,42.7233,42.9267,42.3567,,
2025-03-31,41.73,41.9,40.6,36390000.0,1.1636,0.0116,42.352,,,,,42.0619,41.909,,,,45.9841,,,,,58.59223333333333,69.40384444444445,-44.0266,0.6998,,,,,,1.1264,,,,,,-47805700.0,,,41.62,42.25,40.62,,
2025-04-01,41.49,41.7,40.97,25578500.0,-0.5751,-0.0058,42.336,41.5755,,,,41.9475,41.8445,,,,44.4285,,,,,50.176700000000004,58.476255555555554,-50.7973,-0.3842,,41.5755,43.7745,39.3765,0.4806,1.1003,,43.7761,39.3749,41840950.0,0.6113,-73384200.0,,,41.41,42.22,40.92,,
2025-04-02,41.85,41.97,40.82,28216100.0,0.8677,0.0086,42.3,41.5535,,,,41.928,41.8454,41.5886,,,47.3079,,,,,50.833333333333336,53.20075555555556,-52.6761,-0.8529,-1.0404,41.5535,43.7322,39.3748,0.568,1.1038,25.5961,43.8092,39.394,40622310.0,0.6946,-45168100.0,,,41.3867,41.8033,41.0733,,
2025-04-03,37.22,38.84,37.02,115497900.0,-11.0633,-0.1172,41.774,41.3415,,,,40.9864,41.1338,41.1914,,,27.5419,32.6251,,,,33.170566666666666,44.726866666666666,-97.0149,-12.3823,-10.2267,41.3415,44.2261,38.4569,-0.2144,1.37,48.4749,43.9243,38.4443,43492030.0,2.6556,-160666000.0,,,41.5467,42.2733,41.1233,rsi_oversold_27.5|bb_lower_touch|volume_spike_2.7x,
2025-04-04,34.39,35.79,33.67,107761200.0,-7.6034,-0.0791,40.966,40.991,,,,39.6671,40.0963,40.5731,,,21.601,27.1047,,,,19.157733333333336,34.387211111111114,-92.8358,-19.0252,-16.9324,40.991,45.1735,36.8085,-0.2891,1.5257,55.0266,43.5887,37.4859,46347520.0,2.3251,-268427200.0,,34.389999,37.6933,38.3667,36.5467,rsi_oversold_21.6|bb_lower_touch|volume_spike_2.3x,
2025-04-07,35.58,36.63,33.54,137329100.0,3.4603,0.034,40.217,40.7785,,,,38.8497,39.4015,40.1192,,,28.5775,32.172,,,,10.062866666666666,20.797055555555556,-79.9607,-17.3903,-10.6703,40.7785,45.5638,35.9932,-0.0432,1.6374,55.9194,43.3399,36.7903,49339055.0,2.7834,-131098100.0,,,34.6167,35.5633,33.4433,rsi_oversold_28.6|bb_lower_touch|volume_spike_2.8x,
2025-04-08,35.03,37.33,34.33,79116300.0,-1.5458,-0.0156,39.392,40.5495,,,,38.0858,38.7289,39.6565,,,27.3654,31.1221,,,,13.946666666666667,14.38908888888889,-85.3635,-19.0619,-11.5627,40.5495,45.937,35.162,-0.0122,1.7348,56.0304,43.0552,36.116,50764450.0,1.5585,-210214400.0,,,35.25,36.96,33.87,rsi_oversold_27.4|bb_lower_touch,
2025-04-09,37.15,37.85,33.07,161173500.0,6.052,0.0588,38.825,40.4115,,,,37.8986,38.486,39.4287,40.4896,,38.2391,39.158,-2.0036,,,24.32856666666667,16.1127,-61.6901,-13.2415,-6.9156,40.4115,45.9953,34.8277,0.2079,1.9523,60.4636,43.2582,35.449,56708590.0,2.8421,-49040900.0,,,35.5633,36.7967,33.7967,volume_spike_2.8x,
2025-04-10,35.85,36.4,34.63,90451800.0,-3.4993,-0.0356,38.154,40.2205,,,,37.4889,38.0805,39.1033,40.1459,,34.7988,36.422,-2.0655,,,26.3499,21.541711111111113,-73.8967,-15.766,-9.6294,40.2205,46.1437,34.2973,0.1311,1.9928,61.5254,43.0056,35.0344,59342875.0,1.5242,-139492700.0,,,36.0233,38.9767,34.1967,,
2025-04-11,35.95,36.23,34.81,63671900.0,0.2789,0.0028,37.624,39.9735,,,,37.1811,37.7527,38.8167,39.8351,,35.2812,36.7788,-2.0824,,,30.485166666666668,27.054544444444446,-72.9577,-12.8485,-12.0812,39.9735,46.1701,33.7769,0.1753,1.9519,60.1894,42.6314,34.8238,60727475.0,1.0485,-75820800.0,,,35.6267,36.6233,34.8533,,
2025-04-14,36.67,36.99,36.27,46830600.0,2.0028,0.0198,37.118,39.735,,,,37.0789,37.5861,38.6215,39.6007,,38.7921,39.3518,-2.0145,,,28.982799999999997,28.605955555555557,-66.1972,-12.1256,-11.5106,39.735,46.0535,33.4165,0.2575,1.8868,60.5145,42.3052,34.758,61206865.0,0.7651,-28990200.0,,,35.6633,36.5167,35.0967,,
2025-04-15,37.99,38.75,37.8,84677800.0,3.5997,0.0354,36.768,39.552,,,,37.2611,37.6483,38.5641,39.4814,,44.7137,43.758,-1.8331,,,36.64896666666667,32.03897777777778,-50.8982,-8.4358,-8.7875,39.552,45.85,33.254,0.376,1.9006,62.1897,42.2812,34.6788,63558530.0,1.3323,55687600.0,,,36.6433,37.0167,36.2967,,
2025-04-16,37.33,38.16,36.97,52872700.0,-1.7373,-0.0175,36.316,39.308,,,,37.2749,37.5993,38.4519,39.322,,42.4997,42.1503,-1.7227,,,42.504,36.04525555555555,-55.3926,-10.8005,-11.5612,39.308,45.5531,33.0629,0.3416,1.8498,61.9729,42.0701,34.6709,64078610.0,0.8251,2814900.0,,,38.18,38.56,37.61,,
2025-04-17,37.41,37.87,37.24,47144400.0,0.2143,0.0021,36.335,39.0545,,,,37.3019,37.5702,38.3572,39.1804,,42.869,42.4195,-1.6102,,,47.49106666666666,42.21467777777777,-51.236,0.5105,-11.935,39.0545,45.1743,32.9347,0.3656,1.7627,61.8776,41.8044,34.7536,64384925.0,0.7322,49959300.0,,,37.4867,38.0033,36.8133,,
2025-04-21,36.92,37.28,36.49,34928300.0,-1.3098,-0.0132,36.588,38.777,,,,37.2255,37.4702,38.2265,39.0129,,41.1269,41.1867,-1.5428,,,45.54326666666666,45.17944444444444,-56.7416,7.3568,-13.0681,38.777,44.7538,32.8002,0.3446,1.7025,61.8785,41.5546,34.7446,62880790.0,0.5555,15031000.0,,,37.5067,37.7733,37.1433,,
2025-04-22,38.32,38.49,37.4,42288900.0,3.792,0.0372,36.862,38.5395,,,,37.4444,37.6009,38.235,38.9616,,47.6702,45.9034,-1.3607,-1.8039444444444446,0.4432,50.337066666666665,47.79046666666667,-41.0112,7.7009,-11.0286,38.5395,44.1833,32.8957,0.4806,1.693,63.4513,41.5518,34.7798,63462930.0,0.6664,57319900.0,,,36.8967,37.3033,36.5133,,
2025-04-23,38.75,40.13,38.67,54428400.0,1.1221,0.0112,37.234,38.313,,,,37.7055,37.7777,38.2819,38.9459,,49.5258,47.2672,-1.1683,-1.6768155555555557,0.5085,60.900133333333336,52.26015555555555,-19.5468,10.6195,-10.4667,38.313,43.5247,33.1013,0.5419,1.7014,63.6313,41.6243,34.8187,64912085.0,0.8385,111748300.0,,,38.07,38.74,37.65,,
2025-04-24,39.58,39.7,38.6,42457100.0,2.1419,0.0212,37.477,38.151,,,,38.0804,38.055,38.3999,38.9929,,52.9908,49.8308,-0.9379,-1.5290324444444447,0.5911,77.2172,62.81813333333334,-7.7904,6.541,-7.5666,38.151,42.9796,33.3224,0.648,1.6584,64.2914,41.6677,35.0341,65534335.0,0.6479,154205400.0,,,39.1833,39.6967,38.2367,,
2025-04-25,39.69,39.79,39.32,32694200.0,0.2779,0.0028,37.861,38.0075,,,,38.4023,38.3065,38.5172,39.0445,,53.447,50.1679,-0.738,-1.3708259555555558,0.6328,88.81016666666666,75.6425,-6.2323,10.7113,-6.7434,38.0075,42.4593,33.5557,0.689,1.5735,64.3289,41.6254,35.3314,65888085.0,0.4962,186899600.0,,,39.2933,39.9867,38.8867,,
2025-04-28,39.78,40.08,39.46,37428000.0,0.2268,0.0023,38.244,37.934,,,,38.6779,38.5332,38.632,39.099,,53.8416,50.4539,-0.5658,-1.2098207644444445,0.644,93.67326666666668,86.56687777777779,-4.9575,10.6537,-3.5636,37.934,42.2145,33.6535,0.7156,1.5054,63.5047,41.6132,35.5916,66046835.0,0.5667,224327600.0,,,39.6,39.88,39.41,,
2025-04-29,39.99,40.14,39.48,33792500.0,0.5279,0.0053,38.576,37.847,,,,38.9403,38.7573,38.7554,39.165,,54.8043,51.1409,-0.4077,-1.0493966115555557,0.6417,95.56286666666666,92.68209999999999,-2.1216,9.0537,-4.1697,37.847,41.8788,33.8152,0.7658,1.445,63.3678,41.6245,35.8445,65916960.0,0.5127,258120100.0,,,39.7733,40.0867,39.4667,,
2025-04-30,39.88,40.0,38.82,40994600.0,-0.2751,-0.0028,38.765,37.7665,,,,39.1282,38.93,38.8577,39.218,,54.167,50.7539,-0.2879,-0.8970972892444447,0.6092,96.0674,95.10117777777778,-4.7187,4.975,-3.8805,37.7665,41.5615,33.9715,0.7785,1.4261,63.3538,41.6958,35.9914,66687765.0,0.6147,217125500.0,,,39.87,40.26,39.6,,
2025-05-01,40.17,40.44,39.58,33569100.0,0.7272,0.0072,39.049,37.6825,,,,39.3366,39.1208,38.977,39.2885,,55.6318,51.7645,-0.1677,-0.7512178313955558,0.5835,96.1213,95.9171888888889,-4.7958,7.6078,-4.0143,37.6825,41.1745,34.1905,0.8562,1.3857,63.3248,41.7413,36.1985,66955415.0,0.5014,250694600.0,,,39.5667,40.3133,39.1333,,
2025-05-02,41.07,41.23,40.7,41613000.0,2.2405,0.0222,39.415,37.875,,,,39.6833,39.4207,39.1672,39.4205,,59.9137,54.788,0.0002,-0.6009342651164447,0.6011,95.75323333333334,95.98064444444445,-3.2258,9.7835,10.3439,37.875,41.6563,34.0937,0.9225,1.3624,46.8914,41.8947,36.4451,63261170.0,0.6578,292307600.0,,,40.0633,40.5467,39.6867,,
2025-05-05,41.12,41.49,40.62,32829200.0,0.1217,0.0012,39.835,38.2115,,,,39.9706,39.6821,39.3448,39.5464,,60.1438,54.9527,0.1358,-0.45358741209315573,0.5894,94.85943333333334,95.5779888888889,-7.4001,11.376,19.5696,38.2115,41.8888,34.5342,0.8955,1.3272,34.9567,42.0101,36.7013,59514570.0,0.5516,325136800.0,,,41.0,41.3,40.77,,
2025-05-06,40.84,41.27,40.56,29541800.0,-0.6809,-0.0068,40.087,38.4745,,,,40.1445,39.8603,39.4807,39.6422,,58.1312,53.8002,0.2181,-0.3192499296745246,0.5373,92.1247,94.2457888888889,-13.0,6.5762,14.7836,38.4745,42.1135,34.8355,0.825,1.2832,34.0654,42.0634,36.9306,54125205.0,0.5458,295595000.0,,,41.0767,41.5333,40.6633,,
2025-05-07,40.93,41.34,40.86,30925900.0,0.2204,0.0022,40.305,38.7695,,,,40.3016,40.0248,39.6124,39.7376,,58.6107,54.125,0.2873,-0.19793994373961965,0.4852,89.46663333333333,92.15025555555557,-11.2,5.6258,16.8427,38.7695,42.194,35.345,0.8154,1.2272,33.0801,42.0879,37.1791,51715685.0,0.598,326520900.0,,,40.89,41.22,40.51,,
