date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,968.14,969.66,947.85,837800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837800.0,,,,,,,
2025-03-06,959.64,969.01,948.73,698000.0,-0.878,-0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139800.0,,,961.8833,975.9167,954.1067,,
2025-03-07,946.92,953.03,918.99,1180800.0,-1.3255,-0.0133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1041000.0,,,959.1267,969.5234,949.2433,,
2025-03-10,915.26,931.78,901.53,1069500.0,-3.3435,-0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2110500.0,,,939.6467,960.3033,926.2633,,
2025-03-11,910.37,922.97,904.95,963100.0,-0.5343,-0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3073600.0,,,916.19,930.85,900.6,,
2025-03-12,910.06,923.53,903.54,630200.0,-0.0341,-0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3703800.0,,,912.7633,920.5766,902.5567,,
2025-03-13,900.46,913.5,898.26,656600.0,-1.0549,-0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4360400.0,,,912.3767,921.2134,901.2233,,
2025-03-14,928.7,929.1,907.92,623600.0,3.1362,0.0309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3736800.0,,,904.0733,909.8867,894.6467,,
2025-03-17,958.0,960.94,933.37,922300.0,3.1549,0.0311,,,,,,933.0611,,,,,,,,,,,,,,,,,,,,,,,,,-2814500.0,,,921.9067,935.8933,914.7133,,
2025-03-18,958.62,964.57,956.01,1086200.0,0.0647,0.0006,935.617,,,,,938.1729,,,,,,,,,,,,,,,,,,,,,,,,,-1728300.0,,,950.77,968.17,940.6,,
2025-03-19,957.23,966.0,951.0,1086700.0,-0.145,-0.0015,934.526,,,,,941.9843,,,,,,,,,,,,,-1.1269,,,,,,,,,,,,-2815000.0,,,959.7333,963.4567,954.8967,,
2025-03-20,954.17,961.63,949.52,667900.0,-0.3197,-0.0032,933.979,,,,,944.4214,938.9642,,,,,,,,,,,,-0.57,,,,,,,,,,,,-3482900.0,,,958.0767,965.1533,950.1533,,
2025-03-21,951.73,956.34,938.17,5211600.0,-0.2557,-0.0026,934.46,,,,,945.8832,940.9281,,,,,,,,,,,,0.508,,,,,,,,,,,,-8694500.0,,,955.1067,960.6933,948.5833,,
