date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,150.81,151.37,147.74,9288300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9288300.0,,,,,,,
2025-03-06,152.95,153.33,149.47,7314700.0,1.419,0.0141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16603000.0,,,149.9733,152.2067,148.5767,,
2025-03-07,156.34,157.45,153.71,8562600.0,2.2164,0.0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25165600.0,,,151.9167,154.3633,150.5033,,
2025-03-10,157.57,160.37,156.17,11750300.0,0.7868,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36915900.0,,,155.8333,157.9567,154.2167,,
2025-03-11,154.08,158.84,153.79,10466300.0,-2.2149,-0.0224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26449600.0,,,158.0367,159.9033,155.7033,,
2025-03-12,152.67,154.79,152.22,9710200.0,-0.9151,-0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16739400.0,,,155.57,157.35,152.3,,
2025-03-13,153.61,154.43,151.92,9022800.0,0.6157,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25762200.0,,,153.2267,154.2333,151.6633,,
2025-03-14,157.02,157.24,153.01,6671500.0,2.2199,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32433700.0,,,153.32,154.72,152.21,,
2025-03-17,158.72,159.45,156.76,7615200.0,1.0827,0.0108,,,,,,154.8633,,,,,,,,,,,,,,,,,,,,,,,,,40048900.0,,,155.7567,158.5033,154.2733,,
2025-03-18,160.81,161.09,158.82,9289500.0,1.3168,0.0131,155.458,,,,,156.0527,,,,,,,,,,,,,,,,,,,,,,,,,49338400.0,,,158.31,159.86,157.17,,
2025-03-19,164.05,164.54,160.9,11503900.0,2.0148,0.0199,156.782,,,,,157.6521,,,,,,,,,,,,,8.7793,,,,,,,,,,,,60842300.0,,,160.24,161.66,159.39,,
2025-03-20,164.77,165.31,162.41,9545900.0,0.4389,0.0044,157.964,,,,,159.0757,156.95,,,,,,,,,,,,7.728,,,,,,,,,,,,70388200.0,,,163.1633,165.4267,161.7867,,
2025-03-21,164.75,164.89,163.11,21625500.0,-0.0121,-0.0001,158.805,,,,,160.2106,158.15,,,,,,,,,,,,5.3793,,,,,,,,,,,,48762700.0,,,164.1633,165.9167,163.0167,,
2025-03-24,165.02,166.43,164.32,8068000.0,0.1639,0.0016,159.55,,,,,161.1725,159.2069,,,,,,,,,,,-7.5441,4.7281,,,,,,,,,,,,56830700.0,,,164.25,165.39,163.61,,
2025-03-25,165.94,167.82,165.11,7869200.0,0.5575,0.0056,160.736,,,,,162.126,160.2428,,,,80.2963,,,,,,,-10.2453,7.6973,,,,,,3.2357,,,,,,64699900.0,,,165.2567,166.1933,164.0833,rsi_overbought_80.3,
2025-03-26,167.97,168.96,167.25,10076100.0,1.2233,0.0122,162.266,,,,,163.2948,161.4316,,,,81.8825,,,,,92.13356666666668,,-5.8099,10.0216,,,,,,3.2203,,,,,,74776000.0,,,166.29,167.47,164.76,rsi_overbought_81.9,
2025-03-27,166.65,168.22,165.85,6862700.0,-0.7859,-0.0079,163.57,,,,,163.9658,162.2344,,,,77.5128,,,,,90.12946666666666,,-13.5564,8.489,,,,,,3.1596,,,,,,67913300.0,,,168.06,168.87,167.16,rsi_overbought_77.5,
