date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,430.47,431.6,424.45,3018300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3018300.0,,,,,,,
2025-03-06,425.9,430.12,424.04,2824100.0,-1.0616,-0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194200.0,,,428.84,433.23,426.08,,
2025-03-07,428.26,429.32,421.98,3719500.0,0.5541,0.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3913700.0,,,426.6867,429.3333,423.2533,,
2025-03-10,419.49,426.05,416.62,3442800.0,-2.0478,-0.0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470900.0,,,426.52,431.06,423.72,,
2025-03-11,414.74,419.03,412.25,3893400.0,-1.1323,-0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3422500.0,,,420.72,424.82,415.39,,
2025-03-12,413.95,417.57,410.56,2960500.0,-0.1905,-0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6383000.0,,,415.34,418.43,411.65,,
2025-03-13,408.78,414.19,407.25,2557200.0,-1.2489,-0.0126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8940200.0,,,414.0267,417.4933,410.4833,,
2025-03-14,415.36,415.91,409.91,2422700.0,1.6097,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6517500.0,,,410.0733,412.8967,405.9567,,
2025-03-17,419.21,420.78,414.84,2141000.0,0.9269,0.0092,,,,,,419.5733,,,,,,,,,,,,,,,,,,,,,,,,,-4376500.0,,,413.7267,417.5433,411.5433,,
2025-03-18,416.53,418.67,414.88,1844100.0,-0.6393,-0.0064,419.269,,,,,418.9647,,,,,,,,,,,,,,,,,,,,,,,,,-6220600.0,,,418.2767,421.7133,415.7733,,
2025-03-19,420.42,422.49,416.8,1813800.0,0.9339,0.0093,418.264,,,,,419.2557,,,,,,,,,,,,,-2.3347,,,,,,,,,,,,-4406800.0,,,416.6933,418.5067,414.7167,,
