date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,269.62,270.26,267.96,6990400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6990400.0,,,,,,,
2025-03-06,268.25,269.51,268.16,6136400.0,-0.5081,-0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854000.0,,,269.28,270.6,268.3,,
2025-03-07,268.39,270.34,267.64,10431200.0,0.0522,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285200.0,,,268.64,269.12,267.77,,
2025-03-10,266.04,268.44,265.64,7593900.0,-0.8756,-0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3691300.0,,,268.79,269.94,267.24,,
2025-03-11,269.16,269.73,268.44,8436600.0,1.1728,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12127900.0,,,266.7067,267.7733,264.9733,,
2025-03-12,270.33,271.23,268.36,7236200.0,0.4347,0.0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19364100.0,,,269.11,269.78,268.49,,
2025-03-13,275.13,275.35,271.55,13741500.0,1.7756,0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33105600.0,,,269.9733,271.5867,268.7166,,
2025-03-14,275.24,276.3,274.66,13365000.0,0.04,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46470600.0,,,274.01,276.47,272.67,,
2025-03-17,276.73,276.79,275.39,8583400.0,0.5414,0.0054,,,,,,270.9878,,,,,,,,,,,,,,,,,,,,,,,,,55054000.0,,,275.4,276.14,274.5,,
2025-03-18,279.96,280.21,278.97,9596500.0,1.1672,0.0116,271.885,,,,,272.7822,,,,,,,,,,,,,,,,,,,,,,,,,64650500.0,,,276.3033,277.2167,275.8167,,
2025-03-19,281.11,281.48,279.06,8822200.0,0.4108,0.0041,273.034,,,,,274.4478,,,,,,,,,,,,,4.2615,,,,,,,,,,,,73472700.0,,,279.7133,280.4567,279.2167,,
2025-03-20,280.75,280.9,279.43,5863300.0,-0.1281,-0.0013,274.284,,,,,275.7082,273.3925,,,,,,,,,,,,4.6598,,,,,,,,,,,,67609400.0,,,280.55,282.04,279.62,,
2025-03-21,278.49,279.46,276.59,9359300.0,-0.805,-0.0081,275.294,,,,,276.2646,274.1767,,,,,,,,,,,,3.7632,,,,,,,,,,,,58250100.0,,,280.36,281.29,279.82,,
2025-03-24,277.25,279.09,276.86,7870100.0,-0.4453,-0.0045,276.415,,,,,276.4617,274.6495,,,,,,,,,,,-26.7046,4.2136,,,,,,,,,,,,50380000.0,,,278.18,279.77,276.9,,
2025-03-25,278.47,279.96,278.27,5090200.0,0.44,0.0044,277.346,,,,,276.8633,275.2373,,,,68.4299,,,,,,,-19.0026,3.4589,,,,,,2.7436,,,,,,55470200.0,,,277.7333,278.6067,276.3767,,
2025-03-26,278.24,279.02,277.78,3717500.0,-0.0826,-0.0008,278.137,,,,,277.1387,275.6993,,,,67.7311,,,,,77.94603333333333,,-20.4547,2.9261,,,,,,2.6362,,,,,,51752700.0,,,278.9,279.53,277.84,,
2025-03-27,281.97,282.07,279.59,8476300.0,1.3406,0.0133,278.821,,,,,278.1049,276.664,,,,72.6148,,,,,86.64466666666665,,-0.6087,2.4861,,,,,,2.7214,,,,,,60229000.0,,,278.3467,278.9133,277.6733,rsi_overbought_72.6,
