date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,173.02,173.78,169.06,30954900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30954900.0,,,,,,,
2025-03-06,172.35,174.81,170.5,28302000.0,-0.3872,-0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2652900.0,,,171.9533,174.8467,170.1267,,
2025-03-07,173.86,174.97,170.27,27385800.0,0.8761,0.0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30038700.0,,,172.5533,174.6067,170.2967,,
2025-03-10,165.87,168.46,163.69,43604000.0,-4.5957,-0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13565300.0,,,173.0333,175.7967,171.0967,,
2025-03-11,164.04,166.75,161.37,39587400.0,-1.1033,-0.0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53152700.0,,,166.0067,168.3233,163.5533,,
2025-03-12,167.11,167.64,163.53,28372400.0,1.8715,0.0185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24780300.0,,,164.0533,166.7367,161.3567,,
2025-03-13,162.76,166.13,162.11,31756200.0,-2.6031,-0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56536500.0,,,166.0933,168.6567,164.5467,,
2025-03-14,165.49,166.49,162.45,31995900.0,1.6773,0.0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24540600.0,,,163.6667,165.2233,161.2033,,
2025-03-17,164.29,166.3,163.67,31184300.0,-0.7251,-0.0073,,,,,,167.6433,,,,,,,,,,,,,,,,,,,,,,,,,-55724900.0,,,164.81,167.17,163.13,,
2025-03-18,160.67,164.25,156.72,42074800.0,-2.2034,-0.0223,166.946,,,,,166.2487,,,,,,,,,,,,,,,,,,,,,,,,,-97799700.0,,,164.7533,165.8367,163.2067,,
2025-03-19,163.89,165.87,161.0,34275600.0,2.0041,0.0198,166.033,,,,,165.7769,,,,,,,,,,,,,-5.2768,,,,,,,,,,,,-63524100.0,,,160.5467,164.3733,156.8433,,
