date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,593.07,597.12,576.78,2600600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600600.0,,,,,,,
2025-03-06,567.67,586.71,564.62,4332300.0,-4.2828,-0.0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1731700.0,,,588.99,601.2,580.86,,
2025-03-07,559.67,568.17,544.91,4069600.0,-1.4093,-0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5801300.0,,,573.0,581.38,559.29,,
2025-03-10,531.66,546.47,523.13,5272100.0,-5.0047,-0.0513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11073400.0,,,557.5833,570.2567,546.9966,,
2025-03-11,531.43,539.99,524.2,4190500.0,-0.0433,-0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15263900.0,,,533.7533,544.3766,521.0367,,
2025-03-12,535.71,545.0,528.59,3078100.0,0.8054,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12185800.0,,,531.8733,539.5467,523.7567,,
2025-03-13,524.81,538.14,520.06,2529100.0,-2.0347,-0.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14714900.0,,,536.4333,544.2767,527.8667,,
2025-03-14,541.41,543.57,526.7,2808100.0,3.163,0.0311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11906800.0,,,527.67,535.28,517.2,,
2025-03-17,551.34,557.16,540.0,2695600.0,1.8341,0.0182,,,,,,548.53,,,,,,,,,,,,,,,,,,,,,,,,,-9211200.0,,,537.2267,547.7533,530.8833,,
2025-03-18,551.78,553.75,546.65,2641000.0,0.0798,0.0008,548.855,,,,,549.18,,,,,,,,,,,,,,,,,,,,,,,,,-6570200.0,,,549.5,559.0,541.84,,
