date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,79.62,79.68,79.44,32302200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32302200.0,,,,,,,
2025-03-06,79.32,79.5,79.28,50431500.0,-0.3768,-0.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18129300.0,,,79.58,79.72,79.48,,
2025-03-07,79.45,79.51,79.33,52828900.0,0.1639,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34699600.0,,,79.3667,79.4533,79.2333,,
2025-03-10,79.15,79.38,79.14,57602100.0,-0.3776,-0.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22902500.0,,,79.43,79.53,79.35,,
2025-03-11,78.87,79.26,78.8,75826700.0,-0.3538,-0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98729200.0,,,79.2233,79.3067,79.0667,,
2025-03-12,78.96,79.11,78.88,53763000.0,0.1141,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44966200.0,,,78.9767,79.1533,78.6933,,
2025-03-13,78.52,78.87,78.49,81223200.0,-0.5572,-0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-126189400.0,,,78.9833,79.0867,78.8567,,
2025-03-14,78.88,78.97,78.71,51469800.0,0.4585,0.0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74719600.0,,,78.6267,78.7633,78.3833,,
2025-03-17,79.07,79.1,78.87,33954200.0,0.2409,0.0024,,,,,,79.0933,,,,,,,,,,,,,,,,,,,,,,,,,-40765400.0,,,78.8533,78.9967,78.7367,,
2025-03-18,78.93,79.07,78.93,40195900.0,-0.1771,-0.0018,79.077,,,,,79.0607,,,,,,,,,,,,,,,,,,,,,,,,,-80961300.0,,,79.0133,79.1567,78.9267,,
2025-03-19,79.45,79.54,78.96,45212700.0,0.6588,0.0066,79.06,,,,,79.1385,,,,,,,,,,,,,-0.2135,,,,,,,,,,,,-35748600.0,,,78.9767,79.0233,78.8833,,
2025-03-20,79.34,79.5,79.26,42977600.0,-0.1385,-0.0014,79.062,,,,,79.1788,79.13,,,,,,,,,,,,0.0252,,,,,,,,,,,,-78726200.0,,,79.3167,79.6733,79.0933,,
2025-03-21,79.22,79.31,79.07,35124000.0,-0.1512,-0.0015,79.039,,,,,79.1871,79.1438,,,,,,,,,,,,-0.2895,,,,,,,,,,,,-113850200.0,,,79.3667,79.4733,79.2333,,
2025-03-24,79.45,79.5,79.35,36393500.0,0.2903,0.0029,79.069,,,,,79.2396,79.1909,,,,,,,,,,,-19.328,0.379,,,,,,,,,,,,-77456700.0,79.449997,,79.2,79.33,79.09,,
2025-03-25,79.41,79.58,79.38,29075500.0,-0.0503,-0.0005,79.123,,,,,79.2737,79.2246,,,,46.7692,,,,,,,-15.5961,0.6847,,,,,,0.3164,,,,,,-106532200.0,,,79.4333,79.5167,79.3667,,
2025-03-26,79.09,79.42,78.97,51236100.0,-0.403,-0.004,79.136,,,,,79.237,79.2039,,,,42.2853,,,,,73.3738,,-44.9545,0.1646,,,,,,0.326,,,,,,-157768300.0,,,79.4567,79.5333,79.3333,,
2025-03-27,78.94,79.14,78.93,38493100.0,-0.1896,-0.0019,79.178,,,,,79.1776,79.1633,,,,40.3334,,,,,60.24466666666666,,-58.7154,0.5349,,,,,,0.3177,,,,,,-196261400.0,,,79.16,79.35,78.9,,
2025-03-28,78.8,79.0,78.66,58896900.0,-0.1773,-0.0018,79.17,,,,,79.1021,79.1074,,,,38.545,,,,,41.59026666666666,58.40291111111111,-71.5593,-0.1014,,,,,,0.3193,,,,,,-255158300.0,,,79.0033,79.0767,78.8667,,
2025-03-31,78.89,78.92,78.52,47853500.0,0.1142,0.0011,79.152,,,,,79.0597,79.074,,,,40.3753,,,,,35.47416666666667,45.76969999999999,-63.3028,-0.2276,,,,,,0.325,,,,,,-207304800.0,,,78.82,78.98,78.64,,
2025-04-01,78.69,78.72,78.43,54256000.0,-0.2535,-0.0025,79.128,79.1025,,,,78.9857,79.0149,,,,37.689,,,,,29.248900000000003,35.437777777777775,-77.3912,-0.3041,,79.1025,79.6807,78.5243,0.1433,0.3347,,79.7719,78.4331,48455820.0,1.1197,-261560800.0,,,78.7767,79.0333,78.6333,,
