date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,20.81,21.36,20.18,127219300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127219300.0,,,,,,,
2025-03-06,20.75,21.13,20.0,96466400.0,-0.2883,-0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30752900.0,,,20.7833,21.3867,20.2067,,
2025-03-07,20.64,21.2,20.11,81099600.0,-0.5301,-0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50346700.0,,,20.6267,21.2533,20.1233,,
2025-03-10,19.93,20.51,19.65,82760600.0,-3.4399,-0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-133107300.0,,,20.65,21.19,20.1,,
2025-03-11,19.78,20.06,19.29,80789000.0,-0.7526,-0.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-213896300.0,,,20.03,20.41,19.55,,
2025-03-12,20.68,21.17,20.21,128671100.0,4.55,0.0445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85225200.0,,,19.71,20.13,19.36,,
2025-03-13,23.7,24.53,23.13,243261000.0,14.6035,0.1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158035800.0,,,20.6867,21.1633,20.2033,,
2025-03-14,24.05,24.37,23.52,116901600.0,1.4768,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274937400.0,,,23.7867,24.4433,23.0433,,
2025-03-17,25.69,26.15,24.37,160723600.0,6.8191,0.066,,,,,,21.7811,,,,,,,,,,,,,,,,,,,,,,,,,435661000.0,,,23.98,24.44,23.59,,
2025-03-18,25.92,26.41,25.39,132488800.0,0.8953,0.0089,22.195,,,,,22.6089,,,,,,,,,,,,,,,,,,,,,,,,,568149800.0,,,25.4033,26.4367,24.6567,,
2025-03-19,24.12,25.23,24.03,135491400.0,-6.9444,-0.072,22.526,,,,,22.9111,,,,,,,,,,,,,15.9058,,,,,,,,,,,,432658400.0,,,25.9067,26.4233,25.4033,,
2025-03-20,23.96,24.31,23.73,68937600.0,-0.6634,-0.0067,22.847,,,,,23.1209,22.5025,,,,,,,,,,,,15.4699,,,,,,,,,,,,363720800.0,,,24.46,24.89,23.69,,
2025-03-21,24.26,24.7,23.49,94110700.0,1.2521,0.0124,23.209,,,,,23.3487,22.7729,,,,,,,,,,,,17.5388,,,,,,,,,,,,457831500.0,,,24.0,24.27,23.69,,
2025-03-24,24.22,24.99,24.13,69169000.0,-0.1649,-0.0017,23.638,,,,,23.523,22.9955,,,,,,,,,,,-30.7584,21.5253,,,,,,,,,,,,388662500.0,,,24.15,24.81,23.6,,
2025-03-25,24.2,24.75,24.11,51743300.0,-0.0826,-0.0008,24.08,,,,,23.6584,23.1808,,,,67.8609,,,,,,,-31.0393,22.3458,,,,,,1.3121,,,,,,336919200.0,,,24.4467,24.7633,23.9033,,
2025-03-26,23.42,24.42,23.25,59496700.0,-3.2231,-0.0328,24.354,,,,,23.6107,23.2176,,,,62.3427,,,,,65.40263333333333,,-41.9944,13.2495,,,,,,1.302,,,,,,277422500.0,,,24.3533,24.5967,23.9567,,
2025-03-27,23.62,23.76,22.86,57720600.0,0.854,0.0085,24.346,,,,,23.6126,23.2795,,,,63.1697,,,,,62.59363333333334,,-39.1854,-0.3376,,,,,,1.2733,,,,,,335143100.0,,,23.6967,24.1433,22.9733,,
2025-03-28,22.71,23.58,22.56,58365300.0,-3.8527,-0.0393,24.212,,,,,23.432,23.1919,,,,57.0324,,,,,55.61796666666667,61.20474444444444,-51.9663,-5.5717,,,,,,1.258,,,,,,276777800.0,,,23.4133,23.9667,23.0667,,
2025-03-31,22.71,22.75,21.75,65832000.0,0.0,0.0,23.914,,,,,23.2876,23.1178,,,,57.0324,,,,,49.72363333333333,55.978411111111114,-59.6774,-11.5999,,,,,,1.2396,,,,,,276777800.0,,,22.95,23.34,22.32,,
2025-04-01,22.05,22.62,21.66,64060400.0,-2.9062,-0.0295,23.527,22.861,,,,23.0401,22.9535,,,,52.7238,,,,,32.18893333333333,45.843511111111106,-91.7895,-14.9306,,22.861,26.4913,19.2307,0.3883,1.2261,,25.3132,20.4088,98765400.0,0.6486,212717400.0,,,22.4033,23.0567,22.0567,,
2025-04-02,21.98,22.38,21.7,58878800.0,-0.3175,-0.0032,23.313,22.9195,,,,22.8281,22.8037,22.819,,,52.2727,,,,,18.4233,33.44528888888889,-93.2632,-8.8723,5.6223,22.9195,26.4521,19.3869,0.367,1.1871,68.4506,25.1513,20.4029,95348375.0,0.6175,153838600.0,,,22.11,22.56,21.6,,
2025-04-03,22.43,23.9,20.86,242972100.0,2.0473,0.0203,23.16,23.0035,,,,22.7485,22.7462,22.7837,,,54.9415,56.449,,,,14.411866666666667,21.6747,-71.7117,-6.3856,8.0964,23.0035,26.4032,19.6038,0.4157,1.3194,68.6913,25.3828,20.1052,102673660.0,2.3665,396810700.0,,,22.02,22.34,21.66,volume_spike_2.4x,
2025-04-04,19.85,22.2,19.7,175014700.0,-11.5025,-0.1222,22.719,22.964,,,,22.1688,22.3007,22.517,,,40.8412,46.434,,,,12.420200000000001,15.085122222222223,-97.7645,-18.1781,-3.8275,22.964,26.4887,19.4393,0.0583,1.4202,82.0077,25.3088,19.628,107369415.0,1.63,221796000.0,,,22.3967,23.9333,20.8933,,
2025-04-07,19.57,20.67,18.56,142491200.0,-1.4106,-0.0142,22.254,22.946,,,,21.649,21.8806,22.2491,,,39.6518,45.5138,,,,15.222066666666668,14.018044444444447,-84.8576,-19.199,-1.8063,22.946,26.5355,19.3565,0.0297,1.4694,81.2244,25.1312,19.2536,110355945.0,1.2912,79304800.0,,,20.5833,21.4667,18.9667,,
2025-04-08,18.13,20.39,17.67,163982700.0,-7.3582,-0.0764,21.647,22.8635,,,,20.9452,21.3035,21.8746,,,34.1446,41.1141,,,,7.887333333333333,11.843200000000001,-93.7159,-25.0827,-8.3418,22.8635,26.7994,18.9276,-0.1013,1.5588,85.5365,24.9231,18.6879,114515630.0,1.432,-84677900.0,,18.129999,19.6,20.64,18.53,bb_lower_touch,
