date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,208.47,208.84,204.82,35778500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35778500.0,,,,,,,
2025-03-06,205.28,208.12,203.9,39206300.0,-1.5302,-0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3427800.0,,,207.3767,209.9333,205.9133,,
2025-03-07,205.95,207.11,201.73,43514000.0,0.3264,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40086200.0,,,205.7667,207.6333,203.4133,,
2025-03-10,200.77,204.74,198.75,39442800.0,-2.5152,-0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643400.0,,,204.93,208.13,202.75,,
2025-03-11,200.75,203.22,198.53,51509700.0,-0.01,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50866300.0,,,201.42,204.09,198.1,,
2025-03-12,201.1,203.75,199.55,36881700.0,0.1743,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13984600.0,,,200.8333,203.1367,198.4467,,
2025-03-13,198.1,202.03,197.0,31336900.0,-1.4918,-0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45321500.0,,,201.4667,203.3833,199.1833,,
2025-03-14,202.89,203.07,199.34,34089400.0,2.418,0.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11232100.0,,,199.0433,201.0867,196.0567,,
2025-03-17,205.45,206.02,202.6,26947600.0,1.2618,0.0125,,,,,,203.1956,,,,,,,,,,,,,,,,,,,,,,,,,15715500.0,,,201.7667,204.1933,200.4633,,
2025-03-18,203.21,203.92,202.35,22888000.0,-1.0903,-0.011,203.197,,,,,203.1984,,,,,,,,,,,,,,,,,,,,,,,,,-7172500.0,,,204.69,206.78,203.36,,
2025-03-19,206.37,207.68,202.9,31595600.0,1.555,0.0154,202.987,,,,,203.8328,,,,,,,,,,,,,-1.0073,,,,,,,,,,,,24423100.0,,,203.16,203.97,202.4,,
2025-03-20,205.06,207.3,204.2,25665900.0,-0.6348,-0.0064,202.965,,,,,204.0782,203.6167,,,,,,,,,,,,-0.1072,,,,,,,,,,,,-1242800.0,,,205.65,208.4,203.62,,
2025-03-21,203.79,204.42,201.76,39470200.0,-0.6193,-0.0062,202.749,,,,,204.0206,203.6433,,,,,,,,,,,,-1.0488,,,,,,,,,,,,-40713000.0,,,205.52,206.84,203.74,,
