date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,251.53,253.05,247.83,7861400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7861400.0,,,,,,,
2025-03-06,246.54,249.36,243.85,9983200.0,-1.9839,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2121800.0,,,250.8033,253.7767,248.5567,,
2025-03-07,242.28,246.72,239.42,20498700.0,-1.7279,-0.0174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22620500.0,,,246.5833,249.3167,243.8067,,
2025-03-10,232.22,237.51,228.7,18887200.0,-4.1522,-0.0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41507700.0,,,242.8067,246.1933,238.8933,,
2025-03-11,229.14,233.32,226.69,18143000.0,-1.3263,-0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-59650700.0,,,232.81,236.92,228.11,,
2025-03-12,227.9,234.32,227.26,16054000.0,-0.5412,-0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75704700.0,,,229.7167,232.7433,226.1133,,
2025-03-13,225.19,229.5,224.23,16467900.0,-1.1891,-0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92172600.0,,,229.8267,232.3933,225.3333,,
2025-03-14,232.44,233.14,227.58,11962100.0,3.2195,0.0317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80210500.0,,,226.3067,228.3833,223.1133,,
2025-03-17,233.93,235.67,230.46,9586000.0,0.641,0.0064,,,,,,235.6856,,,,,,,,,,,,,,,,,,,,,,,,,-70624500.0,,,231.0533,234.5267,228.9667,,
2025-03-18,234.97,236.17,233.52,10344900.0,0.4446,0.0044,235.614,,,,,235.5424,,,,,,,,,,,,,,,,,,,,,,,,,-60279600.0,,,233.3533,236.2467,231.0367,,
2025-03-19,239.11,242.33,234.89,10120600.0,1.7619,0.0175,234.372,,,,,236.256,,,,,,,,,,,,,-4.9378,,,,,,,,,,,,-50159000.0,,,234.8867,236.2533,233.6033,,
2025-03-20,239.01,241.76,236.2,8328500.0,-0.0418,-0.0004,233.619,,,,,236.8068,236.1883,,,,,,,,,,,,-3.0543,,,,,,,,,,,,-58487500.0,,,238.7767,242.6633,235.2233,,
2025-03-21,241.63,242.3,236.5,19326900.0,1.0962,0.0109,233.554,,,,,237.7714,237.0255,,,,,,,,,,,,-0.2683,,,,,,,,,,,,-39160600.0,,,238.99,241.78,236.22,,
2025-03-24,248.06,248.69,244.41,9422700.0,2.6611,0.0263,235.138,,,,,239.8291,238.7231,,,,,,,,,,,-17.3144,6.8211,,,,,,,,,,,,-29737900.0,,,240.1433,243.7867,237.9867,,
2025-03-25,251.13,251.82,247.62,9287700.0,1.2376,0.0123,237.337,,,,,242.0893,240.6319,,,,49.6189,,,,,,,-2.5009,9.5968,,,,,,6.6707,,,,,,-20450200.0,251.130005,,247.0533,249.6967,245.4167,,
2025-03-26,251.03,254.67,249.78,12779300.0,-0.0398,-0.0004,239.65,,,,,243.8774,242.2316,,,,49.5173,,,,,89.40893333333334,,-11.9579,10.1492,,,,,,6.5435,,,,,,-33229500.0,,,250.19,252.76,248.56,,
2025-03-27,248.12,250.64,247.18,8022500.0,-1.1592,-0.0117,241.943,,,,,244.726,243.1375,,,,46.5311,,,,,88.00783333333334,,-21.5177,10.1825,,,,,,6.3511,,,,,,-41252000.0,,,251.8267,253.8733,248.9833,,
2025-03-28,242.85,249.51,241.11,11978400.0,-2.124,-0.0215,242.984,,,,,244.3508,243.0933,,,,41.6342,,,,,75.89796666666668,84.43824444444444,-38.8305,4.4786,,,,,,6.4975,,,,,,-53230400.0,,,248.6467,250.1133,246.6533,,
2025-03-31,245.3,245.86,237.36,13603000.0,1.0089,0.01,244.121,,,,,244.5406,243.4328,,,,44.5555,,,,,69.62333333333332,77.84304444444444,-30.7818,4.8604,,,,,,6.6405,,,,,,-39627400.0,,,244.49,247.87,239.47,,
2025-04-01,243.66,245.69,240.88,8054700.0,-0.6686,-0.0067,244.99,240.302,,,,244.3645,243.4677,,,,43.0039,,,,,64.7394,70.0869,-36.1695,3.6983,,240.302,256.2586,224.3453,0.6052,6.5098,,253.3216,227.2824,12535635.0,0.6425,-47682100.0,,,242.84,248.32,239.82,,
2025-04-02,245.82,247.25,241.46,7758800.0,0.8865,0.0088,245.661,240.0165,,,,244.6556,243.8296,240.5648,,,45.6867,,,,,66.79326666666667,67.052,-32.6689,2.8062,-2.2701,240.0165,255.3516,224.6814,0.6892,6.4583,28.1596,253.7441,227.9109,12530505.0,0.6192,-39923300.0,,,243.41,245.94,241.13,,
2025-04-03,228.69,235.14,227.3,17188500.0,-6.9685,-0.0722,244.629,239.124,,,,241.4625,241.5004,239.4852,,,32.5867,36.4274,,,,45.4134,58.98202222222222,-94.9214,-4.3178,-7.2402,239.124,254.9077,223.3403,0.1695,7.3199,37.3865,254.3114,225.0318,12890770.0,1.3334,-57111800.0,,,244.8433,248.2267,242.4367,,
2025-04-04,210.28,217.7,208.93,27170700.0,-8.0502,-0.0839,241.494,237.524,,,,235.226,236.6973,236.8302,,,24.467,29.622,,,,25.1204,45.77568888888889,-97.0485,-12.9744,-13.2079,237.524,257.606,217.442,-0.1783,8.2085,46.8624,253.2894,220.4554,13224370.0,2.0546,-84282500.0,,210.279999,230.3767,233.4533,225.6133,rsi_oversold_24.5|bb_lower_touch|volume_spike_2.1x,
2025-04-07,214.44,222.05,202.16,22914400.0,1.9783,0.0196,238.132,236.635,,,,231.0688,233.2731,234.7947,,,28.7851,32.6091,,,,10.472033333333334,27.001944444444444,-76.614,-13.5532,-7.6565,236.635,259.0197,214.2503,0.0042,9.0429,45.8196,252.8218,216.6502,13425730.0,1.7068,-61368100.0,,,212.3033,215.6767,206.9067,rsi_oversold_28.8,
