date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,656.47,659.5,637.66,13770000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13770000.0,,,,,,,
2025-03-06,627.93,650.56,624.11,13446500.0,-4.3475,-0.0444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323500.0,,,651.21,664.76,642.92,,
2025-03-07,625.66,634.79,600.61,21375700.0,-0.3615,-0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21052200.0,,,634.2,644.29,617.84,,
2025-03-10,597.99,610.11,586.87,21999900.0,-4.4225,-0.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43052100.0,,,620.3533,640.0966,605.9166,,
2025-03-11,605.71,614.93,593.33,17401500.0,1.291,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25650600.0,,,598.3233,609.7767,586.5367,,
2025-03-12,619.56,633.33,609.35,15747000.0,2.2866,0.0226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9903600.0,,,604.6567,615.9833,594.3834,,
2025-03-13,590.64,620.5,586.51,16480300.0,-4.6678,-0.0478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26383900.0,,,620.7467,632.1434,608.1633,,
2025-03-14,607.6,608.86,594.78,12364500.0,2.8715,0.0283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14019400.0,,,599.2167,611.9233,577.9334,,
2025-03-17,604.9,613.1,598.0,15473900.0,-0.4444,-0.0045,,,,,,615.1622,,,,,,,,,,,,,,,,,,,,,,,,,-29493300.0,,,603.7467,612.7133,598.6333,,
2025-03-18,582.36,600.25,574.66,20297700.0,-3.7262,-0.038,611.882,,,,,608.6018,,,,,,,,,,,,,,,,,,,,,,,,,-49791000.0,,,605.3333,612.6667,597.5667,,
2025-03-19,584.06,592.32,574.77,20537500.0,0.2919,0.0029,604.641,,,,,603.6934,,,,,,,,,,,,,-11.0302,,,,,,,,,,,,-29253500.0,,,585.7567,596.8533,571.2633,,
