date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,123.75,124.38,121.44,7291900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7291900.0,,,,,,,
2025-03-06,119.37,123.13,118.6,8611500.0,-3.5394,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1319600.0,,,123.19,124.94,122.0,,
2025-03-07,119.29,119.49,115.45,8513500.0,-0.067,-0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9833100.0,,,120.3667,122.1333,117.6033,,
2025-03-10,111.69,116.28,109.22,16765700.0,-6.371,-0.0658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26598800.0,,,118.0767,120.7033,116.6633,,
2025-03-11,112.04,113.51,110.34,13490400.0,0.3134,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13108400.0,,,112.3967,115.5733,108.5133,,
2025-03-12,114.0,115.6,112.55,7925500.0,1.7494,0.0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5182900.0,,,111.9633,113.5867,110.4167,,
2025-03-13,111.68,114.85,111.23,7435500.0,-2.0351,-0.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12618400.0,,,114.05,115.55,112.5,,
2025-03-14,115.34,115.77,112.54,6879400.0,3.2772,0.0322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5739000.0,,,112.5867,113.9433,110.3233,,
2025-03-17,117.96,119.3,114.84,8374900.0,2.2715,0.0225,,,,,,116.1244,,,,,,,,,,,,,,,,,,,,,,,,,2635900.0,,,114.55,116.56,113.33,,
2025-03-18,118.11,119.21,117.28,7234900.0,0.1272,0.0013,116.323,,,,,116.5216,,,,,,,,,,,,,,,,,,,,,,,,,9870800.0,,,117.3667,119.8933,115.4333,,
