date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,401.02,401.67,388.81,23433100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23433100.0,,,,,,,
2025-03-06,396.89,402.15,392.68,23304600.0,-1.0299,-0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128500.0,,,397.1667,405.5233,392.6633,,
2025-03-07,393.31,394.8,385.54,22034100.0,-0.902,-0.0091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21905600.0,,,397.24,401.8,392.33,,
2025-03-10,380.16,386.4,377.22,32840100.0,-3.3434,-0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54745700.0,,,391.2167,396.8933,387.6333,,
2025-03-11,380.45,386.0,376.91,30380200.0,0.0763,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24365500.0,,,381.26,385.3,376.12,,
2025-03-12,383.27,385.22,378.95,24253600.0,0.7412,0.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-111900.0,,,381.12,385.33,376.24,,
2025-03-13,378.77,385.32,377.45,20473000.0,-1.1741,-0.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20584900.0,,,382.48,386.01,379.74,,
2025-03-14,388.56,390.23,379.51,19952800.0,2.5847,0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-632100.0,,,380.5133,383.5767,375.7067,,
2025-03-17,388.7,392.71,385.57,22474300.0,0.036,0.0004,,,,,,387.9033,,,,,,,,,,,,,,,,,,,,,,,,,21842200.0,,,386.1,392.69,381.97,,
2025-03-18,383.52,387.37,381.1,19486900.0,-1.3327,-0.0134,387.465,,,,,387.0267,,,,,,,,,,,,,,,,,,,,,,,,,2355300.0,,,388.9933,392.4167,385.2767,,
2025-03-19,387.82,389.68,384.0,19185500.0,1.1212,0.0111,386.145,,,,,387.1853,,,,,,,,,,,,,-3.2916,,,,,,,,,,,,21540800.0,,,383.9967,386.8933,380.6233,,
2025-03-20,386.84,391.79,383.28,18470500.0,-0.2527,-0.0025,385.14,,,,,387.1163,387.4425,,,,,,,,,,,,-2.5322,,,,,,,,,,,,3070300.0,,,387.1667,390.3333,384.6533,,
2025-03-21,391.26,391.74,382.8,39675900.0,1.1426,0.0114,384.935,,,,,387.945,388.0298,,,,,,,,,,,,-0.5212,,,,,,,,,,,,42746200.0,,,387.3033,391.3267,382.8167,,
2025-03-24,393.08,395.4,389.81,21004500.0,0.4652,0.0046,386.227,,,,,388.972,388.8068,,,,,,,,,,,-35.9351,3.3986,,,,,,,,,,,,63750700.0,,,388.6,394.4,385.46,,
2025-03-25,395.16,396.36,392.64,15775000.0,0.5292,0.0053,387.698,,,,,390.2096,389.7842,,,,44.8758,,,,,,,-27.6941,3.8665,,,,,,8.5186,,,,,,79525700.0,395.160004,,392.7633,395.7167,390.1267,,
2025-03-26,389.97,395.31,388.57,16108400.0,-1.3134,-0.0132,388.368,,,,,390.1617,389.8128,,,,40.8799,,,,,67.83913333333332,,-32.8534,1.7481,,,,,,8.3915,,,,,,63417300.0,,,394.72,396.8,393.08,,
2025-03-27,390.58,392.24,387.4,13766800.0,0.1564,0.0016,389.549,,,,,390.2453,389.9308,,,,41.5388,,,,,69.91176666666667,,-29.7172,3.118,,,,,,8.1378,,,,,,77184100.0,,,391.2833,393.9967,387.2567,,
2025-03-28,378.8,389.13,376.93,21632000.0,-3.016,-0.0306,388.573,,,,,387.9563,388.2184,,,,33.7225,,,,,49.04886666666666,62.26658888888889,-90.2828,-2.5118,,,,,,8.5316,,,,,,55552100.0,,,390.0733,392.7467,387.9067,,
2025-03-31,375.39,377.07,367.24,35184700.0,-0.9002,-0.009,387.242,,,,,385.443,386.2448,,,,31.8539,,,,,35.9959,51.65217777777778,-72.0123,-3.4242,,,,,,8.7479,,,,,,20367400.0,,,381.62,386.31,374.11,,
2025-04-01,382.19,382.85,373.23,19689500.0,1.8114,0.018,387.109,387.287,,,,384.7924,385.621,,,,39.1006,,,,,29.6814,38.24205555555555,-48.6607,-0.3468,,387.287,400.6325,373.9415,0.309,8.8102,,404.9074,369.6666,22956275.0,0.8577,40056900.0,,,373.2333,379.2267,369.3967,,
2025-04-02,382.14,385.08,376.62,16092600.0,-0.0131,-0.0001,386.541,386.343,,,,384.2619,385.0854,387.0419,,,39.0677,,,,,43.49823333333333,36.391844444444445,-48.8323,-1.4646,-4.708,386.343,398.2643,374.4217,0.3237,8.7852,23.2728,404.3672,369.2264,22589250.0,0.7124,23964300.0,,,379.4233,385.6167,375.9967,,
2025-04-03,373.11,377.48,369.35,30198000.0,-2.363,-0.0239,385.168,385.154,,,,382.0315,383.2431,385.7754,,,33.5738,35.1621,,,,40.888333333333335,38.02265555555555,-79.842,-3.5493,-5.9916,385.154,397.3703,372.9377,0.007,9.0712,24.359,403.6357,367.3509,22933920.0,1.3167,-6233700.0,,,381.28,385.94,377.48,,
2025-04-04,359.84,374.59,359.48,49209900.0,-3.5566,-0.0362,382.026,383.4805,,,,377.5932,379.6426,383.4176,,,27.462,30.6251,,,,24.100600000000004,36.16238888888889,-99.0239,-8.0305,-8.5098,383.4805,399.383,367.578,-0.2433,9.5026,27.005,402.0553,364.0449,24292710.0,2.0257,-55443600.0,,,373.3133,377.2767,369.1467,rsi_oversold_27.5|bb_lower_touch|volume_spike_2.0x,
2025-04-07,357.86,371.0,344.79,50425000.0,-0.5502,-0.0055,378.504,382.3655,,,,373.6466,376.2914,381.0942,,,26.6816,30.0182,,,,15.492766666666668,26.827233333333336,-74.6558,-8.96,-5.866,382.3655,401.7818,362.9492,-0.1311,10.696,24.6608,402.0431,359.2591,25171955.0,2.0032,-105868600.0,,,364.6367,369.7933,354.6833,rsi_oversold_26.7|bb_lower_touch|volume_spike_2.0x,
2025-04-08,354.56,373.65,350.25,35868900.0,-0.9221,-0.0093,374.444,381.071,,,,369.8293,372.9481,378.682,,,25.3866,29.0122,,,,15.088466666666667,18.22727777777778,-81.0549,-10.2743,-6.8051,381.071,403.9661,358.1759,-0.079,11.6034,24.7135,401.373,354.9594,25446390.0,1.4096,-141737500.0,,354.559998,357.8833,370.9767,344.7667,rsi_oversold_25.4|bb_lower_touch,
2025-04-09,390.49,393.23,353.1,50199700.0,10.1337,0.0965,374.496,381.432,,,,373.9614,375.6469,379.7554,383.2208,,52.4478,48.6764,-7.5739,,,44.302233333333334,24.961155555555553,-11.3826,0.1333,1.8838,381.432,404.6794,358.1846,0.6948,13.641,43.2422,406.6219,352.0579,26743695.0,1.8771,-91537800.0,,,359.4867,368.7233,345.3233,,
2025-04-10,381.35,383.9,367.8,38024400.0,-2.3406,-0.0237,373.573,381.561,,,,375.4391,376.5243,379.9004,383.0822,,47.7077,45.323,-6.5579,,,59.4855,39.625400000000006,-29.106,-2.3631,0.6812,381.561,404.7765,358.3455,0.4955,14.2874,43.9066,408.1061,350.9565,27621265.0,1.3766,-129562200.0,,,378.94,404.78,364.65,,
