date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,94.34,95.05,90.43,14010300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14010300.0,,,,,,,
2025-03-06,89.27,93.29,89.03,18708100.0,-5.3742,-0.0552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4697800.0,,,93.2733,96.1167,91.4967,,
2025-03-07,92.96,93.34,89.49,19133900.0,4.1335,0.0405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14436100.0,,,90.53,92.03,87.77,,
2025-03-10,87.08,91.37,85.76,21897900.0,-6.3253,-0.0653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7461800.0,,,91.93,94.37,90.52,,
2025-03-11,89.05,91.1,86.07,21962100.0,2.2623,0.0224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500300.0,,,88.07,90.38,84.77,,
2025-03-12,95.64,96.99,92.24,23584700.0,7.4003,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38085000.0,,,88.74,91.41,86.38,,
2025-03-13,94.88,98.12,94.0,18824700.0,-0.7946,-0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19260300.0,,,94.9567,97.6733,92.9233,,
2025-03-14,100.79,102.78,98.75,24623600.0,6.2289,0.0604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43883900.0,,,95.6667,97.3333,93.2133,,
2025-03-17,103.11,104.45,100.96,17095100.0,2.3018,0.0228,,,,,,94.1244,,,,,,,,,,,,,,,,,,,,,,,,,60979000.0,,,100.7733,102.7967,98.7667,,
2025-03-18,101.72,103.31,100.29,18434100.0,-1.3481,-0.0136,94.884,,,,,95.6436,,,,,,,,,,,,,,,,,,,,,,,,,42544900.0,,,102.84,104.72,101.23,,
