date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,117.3,118.28,114.51,284337900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284337900.0,,,,,,,
2025-03-06,110.57,115.35,110.22,321181900.0,-5.7374,-0.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36844000.0,,,116.6967,118.8833,115.1133,,
2025-03-07,112.69,113.48,107.56,341755500.0,1.9173,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304911500.0,,,112.0467,113.8733,108.7433,,
2025-03-10,106.98,111.85,105.46,366487400.0,-5.067,-0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61575900.0,,,111.2433,114.9267,109.0067,,
2025-03-11,108.76,112.24,104.77,354865700.0,1.6639,0.0165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293289800.0,,,108.0967,110.7333,104.3433,,
2025-03-12,115.74,116.76,112.88,323857500.0,6.4178,0.0622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617147300.0,,,108.59,112.41,104.94,,
2025-03-13,115.58,117.76,113.79,299033100.0,-0.1382,-0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318114200.0,,,115.1267,117.3733,113.4933,,
2025-03-14,121.67,121.88,118.15,277593500.0,5.2691,0.0513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595707700.0,,,115.71,117.63,113.66,,
2025-03-17,119.53,122.89,118.03,255501500.0,-1.7589,-0.0177,,,,,,114.3133,,,,,,,,,,,,,,,,,,,,,,,,,340206200.0,,,120.5667,122.9833,119.2533,,
2025-03-18,115.43,119.02,114.54,299686900.0,-3.4301,-0.0349,114.425,,,,,114.5367,,,,,,,,,,,,,,,,,,,,,,,,,40519300.0,,,120.15,122.27,117.41,,
2025-03-19,117.52,120.45,115.68,273426200.0,1.8106,0.0179,114.447,,,,,115.1333,,,,,,,,,,,,,0.1875,,,,,,,,,,,,313945500.0,,,116.33,118.12,113.64,,
2025-03-20,118.53,120.2,116.47,248829700.0,0.8594,0.0086,115.243,,,,,115.8127,115.025,,,,,,,,,,,,7.1991,,,,,,,,,,,,562775200.0,,,117.8833,120.0867,115.3167,,
2025-03-21,117.7,117.99,115.42,266498500.0,-0.7002,-0.007,115.744,,,,,116.1901,115.4365,,,,,,,,,,,,4.4458,,,,,,,,,,,,296276700.0,,,118.4,120.33,116.6,,
2025-03-24,121.41,122.22,119.34,228452500.0,3.1521,0.031,117.187,,,,,117.2341,116.3555,,,,,,,,,,,-8.1677,13.4885,,,,,,,,,,,,524729200.0,,,117.0367,118.6533,116.0833,,
2025-03-25,120.69,121.29,118.92,167447200.0,-0.593,-0.0059,118.38,,,,,117.9253,117.0224,,,,53.8374,,,,,,,-12.1413,10.9691,,,,,,5.335,,,,,,357282000.0,,,120.99,122.64,119.76,,
