date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,216.77,217.56,208.67,2621100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621100.0,,,,,,,
2025-03-06,214.47,219.45,210.67,3465300.0,-1.061,-0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-844200.0,,,214.3333,219.9967,211.1067,,
2025-03-07,222.56,223.8,212.5,4301500.0,3.7721,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457300.0,,,214.8633,219.0567,210.2767,,
2025-03-10,208.84,218.07,206.94,3747700.0,-6.1646,-0.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-290400.0,,,219.62,226.74,215.44,,
2025-03-11,205.8,209.76,199.88,3198200.0,-1.4557,-0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3488600.0,,,211.2833,215.6267,204.4967,,
2025-03-12,204.45,209.98,203.63,2288300.0,-0.656,-0.0066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5776900.0,,,205.1467,210.4133,200.5333,,
2025-03-13,201.02,208.0,200.06,1792700.0,-1.6777,-0.0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7569600.0,,,206.02,208.41,202.06,,
2025-03-14,206.16,206.96,203.48,2771400.0,2.557,0.0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4798200.0,,,203.0267,205.9933,198.0533,,
2025-03-17,209.83,212.12,204.86,2207500.0,1.7802,0.0176,,,,,,209.9889,,,,,,,,,,,,,,,,,,,,,,,,,-2590700.0,,,205.5333,207.5867,204.1067,,
2025-03-18,207.1,208.99,205.27,1862500.0,-1.3011,-0.0131,209.7,,,,,209.4111,,,,,,,,,,,,,,,,,,,,,,,,,-4453200.0,,,208.9367,213.0133,205.7533,,
2025-03-19,207.38,211.36,206.03,1640500.0,0.1352,0.0014,208.761,,,,,209.0049,,,,,,,,,,,,,-4.3318,,,,,,,,,,,,-2812700.0,,,207.12,208.97,205.25,,
2025-03-20,202.64,205.66,201.53,1455400.0,-2.2857,-0.0231,207.578,,,,,207.7319,208.9183,,,,,,,,,,,,-5.5159,,,,,,,,,,,,-4268100.0,,,208.2567,210.4833,205.1533,,
2025-03-21,200.64,201.38,196.95,3352000.0,-0.987,-0.0099,205.386,,,,,206.3135,207.6447,,,,,,,,,,,,-9.849,,,,,,,,,,,,-7620100.0,,,203.2767,205.0233,200.8933,,
2025-03-24,211.12,212.42,205.6,2743000.0,5.2233,0.0509,205.614,,,,,207.2748,208.1794,,,,,,,,,,,-47.2253,1.0917,,,,,,,,,,,,-4877100.0,,,199.6567,202.3633,197.9333,,
2025-03-25,211.33,216.63,210.75,1662300.0,0.0995,0.001,206.167,,,,,208.0859,208.6641,,,,45.5541,,,,,,,-46.4432,2.6871,,,,,,8.0114,,,,,,-3214800.0,211.330002,,209.7133,213.8267,207.0067,,
2025-03-26,205.75,212.61,202.87,3636500.0,-2.6404,-0.0268,206.297,,,,,207.6187,208.2158,,,,41.4799,,,,,46.36873333333333,,-67.2253,0.6359,,,,,,8.1349,,,,,,-6851300.0,,,212.9033,215.0567,209.1767,,
2025-03-27,200.06,203.87,198.72,2877400.0,-2.7655,-0.028,206.201,,,,,206.1069,206.961,,,,37.7702,,,,,33.685633333333335,,-85.2746,-0.4776,,,,,,8.056,,,,,,-9728700.0,,,207.0767,211.2833,201.5433,,
2025-03-28,189.99,199.08,188.85,4260700.0,-5.0335,-0.0516,204.584,,,,,202.8836,204.3501,,,,32.2698,,,,,17.20126666666667,32.41854444444444,-95.8963,-7.8434,,,,,,8.2813,,,,,,-13989400.0,,,200.8833,203.0467,197.8967,,
2025-03-31,190.06,191.11,183.56,4304200.0,0.0368,0.0004,202.607,,,,,200.3188,202.1516,,,,32.3436,,,,,12.828133333333334,21.238344444444447,-80.3447,-9.4219,,,,,,8.229,,,,,,-9685200.0,,,192.64,196.43,186.2,,
2025-04-01,190.0,190.14,184.3,2270400.0,-0.0316,-0.0003,200.897,205.2985,,,,198.2551,200.2822,,,,32.3111,,,,,14.410933333333332,14.813444444444444,-80.5262,-8.2569,,205.2985,222.0415,188.5555,0.0431,8.0584,,221.4153,189.1817,2822930.0,0.8043,-11955600.0,,,188.2433,192.9267,185.3767,,
2025-04-02,193.67,196.59,186.4,2231700.0,1.9316,0.0191,199.526,204.1435,,,,197.3381,199.2649,204.7448,,,36.5109,,,,,23.233533333333337,16.8242,-69.4285,-6.6111,-10.6565,204.1435,220.7482,187.5388,0.1846,8.2106,43.5923,220.6122,187.7698,2803460.0,0.7961,-9723900.0,,,188.1467,191.9933,186.1533,,
2025-04-03,171.88,185.31,171.71,6169100.0,-11.2511,-0.1194,196.45,202.014,,,,192.2465,195.0518,201.7571,,,26.1405,29.2387,,,,16.8079,18.150788888888894,-99.6216,-15.1796,-19.8583,202.014,223.0957,180.9323,-0.2147,9.1927,59.4471,219.4992,182.7284,2938650.0,2.0993,-15893000.0,,,192.22,198.04,187.85,rsi_oversold_26.1|bb_lower_touch|volume_spike_2.1x,
2025-04-04,160.81,167.38,155.87,6449000.0,-6.4405,-0.0666,192.467,198.9265,,,,185.9592,189.7839,198.0346,,,22.6246,26.4003,,,,13.026766666666667,17.689400000000003,-91.8696,-19.8515,-27.7453,198.9265,224.6448,173.2082,-0.241,9.6797,59.7041,216.6347,177.9159,3046025.0,2.1172,-22342000.0,,,176.3,180.89,167.29,rsi_oversold_22.6|bb_lower_touch|volume_spike_2.1x,
2025-04-07,163.29,173.55,152.37,6564400.0,1.5422,0.0153,187.684,196.649,,,,181.4253,185.7079,194.876,,,25.0565,28.0435,,,,8.500766666666665,12.778477777777779,-83.0065,-22.6554,-21.811,196.649,226.2298,167.0682,-0.0639,10.5011,57.9446,215.0408,173.0364,3186860.0,2.0598,-15777600.0,,,161.3533,166.8367,155.3267,rsi_oversold_25.1|bb_lower_touch|volume_spike_2.1x,
2025-04-08,153.5,169.0,148.09,5100400.0,-5.9955,-0.0618,181.901,194.034,,,,175.8403,180.7528,191.1145,,,22.1032,25.6681,,,,11.0057,10.844411111111109,-92.1068,-27.3648,-25.413,194.034,228.7224,159.3456,-0.0843,11.2446,60.559,212.667,167.6886,3281970.0,1.5541,-20878000.0,,153.5,163.07,173.77,152.59,rsi_oversold_22.1|bb_lower_touch,
