date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,158.49,159.15,153.03,6786900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6786900.0,,,,,,,
2025-03-06,156.04,157.88,154.09,7808100.0,-1.5458,-0.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1021200.0,,,156.89,160.75,154.63,,
2025-03-07,161.22,161.82,155.22,8727600.0,3.3197,0.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7706400.0,,,156.0033,157.9167,154.1267,,
2025-03-10,154.98,159.26,152.61,10139900.0,-3.8705,-0.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2433500.0,,,159.42,163.62,157.02,,
2025-03-11,153.1,156.23,150.86,8692900.0,-1.2131,-0.0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11126400.0,,,155.6167,158.6233,151.9733,,
2025-03-12,152.8,155.86,151.92,7117400.0,-0.196,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18243800.0,,,153.3967,155.9333,150.5633,,
2025-03-13,151.94,155.63,150.42,5861700.0,-0.5628,-0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24105500.0,,,153.5267,155.1333,151.1933,,
2025-03-14,156.58,156.95,153.54,5309400.0,3.0538,0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18796100.0,,,152.6633,154.9067,149.6967,,
2025-03-17,157.95,158.72,155.44,5781000.0,0.8749,0.0087,,,,,,155.9,,,,,,,,,,,,,,,,,,,,,,,,,-13015100.0,,,155.69,157.84,154.43,,
2025-03-18,156.29,159.73,155.92,6898400.0,-1.051,-0.0106,155.939,,,,,155.978,,,,,,,,,,,,,,,,,,,,,,,,,-19913500.0,,,157.37,159.3,156.02,,
2025-03-19,158.26,160.51,155.06,5871000.0,1.2605,0.0125,155.916,,,,,156.4344,,,,,,,,,,,,,-0.1451,,,,,,,,,,,,-14042500.0,,,157.3133,158.7067,154.8967,,
2025-03-20,157.95,159.12,156.52,5089300.0,-0.1959,-0.002,156.107,,,,,156.7375,156.3,,,,,,,,,,,,1.224,,,,,,,,,,,,-19131800.0,,,157.9433,160.8267,155.3767,,
2025-03-21,156.82,157.42,153.56,10949300.0,-0.7154,-0.0072,155.667,,,,,156.754,156.38,,,,,,,,,,,,-2.7292,,,,,,,,,,,,-30081100.0,,,157.8633,159.2067,156.6067,,
2025-03-24,160.08,161.0,158.8,6033400.0,2.0788,0.0206,156.177,,,,,157.4192,156.9492,,,,,,,,,,,-15.2632,3.2908,,,,,,,,,,,,-24047700.0,,,155.9333,158.3067,154.4467,,
2025-03-25,160.15,161.47,159.42,3978200.0,0.0437,0.0004,156.882,,,,,157.9654,157.4417,,,,52.65,,,,,,,-14.6492,4.6048,,,,,,4.6357,,,,,,-20069500.0,160.149994,,159.96,161.12,158.92,,
2025-03-26,158.39,160.81,156.85,5960300.0,-1.099,-0.0111,157.441,,,,,158.0503,157.5876,,,,49.6457,,,,,79.99993333333333,,-30.0878,3.6584,,,,,,4.5874,,,,,,-26029800.0,,,160.3467,161.2733,159.2233,,
2025-03-27,157.97,159.25,155.75,6102000.0,-0.2652,-0.0027,158.044,,,,,158.0342,157.6464,,,,48.9281,,,,,74.5296,,-31.6742,3.9687,,,,,,4.5098,,,,,,-32131800.0,,,158.6833,160.5167,156.5567,,
2025-03-28,152.72,157.64,151.56,8918000.0,-3.3234,-0.0338,157.658,,,,,156.9714,156.8885,,,,40.9592,,,,,53.017500000000005,69.18234444444445,-79.1855,-2.4652,,,,,,4.6455,,,,,,-41049800.0,,,157.6567,159.5633,156.0633,,
2025-03-31,153.61,153.85,147.88,8613600.0,0.5828,0.0058,157.224,,,,,156.2991,156.3841,,,,42.664,,,,,43.76786666666666,57.10498888888889,-57.8367,-2.7477,,,,,,4.7401,,,,,,-32436200.0,,,153.9733,156.3867,150.3067,,
2025-04-01,153.05,153.32,150.26,5708900.0,-0.3646,-0.0037,156.9,156.4195,,,,155.6493,155.8712,,,,41.8452,,,,,33.6735,43.486288888888886,-61.9573,-2.0731,,156.4195,161.8701,150.9689,0.1909,4.6408,,165.7011,147.1379,7017365.0,0.8135,-38145100.0,,,151.78,155.68,149.71,,
