date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,502.01,503.63,491.26,46323700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46323700.0,,,,,,,
2025-03-06,488.2,498.58,486.2,57574300.0,-2.7509,-0.0279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11250600.0,,,498.9667,506.6733,494.3033,,
2025-03-07,491.79,493.28,480.53,54714700.0,0.7354,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43464100.0,,,490.9933,495.7867,483.4067,,
2025-03-10,472.73,483.97,468.66,76668000.0,-3.8756,-0.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33203900.0,,,488.5333,496.5367,483.7867,,
2025-03-11,471.6,478.81,467.01,68760800.0,-0.239,-0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-101964700.0,,,475.12,481.58,466.27,,
2025-03-12,476.92,481.06,471.79,46971100.0,1.1281,0.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54993600.0,,,472.4733,477.9367,466.1367,,
2025-03-13,468.34,476.28,466.43,46563300.0,-1.799,-0.0182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-101556900.0,,,476.59,481.39,472.12,,
2025-03-14,479.66,480.56,473.12,43563000.0,2.417,0.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57993900.0,,,470.35,474.27,464.42,,
2025-03-17,482.77,485.84,477.8,41744400.0,0.6484,0.0065,,,,,,481.5578,,,,,,,,,,,,,,,,,,,,,,,,,-16249500.0,,,477.78,482.44,475.0,,
2025-03-18,474.54,479.61,472.41,39072300.0,-1.7047,-0.0172,480.856,,,,,480.1542,,,,,,,,,,,,,,,,,,,,,,,,,-55321800.0,,,482.1367,486.4733,478.4333,,
2025-03-19,480.89,485.33,474.87,40430300.0,1.3381,0.0133,478.744,,,,,480.3014,,,,,,,,,,,,,-4.2071,,,,,,,,,,,,-14891500.0,,,475.52,478.63,471.43,,
2025-03-20,479.26,484.55,476.18,36780500.0,-0.339,-0.0034,477.85,,,,,480.0931,480.7258,,,,,,,,,,,,-1.8312,,,,,,,,,,,,-51672000.0,,,480.3633,485.8567,475.3967,,
2025-03-21,480.84,481.61,472.91,42234900.0,0.3297,0.0033,476.755,,,,,480.2425,480.7434,,,,,,,,,,,,-2.2266,,,,,,,,,,,,-9437100.0,,,479.9967,483.8133,475.4433,,
2025-03-24,490.66,491.51,484.4,34567200.0,2.0423,0.0202,478.548,,,,,482.326,482.269,,,,,,,,,,,-34.8656,3.7929,,,,,,,,,,,,25130100.0,,,478.4533,483.9967,475.2967,,
2025-03-25,493.46,493.62,490.42,26035200.0,0.5707,0.0057,480.734,,,,,484.5528,483.9907,,,,45.5621,,,,,,,-15.9253,4.6353,,,,,,11.1279,,,,,,51165300.0,493.459991,,488.8567,493.3133,486.2033,,
2025-03-26,484.38,493.16,482.82,34627100.0,-1.8401,-0.0186,481.48,,,,,484.5182,484.0506,,,,41.3633,,,,,71.74203333333334,,-33.983,1.5642,,,,,,11.093,,,,,,16538200.0,,,492.5,494.58,491.38,,
2025-03-27,481.62,486.58,480.25,33469800.0,-0.5698,-0.0057,482.808,,,,,483.9386,483.6767,,,,40.1521,,,,,68.6526,,-44.1339,2.8355,,,,,,10.7528,,,,,,-16931600.0,,,486.7867,490.7533,480.4133,,
2025-03-28,468.94,480.52,468.05,46363800.0,-2.6328,-0.0267,481.736,,,,,480.9389,481.4095,,,,35.0709,,,,,43.70483333333333,61.36648888888889,-90.7686,-2.2349,,,,,,10.954,,,,,,-63295400.0,,,482.8167,485.3833,479.0533,,
2025-03-31,468.92,469.86,457.33,53000300.0,-0.0043,-0.0,480.351,,,,,478.5351,479.488,,,,35.0634,,,,,32.3449,48.23411111111111,-68.0628,-2.8689,,,,,,11.0666,,,,,,-116295700.0,,,472.5033,476.9567,464.4867,,
2025-04-01,472.7,473.63,464.42,41156200.0,0.8061,0.008,480.167,480.5115,,,,477.3681,478.4437,,,,37.7848,,,,,27.84063333333333,34.63012222222222,-57.6467,-0.3877,,480.5115,498.45,462.573,0.2823,10.934,,502.3795,458.6435,45531045.0,0.9039,-75139500.0,,,465.37,473.41,460.88,,
