date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,583.06,584.88,573.08,71230500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71230500.0,,,,,,,
2025-03-06,572.71,580.17,570.12,80094900.0,-1.7751,-0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8864400.0,,,580.34,587.6,575.8,,
2025-03-07,575.92,577.39,565.63,81158800.0,0.5605,0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72294400.0,,,574.3333,578.5467,568.4967,,
2025-03-10,560.58,569.54,555.59,99326600.0,-2.6636,-0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27032200.0,,,572.98,580.33,568.57,,
2025-03-11,555.92,564.02,552.02,88102100.0,-0.8313,-0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-115134300.0,,,561.9033,568.2167,554.2667,,
2025-03-12,558.87,563.11,553.69,69588200.0,0.5307,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45546100.0,,,557.32,562.62,550.62,,
2025-03-13,551.42,559.11,549.68,74079400.0,-1.333,-0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-119625500.0,,,558.5567,563.4233,554.0033,,
2025-03-14,562.81,563.83,551.49,62660300.0,2.0656,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56965200.0,,,553.4033,557.1266,547.6967,,
2025-03-17,567.15,569.71,562.35,49008700.0,0.7711,0.0077,,,,,,565.3822,,,,,,,,,,,,,,,,,,,,,,,,,-7956500.0,,,559.3767,567.2633,554.9233,,
2025-03-18,561.02,565.02,559.06,66041400.0,-1.0808,-0.0109,564.946,,,,,564.5098,,,,,,,,,,,,,,,,,,,,,,,,,-73997900.0,,,566.4033,570.4567,563.0967,,
2025-03-19,567.13,570.95,561.63,66556000.0,1.0891,0.0108,563.353,,,,,565.0338,,,,,,,,,,,,,-2.7321,,,,,,,,,,,,-7441900.0,,,561.7,564.34,558.38,,
2025-03-20,565.49,570.57,562.6,62958200.0,-0.2892,-0.0029,562.631,,,,,565.1251,565.1733,,,,,,,,,,,,-1.2607,,,,,,,,,,,,-70400100.0,,,566.57,571.51,562.19,,
2025-03-21,563.98,564.89,558.03,83763000.0,-0.267,-0.0027,561.437,,,,,564.896,564.9897,,,,,,,,,,,,-2.0732,,,,,,,,,,,,-154163100.0,,,566.22,569.84,561.87,,
2025-03-24,574.08,575.15,570.2,58766800.0,1.7909,0.0178,562.787,,,,,566.7328,566.3882,,,,,,,,,,,-30.6818,2.4082,,,,,,,,,,,,-95396300.0,,,562.3,566.57,559.71,,
