date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,90.7,91.8,90.61,50215900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50215900.0,,,,,,,
2025-03-06,90.4,90.8,89.73,42827500.0,-0.3308,-0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7388400.0,,,91.0367,91.4633,90.2733,,
2025-03-07,90.11,91.16,89.99,36903600.0,-0.3208,-0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29515200.0,,,90.31,90.89,89.82,,
2025-03-10,91.05,91.63,90.91,41440800.0,1.0432,0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11925600.0,,,90.42,90.85,89.68,,
2025-03-11,90.4,91.49,90.14,40555700.0,-0.7139,-0.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28630100.0,,,91.1967,91.4833,90.7633,,
2025-03-12,89.86,90.38,89.78,32734600.0,-0.5973,-0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61364700.0,,,90.6767,91.2133,89.8633,,
2025-03-13,90.65,90.71,89.38,38675400.0,0.8791,0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22689300.0,,,90.0067,90.2333,89.6333,,
2025-03-14,90.17,90.41,89.86,24658000.0,-0.5295,-0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47347300.0,,,90.2467,91.1133,89.7833,,
2025-03-17,90.62,91.18,90.38,26700300.0,0.4991,0.005,,,,,,90.44,,,,,,,,,,,,,,,,,,,,,,,,,-20647000.0,,,90.1467,90.4333,89.8833,,
2025-03-18,90.71,91.02,90.12,23654700.0,0.0993,0.001,90.467,,,,,90.494,,,,,,,,,,,,,,,,,,,,,,,,,3007700.0,,,90.7267,91.0733,90.2733,,
2025-03-19,91.18,91.22,90.38,31378700.0,0.5181,0.0052,90.515,,,,,90.6312,,,,,,,,,,,,,0.5292,,,,,,,,,,,,34386400.0,,,90.6167,91.1133,90.2133,,
2025-03-20,91.24,92.24,91.16,35645800.0,0.0658,0.0007,90.599,,,,,90.753,90.5908,,,,,,,,,,,,0.9292,,,,,,,,,,,,70032200.0,,,90.9267,91.4733,90.6333,,
2025-03-21,90.7,91.44,90.62,29192100.0,-0.5918,-0.0059,90.658,,,,,90.7424,90.6076,,,,,,,,,,,,0.6548,,,,,,,,,,,,40840100.0,,,91.5467,91.9333,90.8533,,
