date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,279.1,279.55,267.71,94042900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94042900.0,,,,,,,
2025-03-06,263.45,272.65,260.02,98451600.0,-5.6073,-0.0577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4408700.0,,,275.4533,283.1967,271.3567,,
2025-03-07,262.67,266.25,250.73,102369600.0,-0.2961,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-106778300.0,,,265.3733,270.7267,258.0967,,
2025-03-10,222.15,253.37,220.0,189076900.0,-15.4262,-0.1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-295855200.0,,,259.8833,269.0367,253.5167,,
2025-03-11,230.58,237.06,217.02,174896400.0,3.7947,0.0372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-120958800.0,,,231.84,243.68,210.31,,
2025-03-12,248.09,251.84,241.1,142215700.0,7.5939,0.0732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21256900.0,,,228.22,239.42,219.38,,
2025-03-13,240.68,248.29,232.6,114813500.0,-2.9868,-0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93556600.0,,,247.01,252.92,242.18,,
2025-03-14,249.98,251.58,240.73,100242300.0,3.8641,0.0379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6685700.0,,,240.5233,248.4467,232.7567,,
2025-03-17,238.01,245.4,232.8,111900600.0,-4.7884,-0.0491,,,,,,248.3011,,,,,,,,,,,,,,,,,,,,,,,,,-105214900.0,,,247.43,254.13,243.28,,
2025-03-18,225.31,230.1,222.28,111477600.0,-5.3359,-0.0548,246.002,,,,,243.7029,,,,,,,,,,,,,,,,,,,,,,,,,-216692500.0,,,238.7367,244.6733,232.0733,,
2025-03-19,235.86,241.41,229.2,111993800.0,4.6824,0.0458,241.678,,,,,242.1343,,,,,,,,,,,,,-15.4927,,,,,,,,,,,,-104698700.0,,,225.8967,229.5133,221.6933,,
2025-03-20,236.26,238.0,230.05,99028300.0,0.1696,0.0017,238.959,,,,,240.9594,244.345,,,,,,,,,,,,-10.3207,,,,,,,,,,,,-5670400.0,,,235.49,241.78,229.57,,
2025-03-21,248.71,249.52,234.55,132728700.0,5.2696,0.0514,237.563,,,,,242.5096,245.0165,,,,,,,,,,,,-5.3147,,,,,,,,,,,,127058300.0,,,234.77,239.49,231.54,,
2025-03-24,278.39,278.64,256.33,169079900.0,11.9336,0.1127,243.187,,,,,249.6857,250.1509,,,,,,,,,,,-1.8551,25.3162,,,,,,,,,,,,296138200.0,,,244.26,253.97,239.0,,
2025-03-25,288.14,288.2,271.28,150361500.0,3.5023,0.0344,248.943,,,,,257.3765,255.9954,,,,52.4158,,,,,,,-0.0843,24.9631,,,,,,18.8529,,,,,,446499700.0,288.140015,,271.12,285.91,263.6,,
2025-03-26,272.06,284.9,266.51,153629800.0,-5.5806,-0.0574,251.34,,,,,260.3132,258.4669,,,,47.9755,,,,,91.79523333333334,,-22.6749,9.6618,,,,,,19.0512,,,,,,292869900.0,,,282.54,293.8,276.88,,
2025-03-27,273.13,291.85,271.82,162572100.0,0.3933,0.0039,254.585,,,,,262.8766,260.7227,,,,48.2894,,,,,84.0747,,-25.0167,13.4826,,,,,,19.1211,,,,,,455442000.0,,,274.49,282.47,264.08,,
2025-03-28,263.55,276.1,260.57,123809400.0,-3.5075,-0.0357,255.942,,,,,263.0113,261.1577,,,,45.6344,,,,,71.49643333333334,82.45545555555556,-37.8191,5.4284,,,,,,18.8646,,,,,,331632600.0,,,278.9333,286.0467,266.0167,,
2025-03-31,259.16,260.56,243.36,134008900.0,-1.6657,-0.0168,258.057,,,,,262.241,260.8504,,,,44.4289,,,,,63.391866666666665,72.98766666666667,-46.9886,8.8862,,,,,,18.9593,,,,,,197623700.0,,,266.74,272.91,257.38,,
2025-04-01,268.46,277.45,259.25,146486900.0,3.5885,0.0353,262.372,254.187,,,,263.4848,262.0211,,,,47.5876,,,,,60.523833333333336,65.13737777777779,-33.6208,19.1514,,254.187,291.9102,216.4638,0.6892,18.9115,,292.01,216.364,131159320.0,1.1169,344110600.0,,,254.36,265.36,248.16,,
2025-04-02,282.76,284.99,251.27,212787800.0,5.3267,0.0519,267.062,254.37,,,,267.3398,265.2117,255.5476,,,52.0964,,,,,68.77486666666667,64.23018888888889,-13.066,19.8847,1.3114,254.37,292.6069,216.1331,0.8712,19.9692,98.6351,296.8466,216.9698,137096565.0,1.5521,556898400.0,,,268.3867,277.5233,259.3233,,
2025-04-03,267.28,276.3,261.51,136174300.0,-5.4746,-0.0563,270.164,254.5615,,,,267.3279,265.5299,256.6142,,,47.348,47.7031,,,,72.66539999999999,67.32136666666666,-35.317,13.1296,1.4538,254.5615,293.0161,216.1069,0.6654,20.0607,98.526,298.0174,217.7746,138982700.0,0.9798,420724100.0,,,273.0067,294.7433,261.0233,,
2025-04-04,239.43,261.0,236.0,181229400.0,-10.4198,-0.11,269.236,253.3995,,,,261.7483,261.5145,255.052,,,40.2415,42.8348,,,,58.75613333333334,66.73213333333334,-75.3486,-3.7313,-8.8476,253.3995,292.2067,214.5923,0.32,20.8621,106.097,297.8616,214.4132,142925690.0,1.268,239494700.0,,,268.3633,275.2167,260.4267,,
2025-04-07,233.29,252.0,214.25,183453800.0,-2.5644,-0.026,264.726,253.9565,,,,256.0566,257.1723,253.0736,,,38.8568,41.8462,,,,37.956833333333336,56.459455555555564,-75.4639,-16.2003,5.0146,253.9565,291.2436,216.6694,0.2229,22.0684,87.5439,298.0982,209.8246,142644535.0,1.2861,56040900.0,,,245.4767,254.9533,229.9533,,
2025-04-08,221.86,250.44,217.8,171603500.0,-4.8995,-0.0502,258.098,253.5205,,,,249.2173,251.7396,250.236,,,36.3493,40.04,,,,19.664733333333334,38.792566666666666,-90.1933,-23.0027,-3.7818,253.5205,292.0733,214.9677,0.0894,22.8235,88.4346,296.5511,205.2571,142479890.0,1.2044,-115562600.0,,221.860001,233.18,252.11,214.36,,
2025-04-09,272.2,274.69,223.88,219433400.0,22.69,0.2045,258.112,254.726,,,,253.8139,254.8874,252.2328,253.8677,,51.2655,50.017,1.0197,,,36.3402,31.320588888888892,-25.3222,0.0515,9.7183,254.726,294.0247,215.4273,0.7223,24.9668,112.2903,302.8659,202.9987,146340775.0,1.4995,103870800.0,,,230.0333,242.2667,209.6267,,
2025-04-10,252.4,262.49,239.33,181722600.0,-7.2741,-0.0755,256.039,255.312,,,,253.5311,254.5047,252.248,253.759,,46.6362,46.8009,0.7457,,,44.548966666666665,33.517966666666666,-50.8376,-7.5898,4.8695,255.312,294.1017,216.5223,0.4625,25.5313,115.2636,303.9442,201.819,149686230.0,1.214,-77851800.0,,,256.9233,289.9667,239.1567,,
2025-04-11,252.31,257.74,241.36,128948100.0,-0.0357,-0.0004,254.915,255.4285,,,,253.2869,254.1671,252.2536,253.6516,,46.6156,46.7865,0.5154,,,57.628866666666674,46.17267777777778,-50.9536,-4.2648,0.9321,255.4285,294.1674,216.6896,0.4597,24.8777,114.4967,302.5826,203.0718,151121520.0,0.8533,-206799900.0,,,251.4067,263.4833,240.3233,,
2025-04-14,252.35,261.8,245.93,100135200.0,0.0159,0.0002,254.234,256.1455,,,,253.0995,253.8875,252.2624,253.5552,,46.6269,46.7941,0.3323,,,49.10223333333334,50.42668888888889,-50.9021,-2.6277,6.025,256.1455,294.091,218.2,0.45,24.2343,112.9957,301.2503,204.3131,150533250.0,0.6652,-106664700.0,,,250.47,259.58,243.2,,
2025-04-15,254.11,258.75,247.54,79594300.0,0.6974,0.007,252.799,257.5855,,,,253.3016,253.9217,252.4303,253.5963,,47.1563,47.1437,0.3254,,,49.83676666666667,52.18928888888889,-48.634,-5.3453,12.7824,257.5855,292.8308,222.3402,0.4507,23.304,110.916,299.5162,206.3002,148939085.0,0.5344,-27070400.0,,,253.36,260.79,244.92,,
2025-04-16,241.55,251.97,233.89,112378700.0,-4.9427,-0.0507,248.678,257.87,,,,250.9513,252.0184,251.4412,252.704,,43.8161,44.9317,-0.6856,,,46.35196666666667,48.43032222222223,-61.408,-14.5742,2.4124,257.87,292.4956,223.2444,0.2643,23.0837,111.6137,297.9939,205.6591,148958330.0,0.7544,-139449100.0,,,253.4667,259.3933,248.1833,,
2025-04-17,241.37,244.34,237.68,83404800.0,-0.0745,-0.0007,246.087,258.1255,,,,249.035,250.3802,250.5256,251.8644,,43.7682,44.9,-1.4843,,,42.7652,46.31797777777778,-61.6624,-9.694,2.1629,258.1255,292.1802,224.0708,0.254,21.9106,111.6156,294.6518,207.0094,148177155.0,0.5629,-222853900.0,,,242.47,251.05,232.97,,
2025-04-21,227.5,232.21,222.79,97768000.0,-5.7464,-0.0592,244.894,257.065,,,,244.728,246.8602,248.4324,250.0597,,40.1316,42.4752,-3.1995,,,31.88673333333333,40.33463333333333,-81.2694,-4.9827,-8.528,257.065,293.4666,220.6634,0.0939,21.6727,111.9067,291.9541,205.2633,146429120.0,0.6677,-320621900.0,,,241.13,244.58,237.92,,
2025-04-22,237.97,242.79,229.85,120858500.0,4.6022,0.045,245.362,255.044,,,,243.3764,245.4924,247.4813,249.1641,,43.9196,44.8364,-3.6717,-0.6780666666666666,-2.9936,30.1998,34.950577777777774,-66.4688,2.0061,-14.5192,255.044,290.9705,219.1175,0.2624,21.2168,104.8592,290.0291,205.1619,144018050.0,0.8392,-199763400.0,,,227.5,232.21,222.79,,
2025-04-23,250.74,259.45,244.43,150381900.0,5.3662,0.0523,248.25,253.174,,,,244.8491,246.2998,247.7775,249.2809,,48.2227,47.5913,-2.9811,-1.1386733333333334,-1.8424,37.023066666666665,33.03653333333333,-41.1926,13.0172,-12.9798,253.174,285.7525,220.5955,0.4626,21.2356,105.9987,290.3661,205.4237,144019070.0,1.0442,-49381500.0,,,236.87,243.89,230.95,,
2025-04-24,259.51,259.54,249.2,94464200.0,3.4976,0.0344,246.981,252.5465,,,,247.7813,248.3321,248.8441,250.0386,,51.0032,49.4131,-1.7065,-1.2522386666666667,-0.4543,55.74093333333334,40.98793333333333,-25.1158,-4.662,-4.6129,252.5465,284.1136,220.9794,0.6103,20.4573,105.207,289.9157,208.0865,141060790.0,0.6697,45082700.0,,,251.54,258.65,243.63,,
2025-04-25,284.95,286.85,259.63,167560700.0,9.8031,0.0935,250.236,253.1375,,,,255.215,253.9656,252.1265,252.6246,,58.0421,54.2563,1.341,-0.7335909333333335,2.0746,77.02483333333333,56.59627777777778,-2.6171,12.8962,4.3276,253.1375,286.609,219.666,0.9752,20.9489,110.5862,294.3226,210.527,141310220.0,1.1858,212643400.0,,,256.0833,262.9667,252.6267,macd_bullish_cross,
2025-04-28,285.88,294.86,272.42,151731800.0,0.3264,0.0033,253.593,254.254,,,,261.348,258.8755,255.195,255.088,,58.2781,54.4238,3.7876,0.1706472533333332,3.617,86.87130000000002,73.21235555555556,-11.6532,13.3051,8.4728,254.254,290.4215,218.0865,0.9372,21.0554,109.6799,297.7219,213.5003,142706340.0,1.0632,364375200.0,,,277.1433,294.6567,267.4367,,
2025-04-29,292.03,293.32,279.47,108906600.0,2.1513,0.0213,257.561,255.8975,,,,267.4844,263.9762,258.5436,257.8244,,59.8847,55.5538,6.1518,1.3668778026666666,4.7849,93.93433333333333,85.9434888888889,-3.9267,15.7242,12.6833,255.8975,295.62,216.175,0.9548,20.5408,109.552,300.1611,217.9979,141451225.0,0.7699,473281800.0,,,284.3867,296.3533,273.9134,,
2025-04-30,282.16,284.45,270.78,128961100.0,-3.3798,-0.0344,260.366,256.5825,,,,270.4195,266.7737,260.6906,259.6271,,56.1478,53.3258,7.1467,2.5228422421333336,4.6239,88.9328,89.91281111111111,-17.6217,11.0385,5.1032,256.5825,297.5993,215.5657,0.8118,20.5914,109.8713,302.4605,220.0949,140574935.0,0.9174,344320700.0,,,288.2733,297.0767,283.2267,,
2025-05-01,280.52,290.87,279.81,99659000.0,-0.5812,-0.0058,264.263,256.4705,,,,272.4396,268.8885,262.4932,261.1747,,55.5277,52.9553,7.7138,3.5610337937066667,4.1528,86.18476666666668,89.68396666666666,-19.8973,16.1333,-0.7922,256.4705,297.2121,215.7289,0.7951,19.9106,108.3282,302.9315,223.2891,134918495.0,0.7387,244661700.0,,,279.13,287.48,273.81,,
2025-05-02,287.21,294.78,279.81,114454700.0,2.3849,0.0236,268.847,257.467,,,,275.3937,271.7072,264.7402,263.1032,,57.5854,54.3149,8.604,4.569627034965333,4.0344,83.95543333333333,86.35766666666666,-10.6147,18.9916,7.4566,257.467,300.1463,214.7877,0.8484,19.5577,106.5569,304.5209,226.2901,133832515.0,0.8552,359116400.0,,,283.7333,287.6567,276.5967,,
2025-05-05,280.26,284.85,274.4,94618900.0,-2.4198,-0.0245,274.123,259.5085,,,,276.367,273.023,266.1511,264.3741,,54.7512,52.655,8.6489,5.385481627972267,3.2634,83.07666666666667,84.40562222222222,-20.258,23.1912,17.053,259.5085,302.4467,216.5703,0.7416,19.0757,98.4782,304.9716,228.6688,129501990.0,0.7306,264497500.0,,,287.2667,294.7233,279.7533,,
2025-05-06,275.35,277.73,271.35,76715800.0,-1.7519,-0.0177,277.861,261.6115,,,,276.1636,273.381,266.9874,265.1871,,52.7751,51.4877,8.1939,5.9471653023778135,2.2467,80.68546666666667,82.57252222222223,-27.0709,15.7079,18.0291,261.6115,303.3093,219.9137,0.6647,18.3496,98.1432,304.3318,230.9334,124165090.0,0.6179,187781700.0,,,279.8367,285.2733,274.8233,,
