date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,71.42,71.49,70.09,3811000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811000.0,,,,,,,
2025-03-06,71.13,72.02,70.49,3038700.0,-0.4061,-0.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772300.0,,,71.0,71.91,70.51,,
2025-03-07,72.09,73.31,71.77,4195700.0,1.3496,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968000.0,,,71.2133,71.9367,70.4067,,
2025-03-10,70.89,72.25,70.74,1777100.0,-1.6646,-0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190900.0,,,72.39,73.01,71.47,,
2025-03-11,71.45,72.17,70.98,1876200.0,0.79,0.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5067100.0,,,71.2933,71.8467,70.3367,,
2025-03-12,72.8,72.97,72.04,2389100.0,1.8894,0.0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7456200.0,,,71.5333,72.0867,70.8967,,
2025-03-13,71.62,72.44,71.41,3119100.0,-1.6209,-0.0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4337100.0,,,72.6033,73.1667,72.2367,,
2025-03-14,72.28,72.43,71.65,2054600.0,0.9215,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6391700.0,,,71.8233,72.2367,71.2067,,
2025-03-17,72.71,73.17,72.43,2873700.0,0.5949,0.0059,,,,,,71.8211,,,,,,,,,,,,,,,,,,,,,,,,,9265400.0,,,72.12,72.59,71.81,,
2025-03-18,72.21,73.49,71.97,2739000.0,-0.6877,-0.0069,71.86,,,,,71.8989,,,,,,,,,,,,,,,,,,,,,,,,,6526400.0,,,72.77,73.11,72.37,,
2025-03-19,72.42,72.88,71.93,1747400.0,0.2908,0.0029,71.96,,,,,72.0031,,,,,,,,,,,,,1.4002,,,,,,,,,,,,8273800.0,,,72.5567,73.1433,71.6233,,
2025-03-20,73.73,73.8,72.04,2523100.0,1.8089,0.0179,72.22,,,,,72.3485,72.0625,,,,,,,,,,,,3.6553,,,,,,,,,,,,10796900.0,,,72.41,72.89,71.94,,
2025-03-21,73.79,73.96,73.14,1528800.0,0.0814,0.0008,72.39,,,,,72.6368,72.3283,,,,,,,,,,,,2.3582,,,,,,,,,,,,12325700.0,,,73.19,74.34,72.58,,
2025-03-24,74.88,74.97,73.94,2755300.0,1.4772,0.0147,72.789,,,,,73.0854,72.7208,,,,,,,,,,,-1.8443,5.6284,,,,,,,,,,,,15081000.0,,,73.63,74.12,73.3,,
2025-03-25,74.82,75.36,74.12,1922900.0,-0.0801,-0.0008,73.126,,,,,73.4323,73.0438,,,,67.2414,,,,,,,-11.0883,4.7166,,,,,,1.3271,,,,,,13158100.0,,,74.5967,75.2533,74.2233,,
2025-03-26,75.42,75.94,75.13,2469600.0,0.8019,0.008,73.388,,,,,73.8299,73.4094,,,,69.2561,,,,,92.35576666666667,,-10.0001,3.5989,,,,,,1.3123,,,,,,15627700.0,,,74.7667,75.4133,74.1733,,
2025-03-27,75.48,75.68,74.78,1590800.0,0.0796,0.0008,73.774,,,,,74.1599,73.7279,,,,69.4584,,,,,90.02183333333333,,-8.8461,5.3896,,,,,,1.2829,,,,,,17218500.0,,,75.4967,75.8633,75.0533,,
2025-03-28,74.77,75.54,74.54,2430300.0,-0.9407,-0.0095,74.023,,,,,74.2819,73.8882,,,,64.0849,,,,,85.855,89.41086666666666,-23.5888,3.4449,,,,,,1.2627,,,,,,14788200.0,,,75.3133,75.8467,74.9467,,
2025-03-31,77.33,77.72,75.28,3147400.0,3.4238,0.0337,74.485,,,,,74.8915,74.4177,,,,72.3815,,,,,87.12813333333332,87.66832222222222,-6.1807,6.354,,,,,,1.3832,,,,,,17935600.0,,,74.95,75.36,74.36,rsi_overbought_72.4,
2025-04-01,77.08,78.01,76.88,2753900.0,-0.3233,-0.0032,74.972,73.416,,,,75.3292,74.8273,,,,70.6647,,,,,85.37986666666666,86.121,-14.0909,6.7442,,73.416,77.2176,69.6144,0.9819,1.3651,,76.1462,70.6858,2537185.0,1.0854,15181700.0,,,76.7767,78.2733,75.8333,rsi_overbought_70.7,
2025-04-02,77.74,77.86,76.69,2808400.0,0.8562,0.0085,75.504,73.732,,,,75.8114,75.2754,73.6219,,,72.5179,,,,,91.8277,88.11189999999999,-4.2453,7.346,8.8491,73.732,77.8545,69.6095,0.9861,1.3512,19.5486,76.5302,71.1254,2487055.0,1.1292,17990100.0,77.739998,,77.3233,77.7667,76.6367,rsi_overbought_72.5,
2025-04-03,72.25,72.7,71.44,6279800.0,-7.062,-0.0732,75.356,73.788,,,,75.0991,74.81,73.4972,,,46.3106,52.0555,,,,64.66416666666666,80.6239111111111,-87.6713,-2.0073,1.5746,73.788,77.7965,69.7795,0.3082,1.7047,33.7255,77.0869,70.2681,2649110.0,2.3705,11710300.0,,,77.43,78.17,77.0,volume_spike_2.4x,
2025-04-04,67.92,68.42,65.5,9319900.0,-5.9931,-0.0618,74.769,73.5795,,,,73.6633,73.75,72.9902,,,35.4339,42.4878,,,,42.475966666666665,66.3226111111111,-80.6555,-7.955,-5.7844,73.5795,78.2916,68.8674,-0.1005,2.0651,39.9779,77.2594,68.999,2905320.0,3.2079,2390400.0,,,72.13,72.82,71.56,bb_lower_touch|volume_spike_3.2x,
2025-04-07,65.98,69.2,64.94,7869100.0,-2.8563,-0.029,73.879,73.334,,,,72.1266,72.5546,72.3529,,,31.8272,39.1065,,,,13.210133333333333,40.11675555555555,-92.0428,-11.8857,-6.9262,73.334,78.9968,67.6712,-0.1493,2.2218,40.763,76.8919,68.0047,3209920.0,2.4515,-5478700.0,,,67.28,69.06,66.14,bb_lower_touch|volume_spike_2.5x,
2025-04-08,63.34,66.8,62.74,8411300.0,-4.0012,-0.0408,72.731,72.9285,,,,70.3693,71.137,71.5335,,,27.6958,35.1135,,,,10.410333333333334,22.03214444444444,-96.0707,-15.3435,-11.3506,72.9285,80.0472,65.8098,-0.1735,2.3531,42.5731,76.2871,66.8747,3536675.0,2.3783,-13890000.0,,63.34,66.7067,68.4733,64.2133,rsi_oversold_27.7|bb_lower_touch|volume_spike_2.4x,
2025-04-09,67.58,68.05,60.67,15313000.0,6.694,0.0648,71.947,72.6675,,,,69.8114,70.5897,71.1741,72.4281,,40.9527,44.6449,-1.8383,,,17.24553333333333,13.622,-60.1499,-10.3951,-7.1703,72.6675,80.1589,65.1761,0.1604,2.7122,48.8097,76.6242,65.7754,4182870.0,3.6609,1423000.0,,,64.2933,65.8467,61.7867,volume_spike_3.7x,
2025-04-10,65.32,65.47,63.6,6596700.0,-3.3442,-0.034,70.931,72.3525,,,,68.9132,69.779,70.6419,71.9016,,37.053,41.2534,-2.1225,,,23.532,17.06262222222222,-73.1834,-13.4605,-8.7964,72.3525,80.4951,64.2099,0.0682,2.8028,49.8087,76.2454,65.0342,4356750.0,1.5141,-5173700.0,,,65.4333,70.1967,62.8167,,
2025-04-11,66.46,66.79,64.5,4386200.0,1.7453,0.0173,70.1,72.0615,,,,68.4225,69.2684,70.2617,71.4985,,40.149,43.5256,-2.2301,,,33.35256666666666,24.71003333333333,-66.609,-11.1141,-8.052,72.0615,80.6,63.523,0.172,2.7661,50.1891,75.774,64.7096,4473330.0,0.9805,-787500.0,,,64.7967,65.9933,64.1233,,
2025-04-14,66.66,67.13,65.62,3146200.0,0.3009,0.003,69.033,71.759,,,,68.07,68.8671,69.9343,71.1401,,40.7001,43.9252,-2.273,,,31.584000000000003,29.48952222222222,-65.4556,-13.798,-8.3207,71.759,80.6072,62.9108,0.2119,2.6764,50.1214,75.2534,64.5478,4486955.0,0.7012,2358700.0,,,65.9167,67.3333,65.0433,,
2025-04-15,66.48,66.92,65.92,1779200.0,-0.27,-0.0027,67.973,71.4725,,,,67.752,68.4999,69.6203,70.7949,,40.3401,43.6334,-2.295,,,33.81393333333333,32.91683333333333,-66.4936,-13.7519,-7.9352,71.4725,80.6101,62.3349,0.2268,2.5567,50.1152,74.6883,64.4615,4438965.0,0.4008,579500.0,,,66.47,67.32,65.81,,
2025-04-16,67.75,67.97,66.99,5452100.0,1.9103,0.0189,66.974,71.239,,,,67.7516,68.3845,69.4503,70.5693,,44.0971,46.2766,-2.1848,,,36.29376666666667,33.89723333333333,-59.1695,-12.8505,-6.4485,71.239,80.5056,61.9724,0.3117,2.4805,50.7323,74.3621,64.4401,4624200.0,1.179,6031600.0,,,66.44,66.96,65.96,,
2025-04-17,69.48,70.05,68.15,4776800.0,2.5535,0.0252,66.697,71.0265,,,,68.0973,68.553,69.453,70.4886,,48.8247,49.6534,-1.9356,,,41.71476666666667,37.27415555555555,-49.1926,-3.8339,-5.7643,71.0265,80.2497,61.8033,0.4162,2.4676,51.2012,74.3438,64.4734,4736885.0,1.0084,10808400.0,,,67.57,68.15,67.17,,
2025-04-21,68.62,68.66,67.44,2343000.0,-1.2378,-0.0125,66.767,70.768,,,,68.2018,68.5633,69.3772,70.3502,,46.71,48.0761,-1.7869,,,45.82856666666667,41.27903333333333,-54.1522,1.0306,-7.0064,70.768,79.9566,61.5794,0.3831,2.437,51.2877,74.2075,64.4595,4777595.0,0.4904,8465400.0,,,69.2267,70.3033,68.4033,,
2025-04-22,69.37,70.27,68.72,4499000.0,1.093,0.0109,67.106,70.4925,,,,68.4355,68.6874,69.3766,70.2776,,48.793,49.5438,-1.5902,-2.028488888888889,0.4383,49.088666666666676,45.544000000000004,-49.3892,5.1379,-7.3584,70.4925,79.5,61.485,0.4377,2.3808,51.1257,74.0986,64.5754,4864780.0,0.9248,12964400.0,,,68.24,69.04,67.82,,
2025-04-23,68.05,69.81,67.19,8908500.0,-1.9028,-0.0192,67.577,70.154,,,,68.3584,68.5894,69.256,70.1126,,45.4274,47.0843,-1.5232,-1.9274311111111113,0.4042,52.60176666666666,49.173,-38.6533,7.4361,-9.0484,70.154,78.9928,61.3152,0.381,2.3979,51.3984,74.0102,64.4186,5214060.0,1.7086,4055900.0,,,69.4533,70.1867,68.6367,,
2025-04-24,68.46,68.86,67.7,4336600.0,0.6025,0.006,67.665,69.806,,,,68.3787,68.5695,69.1836,69.9902,,46.6581,47.9274,-1.4207,-1.8260848888888892,0.4054,64.3678,55.352744444444454,-18.8541,1.3022,-9.2283,69.806,78.3306,61.2814,0.4211,2.3095,51.3381,73.7616,64.5236,5307410.0,0.8171,8392500.0,,,68.35,69.51,66.89,,
2025-04-25,69.03,69.18,68.04,3272100.0,0.8326,0.0083,68.036,69.4835,,,,68.509,68.6403,69.1697,69.9191,,48.4004,49.1109,-1.2787,-1.7166079111111114,0.4379,76.52533333333332,64.49829999999999,-12.9166,5.6797,-8.5453,69.4835,77.6035,61.3635,0.4721,2.2259,51.5159,73.5836,64.68,5391475.0,0.6069,11664600.0,,,68.34,68.98,67.82,,
2025-04-28,67.76,69.04,67.17,3232700.0,-1.8398,-0.0186,68.166,69.133,,,,68.3592,68.5049,69.0415,69.7591,,44.8828,46.6314,-1.2542,-1.6241263288888892,0.3699,80.6945,73.86254444444444,-26.1458,1.9561,-9.3754,69.133,76.9078,61.3582,0.4117,2.2005,51.7341,73.4022,64.6002,5431595.0,0.5952,8431900.0,,,68.75,69.46,68.32,,
2025-04-29,65.85,66.81,65.83,4650000.0,-2.8188,-0.0286,68.085,68.559,,,,67.8573,68.0964,68.7514,69.4696,,40.1561,43.1881,-1.3731,-1.5739210631111116,0.2008,71.63196666666667,76.28393333333334,-46.0417,-1.2151,-14.8455,68.559,75.4762,61.6418,0.3042,2.1812,50.2746,73.0635,64.3387,5506725.0,0.8444,3781900.0,,,67.99,68.81,66.94,,
2025-04-30,63.56,65.72,63.3,10236300.0,-3.4776,-0.0354,67.793,67.883,,,,66.9979,67.3985,68.2794,69.0318,,35.3494,39.5149,-1.6333,-1.5857968504888893,-0.0475,43.8476,65.39135555555556,-96.2697,-4.3923,-17.5402,67.883,73.9242,61.8418,0.1422,2.2075,51.1558,72.6264,63.7964,5880845.0,1.7406,-6454400.0,,,66.1633,66.4967,65.5167,macd_bearish_cross,
2025-05-01,64.52,65.08,63.1,10673900.0,1.5104,0.015,67.47,67.222,,,,66.5023,66.9557,67.9377,68.6976,,38.664,41.6976,-1.7419,-1.6170174803911115,-0.1249,25.831100000000003,47.10355555555555,-80.1953,-4.7675,-17.0054,67.222,71.4146,63.0294,0.1778,2.1913,51.5105,72.2425,63.4773,6274120.0,1.7013,4219500.0,,,64.1933,65.0867,62.6667,,
2025-05-02,64.01,64.6,63.11,7095900.0,-0.7904,-0.0079,66.923,66.81,,,,66.0038,66.5025,67.5806,68.3504,,37.5623,40.8748,-1.8479,-1.6631939843128893,-0.1847,12.0756,27.251433333333335,-87.3082,-7.8728,-11.4048,66.81,70.5391,63.0809,0.1246,2.1412,45.6448,71.7756,63.2108,6314925.0,1.1237,-2876400.0,,,64.2333,65.3667,63.3867,,
