date,close,high,low,volume,ret_1d,log_ret,sma10,sma20,sma50,sma100,sma200,ema9,ema12,ema21,ema26,ema50,rsi14,rsi21,macd,macd_signal,macd_hist,stoch_k,stoch_d,willr14,roc10,roc20,bb_mid,bb_upper,bb_lower,bb_pct,atr14,hv20,kc_upper,kc_lower,vol_sma20,vol_ratio,obv,pivot_high,pivot_low,pivot_pp,pivot_r1,pivot_s1,signals,news_z
2025-03-05,105.44,106.33,103.67,24822200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24822200.0,,,,,,,
2025-03-06,107.62,108.11,104.36,17150200.0,2.0675,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41972400.0,,,105.1467,106.6233,103.9633,,
2025-03-07,109.02,110.4,108.3,19625000.0,1.3009,0.0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61597400.0,,,106.6967,109.0333,105.2833,,
2025-03-10,111.8,112.57,109.08,22749100.0,2.55,0.0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84346500.0,,,109.24,110.18,108.08,,
2025-03-11,109.16,112.1,108.79,19904700.0,-2.3614,-0.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64441800.0,,,111.15,113.22,109.73,,
2025-03-12,109.13,110.13,108.42,14051500.0,-0.0275,-0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50390300.0,,,110.0167,111.2433,107.9333,,
2025-03-13,108.67,110.82,107.63,17767800.0,-0.4215,-0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32622500.0,,,109.2267,110.0333,108.3233,,
2025-03-14,111.9,112.18,108.31,15890100.0,2.9723,0.0293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48512600.0,,,109.04,110.45,107.26,,
2025-03-17,113.76,114.5,111.73,19908800.0,1.6622,0.0165,,,,,,109.6111,,,,,,,,,,,,,,,,,,,,,,,,,68421400.0,,,110.7967,113.2833,109.4133,,
2025-03-18,113.64,114.54,112.57,15998700.0,-0.1055,-0.0011,110.014,,,,,110.4169,,,,,,,,,,,,,,,,,,,,,,,,,52422700.0,,,113.33,114.93,112.16,,
2025-03-19,115.41,115.82,113.83,17315000.0,1.5576,0.0155,111.011,,,,,111.4155,,,,,,,,,,,,,9.4556,,,,,,,,,,,,69737700.0,,,113.5833,114.5967,112.6267,,
2025-03-20,115.9,116.47,114.21,16230800.0,0.4246,0.0042,111.839,,,,,112.3124,110.9542,,,,,,,,,,,,7.6937,,,,,,,,,,,,85968500.0,,,115.02,116.21,114.22,,
2025-03-21,115.5,115.99,114.35,41102800.0,-0.3451,-0.0035,112.487,,,,,112.9499,111.6535,,,,,,,,,,,,5.9439,,,,,,,,,,,,44865700.0,,,115.5267,116.8433,114.5833,,
2025-03-24,115.8,116.91,115.58,14207500.0,0.2597,0.0026,112.887,,,,,113.5199,112.2914,,,,,,,,,,,-8.3837,3.5778,,,,,,,,,,,,59073200.0,,,115.28,116.21,114.57,,
2025-03-25,116.59,117.64,115.96,12081800.0,0.6822,0.0068,113.63,,,,,114.134,112.9528,,,,80.2168,,,,,,,-7.9067,6.8065,,,,,,2.5879,,,,,,71155000.0,,,116.0967,116.6133,115.2833,rsi_overbought_80.2,
2025-03-26,118.27,119.18,117.68,14110800.0,1.4409,0.0143,114.544,,,,,114.9612,113.7708,,,,81.9835,,,,,91.9436,,-7.8788,8.3753,,,,,,2.588,,,,,,85265800.0,,,116.73,117.5,115.82,rsi_overbought_82.0,
2025-03-27,117.89,119.07,117.26,12740800.0,-0.3213,-0.0032,115.466,,,,,115.5469,114.4045,,,,80.238,,,,,91.01523333333334,,-11.1688,8.4844,,,,,,2.5324,,,,,,72525000.0,,,118.3767,119.0733,117.5733,rsi_overbought_80.2,
2025-03-28,117.73,118.46,117.24,10233400.0,-0.1357,-0.0014,116.049,,,,,115.9835,114.9161,,,,79.4708,,,,,89.4661,90.80831111111111,-12.5541,5.21,,,,,,2.4387,,,,,,62291600.0,,,118.0733,118.8867,117.0767,rsi_overbought_79.5,
2025-03-31,118.93,119.91,117.79,21652300.0,1.0193,0.0101,116.566,,,,,116.5728,115.5337,,,,80.9426,,,,,89.43220000000001,89.97117777777778,-7.9805,4.5447,,,,,,2.4202,,,,,,83943900.0,,,117.81,118.38,117.16,rsi_overbought_80.9,
2025-04-01,119.04,119.28,117.93,12425400.0,0.0925,0.0009,117.106,113.56,,,,117.0663,116.0731,,,,81.0765,,,,,90.79356666666666,89.8972888888889,-7.0847,4.7518,,113.56,121.7414,105.3786,0.8349,2.3438,,118.2476,108.8724,17998435.0,0.6904,96369300.0,119.040001,,118.8767,119.9633,117.8433,rsi_overbought_81.1,
2025-04-02,118.67,118.84,117.66,12614600.0,-0.3108,-0.0031,117.432,114.2215,,,,117.387,116.4726,113.8033,,,79.0638,,,,,91.41503333333333,90.54693333333334,-10.6897,2.8247,12.5474,114.2215,121.7859,106.6571,0.794,2.2749,19.5884,118.5965,109.4969,17388055.0,0.7255,83754700.0,,,118.75,119.57,118.22,rsi_overbought_79.1,
2025-04-03,112.43,115.45,112.23,21204600.0,-5.2583,-0.054,117.085,114.462,,,,116.3956,115.8507,113.6785,,,54.4942,62.2245,,,,63.59433333333333,81.93431111111111,-91.4426,-2.994,4.4694,114.462,121.4559,107.4681,0.3547,2.5724,28.1979,119.0375,108.7479,17590775.0,1.2054,62550100.0,,,118.39,119.12,117.94,,
